sampleid	dataset	format	type	num_seqs	sum_len	min_len	avg_len	max_len
SRR25825493	Tsakmaklis_2023	FASTQ	DNA	11,763,951	1,764,863,065	15	150	151
SRR25825494	Tsakmaklis_2023	FASTQ	DNA	16,357,429	2,446,350,334	15	149.6	151
SRR25825495	Tsakmaklis_2023	FASTQ	DNA	12,192,310	1,828,463,903	15	150	151
SRR25825496	Tsakmaklis_2023	FASTQ	DNA	12,423,723	1,859,446,880	15	149.7	151
SRR25825497	Tsakmaklis_2023	FASTQ	DNA	13,913,377	2,073,585,773	15	149	151
SRR25825498	Tsakmaklis_2023	FASTQ	DNA	10,600,171	1,582,033,704	15	149.2	151
SRR25825499	Tsakmaklis_2023	FASTQ	DNA	12,475,351	1,877,010,570	15	150.5	151
SRR25825500	Tsakmaklis_2023	FASTQ	DNA	16,372,734	2,465,230,913	15	150.6	151
SRR25825501	Tsakmaklis_2023	FASTQ	DNA	12,993,263	1,937,338,844	15	149.1	151
SRR25825502	Tsakmaklis_2023	FASTQ	DNA	16,367,278	2,455,275,076	15	150	151
SRR25825503	Tsakmaklis_2023	FASTQ	DNA	20,467,990	3,069,738,004	15	150	151
SRR25825504	Tsakmaklis_2023	FASTQ	DNA	20,600,364	3,092,393,750	15	150.1	151
SRR25825505	Tsakmaklis_2023	FASTQ	DNA	14,513,640	2,180,205,595	15	150.2	151
SRR25825506	Tsakmaklis_2023	FASTQ	DNA	13,181,223	1,975,154,506	15	149.8	151
SRR25825507	Tsakmaklis_2023	FASTQ	DNA	12,607,022	1,891,586,663	15	150	151
SRR25825508	Tsakmaklis_2023	FASTQ	DNA	12,135,536	1,817,965,709	15	149.8	151
SRR25825509	Tsakmaklis_2023	FASTQ	DNA	15,031,043	2,255,997,095	15	150.1	151
SRR25825510	Tsakmaklis_2023	FASTQ	DNA	16,714,892	2,499,623,902	15	149.5	151
SRR25825511	Tsakmaklis_2023	FASTQ	DNA	17,909,396	2,681,644,232	15	149.7	151
SRR25825512	Tsakmaklis_2023	FASTQ	DNA	10,957,180	1,639,253,968	15	149.6	151
SRR25825513	Tsakmaklis_2023	FASTQ	DNA	14,944,154	2,228,345,651	15	149.1	151
SRR25825514	Tsakmaklis_2023	FASTQ	DNA	10,683,519	1,605,401,287	15	150.3	151
SRR25825515	Tsakmaklis_2023	FASTQ	DNA	11,911,666	1,786,521,095	15	150	151
SRR25825516	Tsakmaklis_2023	FASTQ	DNA	15,410,801	2,311,801,743	15	150	151
SRR25825517	Tsakmaklis_2023	FASTQ	DNA	14,106,881	2,110,371,207	15	149.6	151
SRR25825518	Tsakmaklis_2023	FASTQ	DNA	13,005,455	1,945,000,590	15	149.6	151
SRR25825519	Tsakmaklis_2023	FASTQ	DNA	16,283,591	2,449,012,159	15	150.4	151
SRR25825520	Tsakmaklis_2023	FASTQ	DNA	16,582,215	2,497,526,742	15	150.6	151
SRR25825521	Tsakmaklis_2023	FASTQ	DNA	12,629,451	1,897,010,175	15	150.2	151
SRR16554624	Spencer_2021	FASTQ	DNA	12,293,895	1,217,135,025	31	99	101
SRR16554625	Spencer_2021	FASTQ	DNA	3,281,393	488,546,296	31	148.9	151
SRR16554626	Spencer_2021	FASTQ	DNA	7,376,993	1,100,592,341	31	149.2	151
SRR16554627	Spencer_2021	FASTQ	DNA	18,973,407	1,881,341,983	31	99.2	101
SRR16554628	Spencer_2021	FASTQ	DNA	18,872,900	1,877,876,717	31	99.5	101
SRR16554630	Spencer_2021	FASTQ	DNA	17,441,654	1,730,181,638	31	99.2	101
SRR16554631	Spencer_2021	FASTQ	DNA	4,591,087	683,327,398	31	148.8	151
SRR16554632	Spencer_2021	FASTQ	DNA	21,378,445	2,123,344,848	31	99.3	101
SRR16554633	Spencer_2021	FASTQ	DNA	18,214,599	1,815,116,440	31	99.7	101
SRR16554634	Spencer_2021	FASTQ	DNA	19,344,998	1,919,053,329	31	99.2	101
SRR16554635	Spencer_2021	FASTQ	DNA	6,763,963	1,006,973,231	31	148.9	151
SRR16554636	Spencer_2021	FASTQ	DNA	16,990,654	1,674,077,703	31	98.5	101
