biomarker	featureid	dataset_all	num_d_melanoma	num_d_other	num_datasets	classification	species
denominator	semibin_SRR8387712.8_sub	['Peng_2020', 'Liu_2022', 'Heshiki_2020', 'Gunjur_2024', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Matson_2019', 'Gopalakrishnan_2018']	6	4	10	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A	Lachnospira eligens_A
numerator	maxbin_SRR25825521.012_sub	['Peng_2020', 'Gunjur_2024', 'Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Gopalakrishnan_2018']	6	2	8	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	Faecalibacterium prausnitzii_D
numerator	semibin_SRR5930533.9	['Peng_2020', 'Heshiki_2020', 'Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Matson_2019']	6	2	8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris	Bacteroides stercoris
numerator	maxbin_SRR16554775.001	['Peng_2020', 'Gunjur_2024', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Matson_2019', 'Gopalakrishnan_2018']	6	2	8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteroides ovatus
numerator	metabat_SRR16554746.22	['Peng_2020', 'Liu_2022', 'Tsakmaklis_2023', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Matson_2019', 'Gopalakrishnan_2018']	6	2	8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	Parabacteroides distasonis
numerator	maxbin_SRR16554665.003	['Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Matson_2019']	6	0	6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris	Bacteroides stercoris
numerator	semibin_ERR6267712.45	['Peng_2020', 'Gunjur_2024', 'Tsakmaklis_2023', 'Spencer_2021', 'Lee_2022', 'Frankel_2017']	4	2	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539945	Faecalibacterium sp900539945
numerator	maxbin_ERR12405962.011_sub	['Gunjur_2024', 'Tsakmaklis_2023', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Matson_2019']	5	1	6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris	Bacteroides stercoris
numerator	semibin_ERR12405947.71	['Peng_2020', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Gopalakrishnan_2018']	5	1	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	Faecalibacterium prausnitzii_D
numerator	metabat_SRR23364233.36	['Peng_2020', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Gopalakrishnan_2018']	5	1	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	Faecalibacterium prausnitzii_D
numerator	metabat_SRR13022323.1	['Peng_2020', 'McCulloch_2022', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Gopalakrishnan_2018']	5	1	6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_D	Faecalibacterium prausnitzii_D
numerator	metabat_SRR16554626.7	['Tsakmaklis_2023', 'Spencer_2021', 'Lee_2022', 'Frankel_2017', 'Matson_2019', 'Gopalakrishnan_2018']	6	0	6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	Parabacteroides distasonis
