superkingdom	phylum	class	order	family	genus	species	year	status
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	marcescens	1823	established
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	subtilis	1835	established
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	ventriculi	1842	established
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	buccalis	1853	established
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	cholerae	1854	established
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	anthracis	1872	established
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Micrococcus	luteus	1872	established
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	aeruginosa	1872	established
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Borreliaceae	Borrelia	recurrentis	1874	established
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	bovis	1877	putative
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Leuconostoc	mesenteroides	1878	established
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	violaceum	1880	established
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	butyricum	1880	established
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium	leprae	1880	established
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	polymyxa	1880	established
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium	tuberculosis	1883	established
Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	aureus	1884	established
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	pneumoniae	1884	established
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	pyogenes	1884	established
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	mallei	1885	established
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	gonorrhoeae	1885	established
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	alvei	1885	established
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	mirabilis	1885	established
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	vulgaris	1885	established
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	mycoides	1886	established
Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	tetani	1886	established
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	diphtheriae	1886	established
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	oxytoca	1886	established
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	pneumoniae	1886	established
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	Kocuria	rosea	1886	established
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	subflava	1886	established
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	typhi	1886	established
