genome	group
maxbin_ERR12406005.003	Pathogens
maxbin_ERR2162206.004	Pathogens
maxbin_SRR11413649.010	Pathogens
maxbin_SRR13068842.057_sub	Pathogens
maxbin_SRR13068847.003	Pathogens
maxbin_SRR16554632.002	Pathogens
maxbin_SRR16554671.002	Pathogens
maxbin_SRR16554728.024	Pathogens
maxbin_SRR25825518.002	Pathogens
maxbin_SRR5930515.026_sub	Pathogens
maxbin_SRR8387659.002	Pathogens
maxbin_SRR8387707.003	Pathogens
metabat_ERR6279651.8	Pathogens
metabat_SRR13022456.4	Pathogens
metabat_SRR16168943.6	Pathogens
metabat_SRR16554652.33	Pathogens
metabat_SRR16554749.32	Pathogens
metabat_SRR23364235.43	Pathogens
metabat_SRR6000874.30	Pathogens
semibin_ERR6279668.12	Pathogens
semibin_ERR6279669.82	Pathogens
semibin_ERR6279672.24	Pathogens
semibin_ERR6281434.136	Pathogens
semibin_SRR11413645.160	Pathogens
semibin_SRR13068830.47	Pathogens
semibin_SRR16554665.28	Pathogens
semibin_SRR16554744.30	Pathogens
semibin_SRR23364230.9	Pathogens
semibin_SRR5930532.36	Pathogens
