featureid	Intercept	response[T.R]
semibin_SRR8387712.8_sub	-0.487221157387469	-0.490058810862078
semibin_SRR8387712.32	-0.405945738986704	-0.0675293220601214
semibin_SRR8387707.23	-0.254378324583742	0.140557615605818
semibin_SRR8387683.16	0.287124300166395	0.831272094098555
semibin_SRR8387681.3	-0.475376484193477	-0.161287130268587
semibin_SRR8387677.66	-0.136416470841143	0.311156778184401
semibin_SRR8387659.60	-0.195430224970553	-0.344581203015817
semibin_SRR6000945.4	2.04093798415306	0.18553343280934
semibin_SRR6000944.44	0.620497787162092	-0.211959571989549
semibin_SRR6000932.49_sub	-0.42108391059992	-0.0825466527066362
semibin_SRR6000921.66	-0.4834126734404	-0.171554775389208
semibin_SRR6000920.16	-0.329587688878748	-0.313000009807123
semibin_SRR6000911.2	-0.475178308062825	-0.159556509407533
semibin_SRR6000910.14	-0.35248888118622	-0.163964898737444
semibin_SRR6000905.60_sub	1.29199763552788	0.303559629765974
semibin_SRR6000902.21	-0.376904903188917	-0.0254084481320513
semibin_SRR6000901.30	-0.290987616614077	0.0904264734663832
semibin_SRR6000901.29	0.608648741408613	-0.210472704323305
semibin_SRR6000900.6	-0.409182189241621	-0.294024453910364
semibin_SRR6000900.32	0.148155415221479	0.138512580243574
semibin_SRR6000896.44	0.478798830672529	-0.158375562580599
semibin_SRR6000896.39	-0.399567691818449	-0.292875291260256
semibin_SRR6000893.60_sub	-0.0403416810786459	0.454392819253432
semibin_SRR6000892.71	-0.394729359284613	-0.0536851002297533
semibin_SRR5930536.9	-0.272614812687609	0.122128455487715
semibin_SRR5930536.88	-0.16063953025696	0.111100523320662
semibin_SRR5930536.78	-0.394952809647295	-0.0520775927624834
semibin_SRR5930534.80	-0.440508896694157	-0.112840951832308
semibin_SRR5930533.9	1.97913464324119	-0.377922171207441
semibin_SRR5930533.32_sub	-0.193170851305697	0.0679348991789686
semibin_SRR5930532.139	0.0276296974861887	0.553027002660261
semibin_SRR5930532.101_sub	-0.431945348367665	-0.0977982296071184
semibin_SRR5930531.66	-0.406189231411192	-0.0652977241597307
semibin_SRR5930531.50	2.32655557410362	-0.0644975318036211
semibin_SRR5930531.21	2.09346207396629	-1.31239000097133
semibin_SRR5930529.60	-0.2338849662101	-0.335818575175775
semibin_SRR5930529.25	0.0819427611077097	-0.300670207890047
semibin_SRR5930529.122	-0.209503090218279	0.211976497022139
semibin_SRR5930528.37	-0.546751128718826	-0.261209697874559
semibin_SRR5930528.277	-0.387183731631014	-0.299200998099817
semibin_SRR5930527.97	-0.337959369853708	-0.309690953644289
semibin_SRR5930527.64	-0.348203381732676	-0.206286163481249
