featureid	Intercept	response[T.R]
semibin_SRR8387712.8_sub	-0.493954597531584	-0.504348794163163
semibin_SRR8387712.32	-0.361627145229605	-0.137112507761414
semibin_SRR8387707.23	-0.369143924235132	-0.198692897499497
semibin_SRR8387683.30	-0.336258708058623	-0.106514642179901
semibin_SRR8387683.16	0.182323934019777	-0.307572717011864
semibin_SRR8387677.66	0.0750682963740556	-0.283825287760193
semibin_SRR8387659.60	-0.366902841745642	-0.142237255514557
semibin_SRR6000946.68	-0.410188062607077	-0.192808548153336
semibin_SRR6000945.4	0.940222920359346	1.63532372361333
semibin_SRR6000944.44	-0.172445146857527	-0.0222170149692844
semibin_SRR6000931.41	-0.410188062607077	-0.192808548153336
semibin_SRR6000920.93	-0.410188062607077	-0.192808548153336
semibin_SRR6000920.16	-0.381879708288935	-0.158484528006012
semibin_SRR6000911.2	-0.128667919455794	0.148276170550888
semibin_SRR6000910.14	1.34167927640793	0.262065430938308
semibin_SRR6000909.33	-0.112566410123137	0.0541715229144741
semibin_SRR6000908.41	-0.294946684061316	-0.211757490576203
semibin_SRR6000907.58	-0.230320064841536	-0.123278031290467
semibin_SRR6000905.60_sub	0.581700862826082	0.209486385642593
semibin_SRR6000905.32	-0.167485593377379	0.100869973956649
semibin_SRR6000903.16	-0.115090964852598	0.165341278373306
semibin_SRR6000903.13	1.11082011598465	0.27277531272084
semibin_SRR6000901.30	0.198834003390047	0.328692635356491
semibin_SRR6000901.29	-0.191265671073225	-0.0394853746303867
semibin_SRR6000900.32	1.32978600400803	1.56294794922978
semibin_SRR6000900.14	-0.225351093827513	-0.0506520366081546
semibin_SRR6000899.37	-0.11085909467819	0.17713048106343
semibin_SRR6000896.44	-0.198719649134901	-0.0434466993221592
semibin_SRR6000894.27	-0.088908074914244	0.198403736411636
semibin_SRR6000892.71	0.360576273382875	0.332498511134689
semibin_SRR5930536.9	-0.116968660174635	0.165142079650467
semibin_SRR5930536.88	-0.344036756573942	-0.115532616318161
semibin_SRR5930536.61_sub	0.019956888140413	0.338728388606613
semibin_SRR5930536.22	-0.352077661572722	-0.202172050417359
semibin_SRR5930534.80	0.889743746699068	1.65369625931889
semibin_SRR5930534.11	0.00563532251236126	0.130224844276016
semibin_SRR5930533.9	0.570044340075228	0.154761513530319
semibin_SRR5930533.32_sub	-0.115675537406233	0.166759749709671
semibin_SRR5930533.29	-0.132850645600584	0.144843598662918
semibin_SRR5930533.15	-0.323717458664206	-0.0914588963398288
semibin_SRR5930532.79	0.260719777525636	-0.117470452726776
semibin_SRR5930532.72	-0.13187053662422	0.150589367209976
semibin_SRR5930532.161	0.466267050684664	0.979973276912277
semibin_SRR5930531.66	-0.149265317736891	0.122487922965591
semibin_SRR5930531.137	0.164875091494295	0.535943230449264
semibin_SRR5930530.132	-0.410188062607077	-0.192808548153336
semibin_SRR5930529.59	-0.358084587870863	-0.132013181389267
semibin_SRR5930529.29	-0.229289738951948	0.0271914804568936
semibin_SRR5930529.2	0.0780702247035234	0.42355748063237
semibin_SRR5930528.83_sub	-0.299910782395628	-0.0610923563846897
semibin_SRR5930528.78	-0.410188062607077	-0.192808548153336
semibin_SRR5930528.71	-0.29505558174732	-0.055379906834061
semibin_SRR5930528.70_sub	-0.410188062607077	-0.192808548153336
semibin_SRR5930528.37	1.26940852540848	0.212174674331253
semibin_SRR5930528.277	-0.174122302352217	0.0957509482494046
semibin_SRR5930527.114	-0.269347457705763	-0.0690829252609562
semibin_SRR5930527.102_sub	0.19033730167267	0.575029810725753
semibin_SRR5930523.43	-0.0385338054287703	0.147671123801773
semibin_SRR5930523.22	0.359332384051058	0.318653305827682
semibin_SRR5930522.30_sub	-0.257695837436941	-0.011685500086243
semibin_SRR5930520.79_sub	-0.0988258109677108	-0.247488150537903
semibin_SRR5930519.63	-0.323711110769537	-0.134792605579789
semibin_SRR5930519.26	1.16311663526413	0.142782112418716
semibin_SRR5930519.20	-0.323579920946387	-0.169037291944916
semibin_SRR5930518.8	-0.133690296231535	0.143772801219528
semibin_SRR5930518.30	-0.136978118239668	-0.0602501725563358
semibin_SRR5930518.29	-0.108666865645674	0.179922064601486
semibin_SRR5930517.66	-0.410188062607077	-0.192808548153336
semibin_SRR5930517.113	0.055790902556154	0.232377132236068
semibin_SRR5930517.103	-0.296215905367163	-0.0587281977543186
semibin_SRR5930516.11_sub	-0.410188062607077	-0.192808548153336
