sampleid	dataset	raw	filtered	perc_filtered
ERR12405909	Gunjur_2024	23091379	10978701	52.4554120392723
ERR12405910	Gunjur_2024	21761630	10388996	52.2600283158936
ERR12405911	Gunjur_2024	20030906	10146713	49.3447126155951
ERR12405912	Gunjur_2024	20359853	10190026	49.9503950249543
ERR12405913	Gunjur_2024	18819673	8527687	54.6873795309833
ERR12405914	Gunjur_2024	18514290	8851320	52.1919555111214
ERR12405915	Gunjur_2024	19863654	10786567	45.6969649189419
ERR12405916	Gunjur_2024	15331918	7805132	49.0922662122247
ERR12405917	Gunjur_2024	20063658	9389567	53.2011211514869
ERR12405918	Gunjur_2024	22858385	12535587	45.1597870978199
ERR12405919	Gunjur_2024	23576315	11850124	49.7371663044034
ERR12405920	Gunjur_2024	18850410	9773129	48.1542894822977
ERR12405921	Gunjur_2024	20449796	9405669	54.0060497425011
ERR12405922	Gunjur_2024	20380404	9184343	54.9354222811285
ERR12405923	Gunjur_2024	22915396	10393998	54.641857378332
ERR12405924	Gunjur_2024	18353567	8400891	54.22747523683
ERR12405925	Gunjur_2024	18483353	9909276	46.3881039333069
ERR12405926	Gunjur_2024	20862067	10027579	51.9339143144349
ERR12405927	Gunjur_2024	19298632	9408670	51.2469588517984
ERR12405928	Gunjur_2024	21496016	11250201	47.6637856987081
ERR12405929	Gunjur_2024	23278615	11655128	49.93203848253
ERR12405930	Gunjur_2024	17295495	8314217	51.9284241358805
ERR12405931	Gunjur_2024	21256871	11319673	46.7481690978884
ERR12405932	Gunjur_2024	21808969	10921634	49.9213649210102
ERR12405933	Gunjur_2024	23263636	11814905	49.2129906090346
ERR12405934	Gunjur_2024	21660373	9965255	53.9931514568101
ERR12405935	Gunjur_2024	19863081	10197725	48.6599032647554
ERR12405936	Gunjur_2024	9438084	3964159	57.9982653258861
ERR12405937	Gunjur_2024	17348241	9118925	47.4360253584211
ERR12405938	Gunjur_2024	21249937	10533788	50.4290859779961
ERR12405939	Gunjur_2024	19121164	10522116	44.9713626220663
ERR12405940	Gunjur_2024	19007870	7852921	58.6859495566836
ERR12405941	Gunjur_2024	18759105	8555460	54.393026746212
ERR12405942	Gunjur_2024	25309698	13488688	46.705456540809
ERR12405943	Gunjur_2024	28049468	14278539	49.0951521790003
ERR12405944	Gunjur_2024	18122468	8815932	51.3535794352072
ERR12405945	Gunjur_2024	19619428	9020372	54.0232671411215
ERR12405946	Gunjur_2024	20646135	9178344	55.5444929523129
ERR12405947	Gunjur_2024	19853425	10131954	48.9662161566581
ERR12405948	Gunjur_2024	19242533	8268002	57.0326734011577
ERR12405949	Gunjur_2024	21748498	10532656	51.5706509939215
ERR12405950	Gunjur_2024	23605145	10452367	55.71996274541
