feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
semibin_SRR11413653.97_sub	cancer_type	Other	0.837460599461428	0.23763757154555	624	311	0.000456147525196149	0.084341790658236
maxbin_SRR13068842.057_sub	response	R	-0.575191324627561	0.158747513041603	624	110	0.000314653815664623	0.084341790658236
metabat_SRR6000874.30	response	R	-0.465890219955161	0.131723235928689	624	85	0.00043507485987869	0.084341790658236
semibin_SRR6000900.32	response	R	-0.67860083562908	0.196303808295119	624	278	0.000584116375305138	0.084341790658236
maxbin_SRR16554728.024	response	R	-0.537931124983397	0.156000695102799	624	99	0.000602441361844543	0.084341790658236
semibin_ERR6279672.24	response	R	-0.598412587821747	0.187073414141435	624	118	0.00145019191035862	0.145019191035862
maxbin_SRR11413649.010	response	R	-0.546904083124005	0.170455221871813	624	119	0.00140302483943054	0.145019191035862
semibin_SRR11413686.80	cancer_type	Other	0.621240253015386	0.212636428053137	624	133	0.00360883582256873	0.315773134474764
semibin_ERR6267712.45	response	R	0.451112818455136	0.160456376660616	624	174	0.00508820682886294	0.395749420022673
semibin_ERR6232458.16	response	R	0.332466399396225	0.128987468873351	624	154	0.0101827389079193	0.712791723554349
semibin_SRR11413691.62	cancer_type	Other	0.801792630241207	0.284297827923586	624	117	0.0206930634872829	0.743361270024154
maxbin_SRR16554671.002	response	R	-0.34348946787815	0.161346599676497	624	66	0.0336563945017775	0.743361270024154
metabat_SRR6000877.7	response	R	-0.335201665703894	0.153494148715772	624	229	0.029350748565876	0.743361270024154
metabat_ERR6279651.8	response	R	-0.322436689471059	0.128570723590517	624	70	0.0124006688464821	0.743361270024154
metabat_ERR6275666.49	cancer_type	Other	0.655783515158496	0.202195121199823	624	95	0.0180836363131374	0.743361270024154
semibin_SRR23364196.21	cancer_type	Other	0.649503638836031	0.212900776513048	624	92	0.0199057506725934	0.743361270024154
semibin_SRR11413683.102	cancer_type	Other	0.371633521548737	0.153119235210911	624	75	0.0155040570816541	0.743361270024154
maxbin_SRR25825521.012_sub	response	R	0.285872401021449	0.119775079651394	624	141	0.0172967135011019	0.743361270024154
metabat_SRR13022372.10_sub	response	R	0.319532093874258	0.136817976557073	624	156	0.0198377504220751	0.743361270024154
maxbin_ERR12406009.001	response	R	0.214393864365884	0.0938759008029824	624	84	0.0227202124491994	0.743361270024154
metabat_SRR11413686.6	response	R	0.262205481256863	0.111484678153306	624	77	0.0189894433594573	0.743361270024154
semibin_ERR2162208.7	response	R	0.246487098290056	0.111594528766494	624	74	0.0275572967350907	0.743361270024154
metabat_SRR13068853.24	response	R	0.281833297103567	0.121202465144957	624	130	0.0203796937425919	0.743361270024154
semibin_ERR6279669.74	response	R	0.275435465359059	0.129614783010717	624	138	0.0339822294868185	0.743361270024154
metabat_SRR13068832.4	response	R	0.237046620044172	0.103783937300752	624	117	0.0227091475635059	0.743361270024154
maxbin_ERR6282070.040_sub	response	R	0.258247775364518	0.114225375818024	624	89	0.0241138093748505	0.743361270024154
semibin_ERR6233693.7	response	R	0.246785136384162	0.114763383344067	624	115	0.0319141260820724	0.743361270024154
maxbin_SRR16554652.022_sub	response	R	0.19086881378996	0.0865734598859797	624	63	0.0278431541796739	0.743361270024154
metabat_ERR12405926.24	response	R	-0.190010332904886	0.0863156851341669	624	75	0.0280805200351736	0.743361270024154
metabat_SRR11413620.24	response	R	0.21270356690238	0.0968356314065323	624	81	0.0284259277070759	0.743361270024154
semibin_SRR11413607.11	response	R	-0.192564442420989	0.0891312298459835	624	67	0.0311203093453072	0.743361270024154
semibin_SRR5930529.2	response	R	0.12672063286818	0.0585852491327652	624	66	0.0309259315592993	0.743361270024154
maxbin_SRR13068818.010	response	R	0.250469603878735	0.120849624770173	624	134	0.0386246741480252	0.795213879518165
metabat_ERR12406012.5	response	R	0.153828416379613	0.0739187221251438	624	68	0.0378425125684545	0.795213879518165
metabat_SRR23364235.43	response	R	-0.265348835270045	0.12931299613652	624	76	0.0405895113138098	0.811024910170483
semibin_SRR23364193.36	response	R	0.24891690278703	0.122667883574082	624	140	0.0428684595375827	0.811024910170483
semibin_SRR16168945.59_sub	response	R	0.221817307783115	0.108906651205921	624	112	0.0421014289619644	0.811024910170483
semibin_SRR5930501.2	response	R	0.231871189604639	0.115322764817422	624	138	0.0448008060421093	0.825278006038855
metabat_SRR13068843.53_sub	response	R	0.258768835081585	0.129497979901256	624	135	0.0461302059599402	0.827978055691234
semibin_SRR5930511.52	cancer_type	Other	0.8377546926818	0.406759320037214	624	283	0.0633972153017957	0.836791833240645
semibin_ERR6281504.148	response	R	0.351303727313235	0.207544014644256	624	176	0.0910232900824544	0.836791833240645
semibin_SRR11413686.80	response	R	0.293211327248643	0.192167479319604	624	133	0.127565960293578	0.836791833240645
metabat_ERR6279614.12_sub	response	R	0.350586210128846	0.205989446096822	624	152	0.0892665980665099	0.836791833240645
semibin_ERR6232382.49_sub	response	R	0.299869921889593	0.161934193012048	624	157	0.0645324069194463	0.836791833240645
semibin_ERR6279675.47	response	R	0.323293048388475	0.201461053824602	624	231	0.109063714651155	0.836791833240645
semibin_SRR16554655.39	cancer_type	Other	1.07952749111144	0.539910694727037	624	297	0.0704116865290543	0.836791833240645
maxbin_ERR6281499.002	response	R	0.293237923154011	0.167371180334046	624	128	0.0802671609691122	0.836791833240645
metabat_SRR11413649.62	response	R	0.317007349750529	0.160899940498021	624	120	0.0492577318704894	0.836791833240645
metabat_SRR16554646.5	response	R	-0.348628945782141	0.178395993872488	624	137	0.0511211121973161	0.836791833240645
semibin_SRR5930507.29	response	R	-0.241945604225782	0.158150602797536	624	164	0.126568573933192	0.836791833240645
semibin_SRR16554630.20	response	R	-0.331682986081347	0.171913699255869	624	232	0.0541422544517676	0.836791833240645
semibin_SRR16554630.20	cancer_type	Other	-0.701523416745159	0.344889925667091	624	232	0.0827747021627456	0.836791833240645
metabat_ERR6271719.4	response	R	0.232114057496455	0.148193026141657	624	109	0.117789424428094	0.836791833240645
metabat_SRR6000877.7	cancer_type	Other	-0.664814252482907	0.33880850508168	624	229	0.0896863513228435	0.836791833240645
semibin_SRR5930534.80	response	R	0.209448448397639	0.137602393908174	624	81	0.128486528361162	0.836791833240645
maxbin_SRR11413655.009_sub	response	R	-0.24170677215389	0.149854481507114	624	125	0.107268485055373	0.836791833240645
metabat_ERR6243880.3	cancer_type	Other	-0.778621337307436	0.47407798580501	624	216	0.126992185224754	0.836791833240645
semibin_SRR16554671.9	cancer_type	Other	-0.745977156729109	0.453668703104581	624	213	0.126645623202608	0.836791833240645
metabat_SRR5930523.5	cancer_type	Other	0.661744491726126	0.332344657447296	624	166	0.0812764982164737	0.836791833240645
metabat_ERR6275666.49	response	R	0.273160848637071	0.164074649676594	624	95	0.096448099957224	0.836791833240645
metabat_SRR16554744.3	response	R	0.246860243158205	0.152192821126296	624	163	0.10530800573568	0.836791833240645
metabat_SRR5930536.13	response	R	-0.252548749031144	0.165839832284872	624	192	0.128308176885195	0.836791833240645
semibin_SRR23364196.21	response	R	0.278876255117408	0.161752914963301	624	92	0.0851910781023104	0.836791833240645
maxbin_SRR16168913.015	response	R	0.209090327000798	0.121170607763631	624	140	0.0849212781351961	0.836791833240645
