feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
maxbin_SRR13068842.057_sub	response	R	-0.637302843300167	0.153931049453522	352	50	4.36150494952451e-05	0.258113862912861
semibin_SRR13068843.38	age	age	-0.131798565705535	0.0313816546334882	352	14	3.40285849903758e-05	0.258113862912861
semibin_ERR6279672.24	response	R	-0.838094281214907	0.209114183547228	352	55	7.50330186740303e-05	0.296030269675274
metabat_ERR12405990.2	cancer_type	Other	0.839722704711261	0.21466440370681	352	58	0.000110231803945509	0.32617590787476
semibin_SRR16168900.4	age	age	0.140213318392223	0.0374724659660885	352	13	0.000213763749017847	0.401103811662003
semibin_SRR13022424.6	cancer_type	Other	0.189487666774772	0.0501969061746893	352	17	0.000188245916313648	0.401103811662003
semibin_SRR11413618.30	cancer_type	Other	0.20152117861079	0.0542530613220862	352	10	0.00023721921946891	0.401103811662003
metabat_ERR12406000.21	age	age	0.139367113049067	0.0379933020771631	352	14	0.000282586777422483	0.407187538023889
maxbin_SRR11413646.006_sub	cancer_type	Other	0.231317293548217	0.063481420924512	352	13	0.00030962215632097	0.407187538023889
metabat_ERR6282298.15	cancer_type	Other	0.181384100878628	0.0501929154573548	352	10	0.000346439720382062	0.410046053044209
maxbin_ERR2162217.001	age	age	0.579536428536718	0.178755987562399	352	134	0.00130180580641422	0.463582279018343
metabat_SRR13022417.2	age	age	0.503860070643439	0.16038214546828	352	130	0.00182468664374246	0.463582279018343
semibin_ERR6279672.24	cancer_type	Other	0.72352916867176	0.228229018742255	352	55	0.00165901547825684	0.463582279018343
semibin_SRR11413653.25	gender	male	0.927195065164041	0.279144539232037	352	101	0.000990649794586686	0.463582279018343
maxbin_ERR6281499.002	gender	male	0.551331392662061	0.155619733994232	352	30	0.000450475718996509	0.463582279018343
maxbin_SRR13068842.057_sub	cancer_type	Other	0.575784761222911	0.168001671502156	352	50	0.000682955578656711	0.463582279018343
metabat_ERR12405930.6	age	age	0.250531069006256	0.0790480302128158	352	46	0.00166366414581942	0.463582279018343
metabat_SRR6000874.30	response	R	-0.497314415482348	0.15623430349535	352	39	0.00158863607400165	0.463582279018343
maxbin_ERR2162206.004	response	R	-0.450885644844702	0.142355075310371	352	24	0.00167494087807829	0.463582279018343
semibin_SRR6000910.14	gender	male	0.380793016517942	0.116900128703602	352	74	0.00123693228368097	0.463582279018343
semibin_SRR16168920.5_sub	gender	male	0.397868600961437	0.124337321369496	352	71	0.00150335692159687	0.463582279018343
semibin_SRR23364199.62	gender	male	0.376759249274903	0.116693566401316	352	68	0.00136435137364681	0.463582279018343
semibin_SRR16168929.15_sub	gender	male	0.355911764739989	0.113167301525011	352	67	0.00180638743567907	0.463582279018343
semibin_SRR20881981.34	gender	male	0.364911237116789	0.111360225402671	352	68	0.00115730572874992	0.463582279018343
semibin_SRR11413688.2	gender	male	0.347011793999375	0.110054902667813	352	67	0.00175855016105396	0.463582279018343
semibin_SRR25825516.1	gender	male	0.361506688334131	0.113240370755445	352	67	0.00154192788314723	0.463582279018343
semibin_SRR5930519.26	gender	male	0.394414336841182	0.122564151023087	352	66	0.00141420819754674	0.463582279018343
