feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
semibin_SRR13068843.38	age	age	-0.179609293871469	0.0420779316134992	221	12	2.95324915734942e-05	0.238858791846421
semibin_ERR12405998.5_sub	age	age	0.177915171063652	0.0489211290540291	221	11	0.000344894572045608	0.69737682467622
semibin_SRR16168900.4	age	age	0.19910440433317	0.0531048496498174	221	11	0.000227479039004118	0.69737682467622
metabat_ERR12406000.21	age	age	0.18849385557117	0.0510760324524914	221	11	0.000283151689118247	0.69737682467622
metabat_SRR16554674.5	response	R	0.569889773970684	0.397891823845836	221	176	0.153516035153468	0.80461372852737
maxbin_SRR13022355.014	response	R	0.547689469492115	0.350142684645264	221	176	0.119241911386932	0.80461372852737
metabat_ERR12405975.5_sub	age	age	0.50062155647773	0.19414378739814	221	164	0.01058413136367	0.80461372852737
semibin_SRR13022325.6	age	age	0.446342258582584	0.188966065723792	221	160	0.0190652999917265	0.80461372852737
semibin_SRR16554706.23	age	age	0.480089225017402	0.213838844127054	221	157	0.0257744504094725	0.80461372852737
semibin_SRR23364195.41	age	age	0.407997200545253	0.187473968538809	221	134	0.0306173396515095	0.80461372852737
metabat_SRR13022352.3	age	age	0.415976416802183	0.19580206190052	221	152	0.0347658158117517	0.80461372852737
semibin_ERR12405939.29	age	age	0.416839640167506	0.186922904805358	221	151	0.0267761354356273	0.80461372852737
metabat_SRR16554779.30	age	age	0.351139015205223	0.192386078021098	221	147	0.0693554819419103	0.80461372852737
maxbin_SRR11413655.005	age	age	0.259221054589443	0.171715497956252	221	144	0.132607141249409	0.80461372852737
maxbin_ERR2162217.001	age	age	0.454363720901638	0.194046234007781	221	76	0.0201116635852739	0.80461372852737
maxbin_SRR13022336.003_sub	age	age	0.40712135235913	0.179142559768489	221	130	0.0240319568617332	0.80461372852737
metabat_SRR13022417.2	age	age	0.431205952940133	0.191678937772998	221	73	0.0254763207079072	0.80461372852737
semibin_ERR6281504.148	age	age	-0.14626062246652	0.116191168064786	221	25	0.209470061849275	0.80461372852737
semibin_ERR6281504.148	gender	male	0.491431166464863	0.250875513071714	221	25	0.0514215242595907	0.80461372852737
semibin_ERR6279672.24	response	R	-0.419383395435135	0.222415714986264	221	28	0.0606870912234382	0.80461372852737
semibin_SRR11413653.25	age	age	-0.540477182059524	0.168936343498749	221	68	0.00158449359225627	0.80461372852737
semibin_SRR11413653.25	gender	male	1.17500550461391	0.36473094280559	221	68	0.00147144979095035	0.80461372852737
semibin_SRR11413686.80	gender	male	0.718502385311974	0.305887268871603	221	30	0.0197285962445649	0.80461372852737
metabat_ERR6279614.12_sub	gender	male	0.571143059631665	0.241145287298008	221	22	0.0187491389769585	0.80461372852737
semibin_ERR6232382.49_sub	gender	male	0.427637808162496	0.187572619757787	221	21	0.0235984453872238	0.80461372852737
