feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
metabat_SRR16554674.5	age	age	-0.338385159513568	0.275949453616873	131	97	0.222370484907223	0.760232893412142
metabat_SRR16554674.5	gender	male	0.596070452732236	0.574234931855158	131	97	0.301230519835083	0.760232893412142
metabat_SRR16554674.5	response	R	-0.967321003061555	0.551983552443684	131	97	0.0821106405901626	0.760232893412142
maxbin_SRR13022355.014	gender	male	0.396838890482024	0.537873008529457	131	96	0.462001354398015	0.760232893412142
maxbin_SRR13022355.014	response	R	-0.953613234387158	0.517030639450109	131	96	0.0674545322686574	0.760232893412142
metabat_ERR12405975.5_sub	age	age	0.197176257941323	0.234880286468789	131	105	0.402782616142717	0.760232893412142
metabat_ERR12405975.5_sub	response	R	-0.395383658502724	0.462364515028787	131	105	0.394105545126953	0.760232893412142
semibin_SRR13022325.6	age	age	0.188977708010678	0.229353140681138	131	102	0.411516725609649	0.760232893412142
semibin_SRR13022325.6	response	R	-0.421832388851729	0.452592058869518	131	102	0.353105385147245	0.760232893412142
semibin_SRR23364195.41	gender	male	-0.625764427746367	0.405267867280351	131	76	0.125097751663025	0.760232893412142
semibin_SRR23364195.41	response	R	-0.39802321315366	0.391117209122632	131	76	0.310792735726019	0.760232893412142
semibin_SRR5930502.51	age	age	0.453894971074843	0.221007872839454	131	70	0.0420521955062568	0.760232893412142
semibin_SRR5930502.51	gender	male	-0.557593658559437	0.459904664191216	131	70	0.227605535263103	0.760232893412142
metabat_SRR13022352.3	gender	male	-0.408708429191567	0.388680452529922	131	87	0.295065016575101	0.760232893412142
metabat_SRR13022352.3	response	R	0.269575179773342	0.374895233736004	131	87	0.473434957350052	0.760232893412142
semibin_ERR12405939.29	age	age	0.213759025276126	0.191738014597216	131	98	0.267023849455682	0.760232893412142
semibin_ERR12405939.29	response	R	-0.325313880271785	0.377401460831198	131	98	0.390341839304951	0.760232893412142
metabat_SRR16554779.30	gender	male	-0.375923376116734	0.511783093575772	131	91	0.464014989875726	0.760232893412142
maxbin_ERR2162217.001	age	age	0.72816931075608	0.295380908624106	131	58	0.0150305513457002	0.760232893412142
maxbin_SRR13022336.003_sub	age	age	0.170691405838402	0.186255805756102	131	75	0.361195073460446	0.760232893412142
maxbin_SRR13022336.003_sub	gender	male	-0.585618173854043	0.382367535699251	131	75	0.128153110209398	0.760232893412142
maxbin_SRR13022336.003_sub	response	R	-0.263338711554981	0.368835231893621	131	75	0.476561605860893	0.760232893412142
maxbin_SRR25825509.002	age	age	-0.195855333760256	0.15157591642273	131	36	0.198659422536113	0.760232893412142
maxbin_SRR25825509.002	response	R	-0.56314911650355	0.303198327502721	131	36	0.0655759626328708	0.760232893412142
semibin_SRR5930533.9	age	age	-0.278124382267289	0.184843513465888	131	40	0.134897592726782	0.760232893412142
semibin_SRR5930533.9	response	R	-0.73585774366024	0.369743726148963	131	40	0.0487182882238615	0.760232893412142
metabat_SRR13022417.2	age	age	0.373377689095118	0.162758908130807	131	57	0.0234306007892843	0.760232893412142
metabat_SRR13022417.2	gender	male	0.260378602259847	0.331454850787477	131	57	0.433606312392998	0.760232893412142
metabat_SRR13022417.2	response	R	-0.248652585979514	0.320106678485462	131	57	0.438746467916213	0.760232893412142
semibin_SRR5930511.52	response	R	-0.440504061697148	0.455239200731556	131	73	0.335067247834562	0.760232893412142
semibin_ERR6281504.148	age	age	-0.31398428631346	0.157258840423488	131	29	0.0480522977930162	0.760232893412142
semibin_ERR6281504.148	gender	male	0.43710641666468	0.326978180162146	131	29	0.183700416069651	0.760232893412142
semibin_ERR6281504.148	response	R	-0.454564062828927	0.314405321089423	131	29	0.150699649653996	0.760232893412142
semibin_ERR6279672.24	age	age	0.23061577915283	0.149389943114767	131	27	0.125145098095535	0.760232893412142
semibin_ERR6279672.24	gender	male	0.492153473197215	0.31087187410582	131	27	0.115876855415087	0.760232893412142
semibin_ERR6279672.24	response	R	-1.0547414994443	0.298825710357583	131	27	0.000580317983413077	0.760232893412142
semibin_SRR11413653.25	gender	male	0.556225373796371	0.324657915952647	131	33	0.0891036512976016	0.760232893412142
semibin_SRR11413653.25	response	R	0.299012981174928	0.312077548465315	131	33	0.339814239178414	0.760232893412142
maxbin_SRR16554665.003	age	age	-0.181664602039378	0.13867486514113	131	35	0.192559114635194	0.760232893412142
maxbin_SRR16554665.003	response	R	-0.54051958441124	0.277392267648865	131	35	0.0535514292804602	0.760232893412142
semibin_SRR11413686.80	gender	male	0.595167526771532	0.425001370725893	131	32	0.163835066124127	0.760232893412142
semibin_SRR11413686.80	response	R	0.290605416282908	0.408532733543083	131	32	0.478178458180248	0.760232893412142
maxbin_ERR12405962.011_sub	age	age	-0.209529753523601	0.12837857946958	131	36	0.105130516333268	0.760232893412142
maxbin_ERR12405962.011_sub	response	R	-0.334580546574781	0.256796538005392	131	36	0.194965890680005	0.760232893412142
metabat_ERR6279614.12_sub	age	age	-0.180613040700422	0.103282214664306	131	21	0.08275328315914	0.760232893412142
metabat_ERR6279614.12_sub	gender	male	0.361155787538108	0.214924344738695	131	21	0.0953403890844451	0.760232893412142
metabat_ERR6279614.12_sub	response	R	-0.257875444922692	0.206596110292747	131	21	0.214250271052819	0.760232893412142
semibin_ERR6232382.49_sub	age	age	-0.195334696353474	0.106598056032448	131	22	0.0692282460616407	0.760232893412142
semibin_ERR6232382.49_sub	gender	male	0.341266193742998	0.221824419796359	131	22	0.126425993801546	0.760232893412142
semibin_ERR6232382.49_sub	response	R	-0.243521855976852	0.213228810135915	131	22	0.255574302169625	0.760232893412142
semibin_ERR6279675.47	age	age	-0.281229829654256	0.13842728050026	131	39	0.0442798372265474	0.760232893412142
semibin_ERR6279675.47	gender	male	-0.28546601926574	0.288059204115421	131	39	0.323571039605472	0.760232893412142
maxbin_SRR16554775.001	age	age	-0.101113564892127	0.134142262897014	131	36	0.452400221488651	0.760232893412142
maxbin_SRR16554775.001	gender	male	-0.204122778110513	0.276510752190249	131	36	0.461765964898591	0.760232893412142
maxbin_SRR16554775.001	response	R	0.470150173369313	0.266516166722062	131	36	0.0801352650814743	0.760232893412142
semibin_SRR11413653.97_sub	age	age	0.191300242671427	0.171678103123838	131	70	0.267296628374612	0.760232893412142
semibin_SRR16554655.39	age	age	0.380524888661951	0.187053348835931	131	72	0.0440024055086777	0.760232893412142
semibin_SRR16554655.39	gender	male	0.357294631923989	0.389247253851103	131	72	0.360405002504425	0.760232893412142
metabat_ERR12405990.2	age	age	0.125980323323249	0.167352754976153	131	31	0.452973382366595	0.760232893412142
metabat_ERR6232687.8_sub	age	age	-0.174994893757183	0.137228720171115	131	30	0.204564155500437	0.760232893412142
metabat_ERR6232687.8_sub	gender	male	-0.34826699237638	0.285565069048619	131	30	0.224887478933569	0.760232893412142
metabat_SRR25825493.27	age	age	-0.150532145708319	0.133492417110804	131	30	0.261595503588694	0.760232893412142
metabat_SRR25825493.27	gender	male	-0.346781315514459	0.277790037407473	131	30	0.214196603618998	0.760232893412142
maxbin_ERR6281499.002	age	age	-0.0830793559745207	0.0570266599204446	131	14	0.147625496644736	0.760232893412142
maxbin_ERR6281499.002	gender	male	0.302120553623839	0.118669197362533	131	14	0.0120947996330323	0.760232893412142
maxbin_ERR6281499.002	response	R	-0.211868966557687	0.114070812296619	131	14	0.0655782859067609	0.760232893412142
maxbin_ERR6279667.001	age	age	-0.0895159979029962	0.0927500508733264	131	12	0.336313147494682	0.760232893412142
maxbin_ERR6279667.001	response	R	-0.151134258716414	0.185528552056755	131	12	0.416817891914032	0.760232893412142
semibin_SRR11413691.62	age	age	0.183228236643228	0.229324429127745	131	36	0.425787151607006	0.760232893412142
semibin_SRR11413691.62	gender	male	0.368545635479706	0.477210939202387	131	36	0.441376993350573	0.760232893412142
semibin_SRR11413691.62	response	R	-0.637332129291865	0.458719201625238	131	36	0.167150441137732	0.760232893412142
semibin_SRR6000945.4	age	age	0.415648970698446	0.197495299587874	131	51	0.0372969570841288	0.760232893412142
semibin_SRR6000945.4	gender	male	0.661053296335845	0.410976352422907	131	51	0.110210021369327	0.760232893412142
maxbin_SRR16554671.002	age	age	0.122151892972472	0.141420911940365	131	17	0.389382855014222	0.760232893412142
maxbin_SRR16554671.002	gender	male	0.358436619639226	0.292407397313232	131	17	0.222560359251578	0.760232893412142
maxbin_SRR16554671.002	response	R	-0.692284539676084	0.281639856864283	131	17	0.0153199654820225	0.760232893412142
metabat_SRR11413649.62	age	age	0.201685182349577	0.143524791331016	131	23	0.162404596642078	0.760232893412142
metabat_SRR11413649.62	gender	male	-0.407833484309	0.29326726092345	131	23	0.166797267316028	0.760232893412142
metabat_SRR5930494.64	age	age	-0.147597381620345	0.130426772846065	131	27	0.259965259255527	0.760232893412142
metabat_SRR5930494.64	gender	male	-0.26595390272149	0.270803776728618	131	27	0.327944523410908	0.760232893412142
metabat_ERR12405981.15	age	age	-0.294723597415658	0.10412881563661	131	35	0.00540665346810274	0.760232893412142
metabat_ERR12405981.15	gender	male	0.21875156147287	0.216686072639468	131	35	0.314639021088305	0.760232893412142
maxbin_SRR11413649.010	age	age	0.30509707106709	0.165709663340118	131	26	0.0679325477471326	0.760232893412142
maxbin_SRR11413649.010	gender	male	0.430198155820186	0.344832272681244	131	26	0.21448859482748	0.760232893412142
maxbin_SRR11413649.010	response	R	-0.736059583684518	0.331470156747332	131	26	0.0281516696485138	0.760232893412142
maxbin_SRR13068842.057_sub	age	age	0.221988839973212	0.134877713109641	131	25	0.102266736993259	0.760232893412142
maxbin_SRR13068842.057_sub	gender	male	0.515022060988707	0.280672758656111	131	25	0.0688522698192067	0.760232893412142
maxbin_SRR13068842.057_sub	response	R	-0.944727905922998	0.269796798840944	131	25	0.000638790627447804	0.760232893412142
metabat_SRR16554646.5	age	age	0.199233845957817	0.171170535046592	131	30	0.246626509247779	0.760232893412142
metabat_SRR16554646.5	gender	male	-0.406153758983316	0.356196032424689	131	30	0.256326545683664	0.760232893412142
metabat_SRR16554646.5	response	R	-0.383501821920839	0.342393575237458	131	30	0.264801320848002	0.760232893412142
metabat_SRR20881978.24	age	age	0.347214433718362	0.181190068483199	131	53	0.0575740610872704	0.760232893412142
metabat_SRR20881978.24	gender	male	0.650945076180417	0.37704610487375	131	53	0.0867011244193217	0.760232893412142
semibin_SRR5930502.48	response	R	-0.332785821020742	0.419772904798691	131	48	0.429386925911189	0.760232893412142
semibin_SRR6000905.60_sub	age	age	0.42406825968944	0.18591401108598	131	51	0.0242145267925809	0.760232893412142
semibin_SRR5930507.29	gender	male	-0.449201174335456	0.34420723984833	131	34	0.194275209433583	0.760232893412142
semibin_SRR5930507.29	response	R	-0.236273756076534	0.331972638547811	131	34	0.477947103018003	0.760232893412142
semibin_SRR16554630.20	response	R	-0.258141049781543	0.234991046211252	131	35	0.274058144586863	0.760232893412142
metabat_ERR6271719.4	age	age	0.191815090017735	0.123426654933153	131	21	0.122658327854691	0.760232893412142
metabat_ERR6271719.4	gender	male	-0.395679065995855	0.251749455671174	131	21	0.118539935668918	0.760232893412142
semibin_SRR25825509.21	age	age	0.138851774343169	0.166406625790103	131	39	0.405628948877425	0.760232893412142
semibin_SRR25825509.21	gender	male	-0.336933571723869	0.341481735707071	131	39	0.32569643591772	0.760232893412142
semibin_SRR25825509.21	response	R	0.508518798162343	0.329419182510097	131	39	0.125166429547934	0.760232893412142
metabat_SRR23364235.43	age	age	0.240738668936057	0.0926021082350324	131	15	0.0104588326635203	0.760232893412142
metabat_SRR23364235.43	gender	male	0.256941409664133	0.19151479649532	131	15	0.182140147962812	0.760232893412142
metabat_SRR23364235.43	response	R	-0.518659185749806	0.184451043254	131	15	0.00570901095040389	0.760232893412142
maxbin_SRR5930501.002	age	age	0.193933419511234	0.148873698684727	131	21	0.195045631049212	0.760232893412142
maxbin_SRR5930501.002	gender	male	-0.535015702248692	0.30309805741235	131	21	0.0799757513548806	0.760232893412142
maxbin_SRR5930501.002	response	R	0.251888529100011	0.292730602055369	131	21	0.391163476156746	0.760232893412142
semibin_SRR13022289.13	age	age	-0.0586965204113689	0.0579358860631068	131	5	0.312945489215142	0.760232893412142
semibin_SRR13022289.13	gender	male	0.228582987685266	0.120560873256177	131	5	0.0602440991470769	0.760232893412142
semibin_SRR13022289.13	response	R	0.207664499727225	0.115889325647866	131	5	0.0755267541509593	0.760232893412142
metabat_ERR12405956.16	age	age	0.322408799194669	0.196397306393846	131	52	0.103143883476316	0.760232893412142
metabat_ERR12405956.16	response	R	0.450219523036766	0.39285485603519	131	52	0.253941657268314	0.760232893412142
maxbin_ERR12406000.010	age	age	0.2454750210944	0.160376005240827	131	24	0.128355923742233	0.760232893412142
maxbin_ERR12406000.010	gender	male	-0.467015992880076	0.327269096536169	131	24	0.1560656767443	0.760232893412142
metabat_SRR6000877.7	response	R	-0.347092719204284	0.223893834257015	131	33	0.123568559120749	0.760232893412142
semibin_SRR13022308.4	age	age	-0.200063925707681	0.219688287206862	131	36	0.364204195085519	0.760232893412142
semibin_SRR13022308.4	gender	male	0.512983603616963	0.449934198640607	131	36	0.256402921534837	0.760232893412142
semibin_SRR13022308.4	response	R	0.732066984712869	0.434180581252605	131	36	0.0942493399586988	0.760232893412142
metabat_ERR12405930.6	age	age	0.273680678616438	0.132021648916623	131	19	0.0402008273288229	0.760232893412142
metabat_ERR12405930.6	gender	male	-0.547880224965852	0.269607558798191	131	19	0.0442536956427949	0.760232893412142
metabat_ERR12405930.6	response	R	0.186562471591961	0.260279631455516	131	19	0.47483902353843	0.760232893412142
semibin_ERR6281499.45	age	age	-0.031397743699954	0.0354140706407547	131	4	0.376975731372165	0.760232893412142
semibin_ERR6281499.45	gender	male	0.154144558821009	0.0736946428940641	131	4	0.0384604816254218	0.760232893412142
semibin_ERR6281499.45	response	R	0.128538195816717	0.0708390042544376	131	4	0.0719592588216257	0.760232893412142
semibin_SRR16554707.35_sub	gender	male	0.326556657735987	0.337508753948776	131	46	0.335128184962597	0.760232893412142
semibin_SRR16554707.35_sub	response	R	-0.231271514993683	0.3251328179246	131	46	0.478197063653405	0.760232893412142
semibin_ERR2162217.22	age	age	0.207781714253699	0.156321424033496	131	36	0.186166412892002	0.760232893412142
semibin_ERR2162217.22	response	R	0.376625204011649	0.312690798369418	131	36	0.230649667006802	0.760232893412142
metabat_ERR12405933.43	age	age	0.179863400890551	0.198329146194417	131	82	0.366180723196654	0.760232893412142
semibin_ERR2162223.6	age	age	0.355019766747675	0.151456303275441	131	39	0.0206282430497602	0.760232893412142
semibin_ERR2162223.6	gender	male	0.400392511094479	0.315171850679429	131	39	0.206266631218287	0.760232893412142
metabat_SRR6000874.30	age	age	0.173045037368221	0.139445849056495	131	18	0.217089858017353	0.760232893412142
metabat_SRR6000874.30	gender	male	0.473424385553052	0.288417044842631	131	18	0.103288657771244	0.760232893412142
metabat_SRR6000874.30	response	R	-0.909434228469208	0.277773659630345	131	18	0.00136891915335165	0.760232893412142
metabat_SRR16554713.13	age	age	-0.143638853119944	0.153677037941653	131	60	0.351760786879063	0.760232893412142
semibin_SRR5930499.112	response	R	-0.592789020065057	0.288890538152882	131	56	0.0422583123666518	0.760232893412142
semibin_SRR16168913.44_sub	response	R	0.239547148741984	0.290554614318388	131	28	0.411238313829858	0.760232893412142
semibin_SRR6000900.32	response	R	-0.644342073179463	0.334166846383985	131	58	0.0560855625254828	0.760232893412142
semibin_SRR16168903.5	response	R	0.237400253721969	0.275086795824882	131	25	0.389771246298166	0.760232893412142
semibin_SRR16554765.8	gender	male	-0.292416061971399	0.305886603286623	131	28	0.340935720457347	0.760232893412142
maxbin_SRR16554755.007_sub	response	R	0.411113445854044	0.256624425491307	131	24	0.11164792628981	0.760232893412142
semibin_SRR5930534.80	response	R	0.312514208319851	0.246089689921634	131	14	0.20645116550981	0.760232893412142
metabat_SRR6000907.1_sub	gender	male	-0.277733132238308	0.318889953579259	131	29	0.385453074506724	0.760232893412142
metabat_SRR6000907.1_sub	response	R	0.264445244089676	0.3074186956175	131	29	0.39130009648823	0.760232893412142
metabat_ERR6282298.17	age	age	-0.0342257727932716	0.0375639047014032	131	4	0.363950621099289	0.760232893412142
metabat_ERR6282298.17	gender	male	0.167742636968626	0.0781683238495276	131	4	0.0337818332124032	0.760232893412142
metabat_ERR6282298.17	response	R	0.138009785338954	0.0751393318195312	131	4	0.068589692682317	0.760232893412142
maxbin_SRR16554728.024	age	age	0.25003772537717	0.135462378930649	131	23	0.0672486179495395	0.760232893412142
maxbin_SRR16554728.024	gender	male	0.38113622141614	0.281889414581623	131	23	0.17875355179287	0.760232893412142
maxbin_SRR16554728.024	response	R	-0.652603177033064	0.27096630982436	131	23	0.0174577328119013	0.760232893412142
semibin_SRR8387683.16	age	age	-0.179729545281937	0.168815179955577	131	69	0.289062155853711	0.760232893412142
maxbin_SRR11413620.019	gender	male	0.215071908216542	0.287288959892387	131	43	0.455482938085649	0.760232893412142
maxbin_SRR11413620.019	response	R	-0.225527368321772	0.276936686195296	131	43	0.416966188100611	0.760232893412142
semibin_SRR25825514.3_sub	gender	male	-0.413448544107947	0.315230104648499	131	45	0.192054230767429	0.760232893412142
semibin_SRR25825514.3_sub	response	R	-0.343755400110903	0.30385169628886	131	45	0.260056510118455	0.760232893412142
semibin_SRR11413656.25	age	age	-0.0525680364162664	0.0493402635456989	131	5	0.288707873409437	0.760232893412142
semibin_SRR11413656.25	gender	male	0.197025398487479	0.102674248865219	131	5	0.0572360803959291	0.760232893412142
semibin_SRR11413656.25	response	R	0.171348028460555	0.0986956618086858	131	5	0.0849668466727705	0.760232893412142
metabat_ERR12405985.2	gender	male	-0.431370948612221	0.266429843895829	131	35	0.107933758143312	0.760232893412142
metabat_ERR12405985.2	response	R	0.32555824914662	0.256144633329592	131	35	0.20605404832747	0.760232893412142
semibin_SRR16554738.0	gender	male	-0.445678869904539	0.251257344650614	131	33	0.078493739373574	0.760232893412142
semibin_SRR16554738.0	response	R	0.282785206259971	0.241521220643532	131	33	0.243851154378377	0.760232893412142
semibin_SRR11413691.42	age	age	-0.0982625662420182	0.127812292401778	131	16	0.443459255540762	0.760232893412142
semibin_SRR11413691.42	response	R	0.292548345833738	0.254205618777815	131	16	0.251968390796094	0.760232893412142
maxbin_SRR11413655.009_sub	gender	male	-0.449578337404676	0.365314000412453	131	21	0.220746410613504	0.760232893412142
maxbin_SRR11413655.009_sub	response	R	-0.287246604794249	0.351770636663681	131	21	0.415703431647356	0.760232893412142
semibin_SRR20881975.0	age	age	-0.374436366844694	0.130031937373836	131	26	0.00467493971108783	0.760232893412142
semibin_SRR20881975.0	gender	male	0.22875825287993	0.270588978228343	131	26	0.39947268055114	0.760232893412142
semibin_SRR20881975.0	response	R	0.287689282528342	0.260103760967752	131	26	0.270793134424145	0.760232893412142
metabat_ERR6275681.8	gender	male	-0.444264994918107	0.248863263030015	131	30	0.0766195743455856	0.760232893412142
metabat_ERR6275681.8	response	R	0.244861192610574	0.239219908751013	131	30	0.307978515434228	0.760232893412142
maxbin_SRR16554759.001	age	age	0.135086478071756	0.11448381021284	131	22	0.240221050462866	0.760232893412142
maxbin_SRR16554759.001	response	R	0.236487969807963	0.229002737386497	131	22	0.303713307587604	0.760232893412142
metabat_SRR16554662.30_sub	gender	male	-0.343679489707056	0.251669571738216	131	29	0.174478906327185	0.760232893412142
metabat_SRR16554662.30_sub	response	R	0.208292581567425	0.241917474092435	131	29	0.390856950511154	0.760232893412142
metabat_SRR16554786.10	gender	male	-0.568106083120047	0.308770523981307	131	19	0.0681534535410876	0.760232893412142
metabat_SRR16554786.10	response	R	-0.297555677307393	0.298345669168472	131	19	0.320513756428163	0.760232893412142
metabat_ERR6243880.3	age	age	0.0759537994695091	0.10040587573896	131	27	0.450769833994368	0.760232893412142
metabat_ERR6243880.3	gender	male	-0.307974899239917	0.208938848970759	131	27	0.142957286774932	0.760232893412142
metabat_ERR6243880.3	response	R	0.162649430807693	0.200842550148907	131	27	0.419549490534369	0.760232893412142
semibin_ERR6264280.18	age	age	0.0725203659018868	0.0928623623436556	131	28	0.436317990827833	0.760232893412142
semibin_ERR6264280.18	gender	male	-0.290624699949462	0.193154801197761	131	28	0.134928780914785	0.760232893412142
semibin_ERR6264280.18	response	R	0.138361438790775	0.185701952969353	131	28	0.457604529521054	0.760232893412142
metabat_ERR6281505.14	gender	male	-0.282554626160439	0.195725345140524	131	28	0.151330507760915	0.760232893412142
metabat_ERR6281505.14	response	R	0.171109708566403	0.188144442467519	131	28	0.364830525143056	0.760232893412142
semibin_SRR16554671.9	age	age	0.0770773142132414	0.09495784934598	131	27	0.418482358650097	0.760232893412142
semibin_SRR16554671.9	gender	male	-0.292885014665973	0.197601819585437	131	27	0.14076472952794	0.760232893412142
semibin_SRR16554671.9	response	R	0.156733658382319	0.189944826225963	131	27	0.410831623632257	0.760232893412142
maxbin_SRR16554707.013	gender	male	-0.586810769210628	0.309452849654339	131	34	0.0602185599488987	0.760232893412142
maxbin_SRR16554707.013	response	R	0.332118744393851	0.298002786375305	131	34	0.267180558386492	0.760232893412142
metabat_SRR16554771.26	age	age	-0.158112396587057	0.16906315360771	131	79	0.351452675679281	0.760232893412142
metabat_SRR16554771.26	gender	male	-0.984018443451978	0.345407632670894	131	79	0.00513037778910524	0.760232893412142
metabat_SRR16554771.26	response	R	-0.238816542835667	0.333435776397859	131	79	0.475175302742737	0.760232893412142
maxbin_ERR2162206.004	age	age	0.186645754814422	0.0723866941961531	131	13	0.0110647188838049	0.760232893412142
maxbin_ERR2162206.004	gender	male	0.262457273170256	0.15063254470748	131	13	0.0838648930011671	0.760232893412142
maxbin_ERR2162206.004	response	R	-0.314177853596692	0.144795592411364	131	13	0.0318831991532313	0.760232893412142
semibin_SRR16554665.28	age	age	0.223940505046951	0.11414986273278	131	14	0.0520140835149225	0.760232893412142
semibin_SRR16554665.28	gender	male	0.217514067128214	0.236281695066436	131	14	0.359038589727437	0.760232893412142
semibin_SRR16554665.28	response	R	-0.582852107711015	0.227515662074779	131	14	0.0115829287193393	0.760232893412142
maxbin_ERR6279655.020	age	age	0.0705927240973158	0.0910901753631504	131	27	0.439794219527706	0.760232893412142
maxbin_ERR6279655.020	gender	male	-0.308871336577368	0.189553412615037	131	27	0.105691777374613	0.760232893412142
maxbin_ERR6279655.020	response	R	0.141961379482375	0.182208291883335	131	27	0.437360810034884	0.760232893412142
semibin_SRR11413608.137	age	age	0.0850906507607723	0.0945649964857732	131	26	0.36992369490643	0.760232893412142
semibin_SRR11413608.137	gender	male	-0.29813042684129	0.196784315392357	131	26	0.13225452110635	0.760232893412142
semibin_ERR12405912.11	age	age	-0.0724569235985195	0.0472013065487495	131	5	0.127256190165812	0.760232893412142
semibin_ERR12405912.11	gender	male	0.210798979560452	0.0982232024533288	131	5	0.0337650261336867	0.760232893412142
semibin_ERR12405912.11	response	R	0.16505327920292	0.0944170917074394	131	5	0.0828582343433084	0.760232893412142
metabat_ERR6279651.8	age	age	0.176037740570473	0.0744374622517394	131	14	0.0195491306393287	0.760232893412142
metabat_ERR6279651.8	gender	male	0.23527917475588	0.15490007500774	131	14	0.131270882127535	0.760232893412142
metabat_ERR6279651.8	response	R	-0.354960318812386	0.148897757578656	131	14	0.0186097047860275	0.760232893412142
metabat_SRR16554746.22	gender	male	-0.256727404391213	0.249936919506111	131	42	0.306318050340092	0.760232893412142
maxbin_SRR13022253.002	age	age	0.074984565027713	0.0993351110997897	131	12	0.451730981987613	0.760232893412142
maxbin_SRR13022253.002	gender	male	-0.172764810297853	0.20118147346357	131	12	0.392123016299008	0.760232893412142
maxbin_ERR6232518.013	gender	male	0.137131406053896	0.0903412026739503	131	11	0.131557952115303	0.760232893412142
maxbin_ERR6232518.013	response	R	-0.0784831836818696	0.087343584405733	131	11	0.370615767525224	0.760232893412142
metabat_ERR12405939.30	age	age	0.0823461121263819	0.0849415304634057	131	21	0.334166033966219	0.760232893412142
metabat_ERR12405939.30	gender	male	-0.152033530095713	0.176758436438318	131	21	0.391343479223189	0.760232893412142
metabat_ERR12405970.10	gender	male	-0.291165979242127	0.179766380342108	131	22	0.107779258708117	0.760232893412142
metabat_ERR12405970.10	response	R	0.133597135854335	0.172800503289842	131	22	0.440882442194388	0.760232893412142
semibin_SRR20881988.7	age	age	-0.12230637755098	0.132708241942174	131	25	0.358475030612202	0.760232893412142
semibin_SRR20881988.7	response	R	-0.25373198523867	0.265457191038692	131	25	0.340973957589222	0.760232893412142
semibin_SRR5930531.50	age	age	-0.0334680282080851	0.0357114514421878	131	4	0.350445197983244	0.760232893412142
semibin_SRR5930531.50	gender	male	0.111683550595148	0.0743134752273328	131	4	0.135354919910082	0.760232893412142
semibin_SRR5930531.50	response	R	0.0896592046386154	0.0714338570764022	131	4	0.211734042835986	0.760232893412142
metabat_ERR6275666.49	age	age	0.205720505560938	0.162008477008566	131	26	0.206472915592679	0.760232893412142
metabat_ERR6275666.49	response	R	0.462166322976734	0.324066648775968	131	26	0.15627975208241	0.760232893412142
metabat_SRR16554744.3	response	R	0.215228388099054	0.177812075984393	131	32	0.228392254668099	0.760232893412142
semibin_SRR11413690.7	response	R	0.198415464346085	0.184780745316691	131	22	0.284956387902148	0.760232893412142
semibin_SRR13022392.1	age	age	-0.0335802845357949	0.0371804615043723	131	4	0.368145464392675	0.760232893412142
semibin_SRR13022392.1	gender	male	0.120487097706415	0.0773704006239825	131	4	0.121893402706373	0.760232893412142
semibin_SRR13022392.1	response	R	0.0965107983261805	0.0743723278074438	131	4	0.196752542020519	0.760232893412142
metabat_SRR5930536.13	age	age	-0.240719546231087	0.130941981652116	131	48	0.0683446992571301	0.760232893412142
metabat_SRR5930536.13	response	R	-0.366550779538444	0.261924128672858	131	48	0.164114675149268	0.760232893412142
semibin_SRR13022424.5	response	R	0.125750491788423	0.160535105286776	131	12	0.434900948619552	0.760232893412142
maxbin_ERR12405918.001	age	age	-0.071394954286382	0.0677061442147891	131	2	0.293663971539144	0.760232893412142
maxbin_ERR12405918.001	response	R	0.115646283175555	0.135433056728686	131	2	0.394768178552237	0.760232893412142
semibin_ERR6279646.10	gender	male	0.207886512695935	0.103414147811168	131	9	0.0465591634086445	0.760232893412142
metabat_ERR12405918.3	gender	male	-0.373702996710509	0.231817814816478	131	25	0.109459789790208	0.760232893412142
semibin_SRR23364196.21	age	age	0.178306249162555	0.150654990778868	131	25	0.238805721894884	0.760232893412142
semibin_SRR23364196.21	response	R	0.389396484654277	0.301356193728681	131	25	0.198652537297915	0.760232893412142
semibin_SRR16554695.47	gender	male	-0.0431569306783845	0.0476154849641753	131	2	0.366459982388818	0.760232893412142
semibin_SRR16554695.47	response	R	0.0506320630470259	0.045770403512275	131	2	0.270723046502048	0.760232893412142
semibin_SRR16554716.24	gender	male	-0.394135649851899	0.248418115445719	131	34	0.115094144796773	0.760232893412142
