feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
semibin_ERR6279672.24	response	R	-1.17149127683619	0.381387286416103	171	38	0.00248159077703377	0.272041234877493
maxbin_SRR13068842.057_sub	response	R	-0.831463470433947	0.265620430605582	171	31	0.00205803332001515	0.272041234877493
metabat_SRR23364235.43	response	R	-0.519443809929899	0.174447578501445	171	19	0.00333635887628895	0.272041234877493
metabat_SRR6000874.30	response	R	-0.632809996837263	0.219339125448513	171	25	0.00442343471345517	0.272041234877493
maxbin_SRR16554652.022_sub	response	R	0.470764885947835	0.169220547527727	171	27	0.00602513405049658	0.296436595284432
maxbin_SRR11413649.010	response	R	-0.783287300523402	0.300781521353857	171	31	0.010029747093181	0.308414723115314
maxbin_SRR16554728.024	response	R	-0.545294951888329	0.201909298580863	171	25	0.0076244446703681	0.308414723115314
metabat_SRR23364213.66	response	R	0.457567758089176	0.174095716412602	171	28	0.00937295861358189	0.308414723115314
maxbin_SRR16168913.015	response	R	0.495871608815565	0.194160674923937	171	45	0.0115434192162281	0.315520125243568
maxbin_SRR16554671.002	response	R	-0.594975514201054	0.241431227093621	171	23	0.0147261154740447	0.354182886260101
semibin_ERR6267712.45	response	R	0.51720155669729	0.212467406172617	171	46	0.0159640954966225	0.354182886260101
semibin_SRR11413654.21	response	R	0.324859355396602	0.135106291295037	171	23	0.0172772139639074	0.354182886260101
semibin_ERR6232458.16	response	R	0.389703473276858	0.166551717529285	171	29	0.0204752651672209	0.387455017779719
semibin_ERR2162208.7	response	R	0.467825703810836	0.205501142487929	171	29	0.024086371519509	0.423231956699944
semibin_SRR13068827.60	response	R	0.293908153687554	0.130882844450531	171	21	0.0260269465396807	0.426841923250763
maxbin_SRR25825509.002	response	R	-0.389343521213879	0.220371860376415	171	50	0.0790740829464642	0.438328849346644
semibin_SRR5930533.9	response	R	-0.50373538604716	0.299626223308707	171	57	0.0945689619561156	0.438328849346644
maxbin_SRR16554665.003	response	R	-0.397006895606637	0.21122613907975	171	51	0.0618936852030562	0.438328849346644
semibin_SRR11413686.80	response	R	0.689628036065867	0.412755976014202	171	48	0.0966142687992681	0.438328849346644
maxbin_SRR16554775.001	response	R	0.360455986977746	0.210903096740028	171	45	0.0892676612513126	0.438328849346644
metabat_SRR11413649.62	response	R	0.465198447532444	0.249285696618782	171	32	0.0637761648782147	0.438328849346644
metabat_ERR6271719.4	response	R	0.360962239139776	0.207764216404541	171	27	0.08417022170783	0.438328849346644
semibin_SRR25825509.21	response	R	0.55165368317788	0.299934817382661	171	49	0.0676396303848076	0.438328849346644
maxbin_SRR5930501.002	response	R	0.375423333263631	0.215098060816623	171	28	0.0827664091734858	0.438328849346644
semibin_SRR13022308.4	response	R	0.581321466249802	0.296869289826943	171	50	0.0518609732436733	0.438328849346644
maxbin_SRR16554755.007_sub	response	R	0.380604377321103	0.208938269256984	171	35	0.0702820630183824	0.438328849346644
semibin_SRR5930534.80	response	R	0.417921993900663	0.245719200490321	171	19	0.0908355266179081	0.438328849346644
metabat_ERR6279651.8	response	R	-0.233925088940294	0.132943208123669	171	18	0.0802873447972942	0.438328849346644
metabat_SRR16554744.3	response	R	0.41534139183645	0.206105799560217	171	50	0.0454837151657192	0.438328849346644
metabat_SRR5930536.13	response	R	-0.435047922892586	0.242294767602676	171	60	0.0743556960120374	0.438328849346644
semibin_SRR13068844.35	response	R	0.388508033819822	0.230238320051597	171	35	0.0933679806201597	0.438328849346644
metabat_SRR16168982.24	response	R	-0.50252607094769	0.245043437458406	171	56	0.0418340467560203	0.438328849346644
maxbin_ERR2162223.012	response	R	-0.473372645819209	0.254760154066909	171	52	0.0648927270731846	0.438328849346644
semibin_SRR20881980.15_sub	response	R	0.313175697122185	0.170148199526932	171	24	0.0674352435466545	0.438328849346644
maxbin_SRR16554733.009	response	R	0.365137127230795	0.186175422516971	171	36	0.0515138983409973	0.438328849346644
metabat_SRR11413686.6	response	R	0.440398063197323	0.207298819516385	171	29	0.0351053320733283	0.438328849346644
maxbin_SRR8387707.004_sub	response	R	0.249783412013246	0.134163269236555	171	25	0.064396305762967	0.438328849346644
metabat_SRR16554669.41_sub	response	R	0.305578126144484	0.145786959351846	171	25	0.0375870997168118	0.438328849346644
semibin_SRR20881986.74	response	R	0.280900541295241	0.145267893117844	171	25	0.0548495496334393	0.438328849346644
semibin_SRR5930501.2	response	R	0.276606532069483	0.138635029711801	171	26	0.047651186219929	0.438328849346644
metabat_SRR13068853.24	response	R	0.330662942863369	0.159781570799695	171	24	0.0400436224035824	0.438328849346644
metabat_SRR13068832.4	response	R	0.267086403306792	0.132188517580937	171	19	0.0449331617402694	0.438328849346644
semibin_SRR20881980.56	response	R	0.211841383666865	0.127310625185992	171	18	0.0980003524962008	0.438328849346644
semibin_ERR6233693.7	response	R	0.263998985045309	0.149198388151361	171	24	0.0786428803476333	0.438328849346644
