feature	metabat_SRR16554674.5	maxbin_SRR13022355.014	metabat_ERR12405975.5_sub	semibin_SRR13022325.6	semibin_SRR16554706.23	semibin_SRR23364195.41	semibin_SRR5930502.51	metabat_SRR13022352.3	semibin_ERR12405939.29	metabat_SRR16554779.30	maxbin_SRR11413655.005	maxbin_ERR2162217.001	maxbin_SRR13022336.003_sub	maxbin_SRR25825509.002	semibin_SRR5930533.9	metabat_SRR13022417.2	semibin_SRR5930511.52	semibin_ERR6281504.148	semibin_ERR6279672.24	semibin_SRR11413653.25	maxbin_SRR16554665.003	semibin_SRR11413686.80	maxbin_ERR12405962.011_sub	metabat_ERR6279614.12_sub	semibin_ERR6232382.49_sub	semibin_ERR6279675.47	maxbin_SRR16554775.001	semibin_SRR11413653.97_sub	semibin_SRR16554655.39	metabat_ERR12405990.2	metabat_ERR6232687.8_sub	metabat_SRR25825493.27	maxbin_ERR6279667.001	semibin_SRR11413691.62	semibin_SRR6000945.4	maxbin_SRR16554671.002	metabat_SRR11413649.62	metabat_SRR5930494.64	metabat_ERR12405981.15	maxbin_SRR11413649.010	maxbin_SRR13068842.057_sub	metabat_SRR16554646.5	metabat_SRR20881978.24	semibin_SRR5930502.48	semibin_SRR6000905.60_sub	semibin_SRR5930507.29	semibin_SRR16554630.20	metabat_ERR6271719.4	semibin_SRR25825509.21	metabat_SRR23364235.43	maxbin_SRR5930501.002	metabat_ERR12405956.16	maxbin_ERR12406000.010	metabat_SRR6000877.7	semibin_SRR13022308.4	metabat_ERR12405930.6	semibin_SRR16554707.35_sub	semibin_ERR2162217.22	metabat_ERR12405933.43	semibin_ERR2162223.6	metabat_SRR6000874.30	metabat_SRR16554713.13	semibin_SRR5930499.112	semibin_SRR16168913.44_sub	semibin_SRR6000900.32	semibin_SRR16168903.5	semibin_SRR16554765.8	maxbin_SRR16554755.007_sub	semibin_SRR5930534.80	metabat_SRR6000907.1_sub	maxbin_SRR16554728.024	semibin_SRR8387683.16	maxbin_SRR11413620.019	semibin_SRR25825514.3_sub	metabat_ERR12405985.2	semibin_SRR16554738.0	semibin_SRR11413691.42	maxbin_SRR11413655.009_sub	semibin_SRR20881975.0	metabat_ERR6275681.8	maxbin_SRR16554759.001	metabat_SRR16554662.30_sub	metabat_SRR16554786.10	metabat_ERR6243880.3	semibin_ERR6264280.18	metabat_ERR6281505.14	semibin_SRR16554671.9	maxbin_SRR16554707.013	metabat_SRR16554771.26	maxbin_ERR2162206.004	maxbin_ERR6279655.020	metabat_SRR5930523.5	semibin_SRR11413608.137	metabat_ERR6279651.8	metabat_SRR16554746.22	metabat_ERR12405939.30	metabat_ERR12405970.10	semibin_SRR20881988.7	metabat_ERR6275666.49	metabat_SRR16554744.3	semibin_SRR16168903.11	semibin_SRR11413690.7	metabat_SRR5930536.13	semibin_SRR13022424.5	semibin_ERR12405947.71	metabat_ERR12405918.3	semibin_SRR23364196.21	semibin_SRR16554716.24	metabat_SRR16554626.7	semibin_SRR25825508.4_sub	semibin_SRR13068844.35	semibin_ERR6279614.29	semibin_SRR11413683.102	maxbin_SRR5930501.087_sub	maxbin_SRR16168913.015	semibin_SRR16554739.16	metabat_SRR16168982.24	metabat_SRR13022323.1	semibin_ERR6267712.45	semibin_ERR2162202.11	maxbin_ERR2162223.012	maxbin_SRR25825521.012_sub	metabat_SRR23364233.36	semibin_SRR16554653.1	maxbin_SRR5930508.026	metabat_SRR16554633.8	metabat_SRR16554713.7	semibin_SRR20881980.15_sub	metabat_SRR13022372.10_sub	semibin_ERR6233695.43_sub	maxbin_SRR5930515.007	maxbin_SRR13068818.010	semibin_ERR12405970.61	maxbin_SRR16554787.017_sub	metabat_SRR6000907.39	semibin_SRR25825502.47_sub	maxbin_ERR12405958.009_sub	semibin_ERR6232458.16	semibin_SRR11413688.65_sub	semibin_SRR5930536.88	maxbin_ERR12406009.001	semibin_SRR16554765.35	metabat_ERR2162222.11_sub	maxbin_SRR16554790.013_sub	maxbin_SRR16554733.009	metabat_SRR11413686.6	maxbin_SRR8387707.004_sub	metabat_SRR16554669.41_sub	maxbin_SRR5930518.019_sub	metabat_SRR11413686.5	semibin_SRR13068817.76	semibin_SRR20881986.74	semibin_SRR23364193.36	metabat_SRR5930514.58	semibin_SRR16554673.13	semibin_ERR2162202.9	semibin_SRR5930501.2	semibin_ERR2162208.7	metabat_SRR16554665.10	metabat_SRR13068853.24	semibin_ERR6279669.74	semibin_SRR16554776.8	metabat_SRR13068851.17	metabat_ERR6279627.10	semibin_SRR11413679.4	metabat_ERR2162214.7	metabat_SRR11413647.31	metabat_ERR2162213.1	metabat_SRR16168896.4	metabat_ERR12405997.59	semibin_SRR6000944.44	maxbin_SRR11413646.009	metabat_ERR12405954.8	metabat_SRR13068832.4	semibin_SRR20881980.56	maxbin_SRR5930507.045	semibin_SRR5930495.29	maxbin_ERR6282070.040_sub	semibin_ERR6233693.7	metabat_SRR11413613.2	semibin_SRR16168945.59_sub	semibin_ERR12405923.28	semibin_SRR6000901.29	metabat_SRR16554687.19	semibin_SRR23364183.27	metabat_ERR12405985.26	semibin_SRR11413689.18	maxbin_SRR5930497.004	metabat_SRR5930527.86	semibin_SRR6000896.44	metabat_ERR6281586.4	metabat_SRR5930529.3	metabat_SRR6000949.51_sub	semibin_SRR11413689.110	maxbin_SRR6000869.050	semibin_SRR11413691.40_sub	metabat_SRR13068828.29	metabat_ERR12405917.12	semibin_SRR16554633.6	maxbin_SRR16554652.022_sub	metabat_SRR11413685.32	semibin_SRR13022464.9	semibin_SRR11413690.11	maxbin_SRR5930504.027	metabat_SRR13068838.21	semibin_ERR12405916.16	metabat_SRR11413612.18	maxbin_SRR23364191.039_sub	metabat_SRR16554654.18	metabat_SRR11413687.86	metabat_SRR5930529.8	semibin_SRR5930498.118	maxbin_SRR11413612.015_sub	metabat_SRR11413689.14	metabat_ERR6281658.13	semibin_SRR11413691.52	metabat_SRR25825507.13_sub	semibin_SRR8387707.23	semibin_ERR12405918.0	metabat_SRR16554711.16	semibin_ERR12406007.1	metabat_SRR11413620.24	metabat_SRR11413619.66	metabat_SRR5930526.41	metabat_SRR11413619.35	maxbin_SRR11413681.013	metabat_SRR11413689.27	metabat_ERR12405924.12	semibin_SRR20881984.28	semibin_ERR12406009.9_sub	semibin_SRR11413606.50	maxbin_ERR6232523.003	semibin_ERR6267712.18	metabat_SRR5930498.82	semibin_ERR6279661.80	maxbin_SRR11413617.028_sub	maxbin_ERR12405962.006	metabat_SRR23364213.66	semibin_ERR12405915.41_sub	semibin_SRR11413654.21	metabat_SRR25825510.12_sub	semibin_SRR13068827.60	maxbin_SRR23364231.030_sub	semibin_SRR13022424.6	metabat_SRR11413618.48	maxbin_SRR11413691.019
SRR11413606	2.56531510190836	1.982154610746	4.19384546465196	2.99399734460793	3.27895606155121	0	1.89768393428067	2.43593940208949	2.73971743779545	2.66006852697613	2.97751244198892	2.75793930076909	0	0	0	1.93237293470258	0	0	0	0	0	0.919053733403877	0	0	0	0	0	0	0	0	0	0	0.854761124755945	0	0.431479942416801	0	0	0	0.987297982704351	0	0	0.268080262122949	0.353108101567601	0.326407673880735	0	0.0898358533462819	0	0	0.310167651671295	0	0	0	0	0	0	0	1.04282180508172	0.224219744168539	0.0945213143715529	0.320993058838627	0	0.211364073794029	0	0	0	0	0	0	0	0	0	0.390143861199262	1.18489940950517	0.289778214842467	0.229059258281751	0.235198956916006	0	0	0	0.226395550344233	0.132064855949994	0.227649852191338	0	0.223877335993772	0.277979966390577	0.215782130304392	0.21851012370639	0.0968585325338144	0.377000340344707	0	0.218143774180888	0	0.311983966589666	0	0	0.206260859160337	0.209621045468268	0	0.167223584596201	0.223986743642711	0	0.169535580336843	0	0	0	0.206572937811653	0.158006407999093	0	0	0.22240160622656	0	0	0	0.186356799117809	0.409828907974186	0	0	0	0.122510140494738	0	0	0	0	0	0	0	0	0	0.119835973742906	0.0758819137503386	0.29864983434754	0	0	0	0.237853165599181	0	0	0.110428718977199	0.465725543206093	0.166128844976273	0	0	0	0.257644878798557	0.167077213333821	2.59591387336862	0	0	0	0.18273002351576	0	0	0	0	0	0	0	2.27456512046425	0.215937867188843	0.10419010861656	0.354644574469268	0	0	0	0	0	0.10608762299705	0	0	0	0	0.128205401399008	0	0	0	0	0	0	0	0	0	0	0	0	0.0950561310479035	0	0.0685443638681082	0	0.0792047202192971	0	0	0.107878114869099	0	0.399166698552681	0.185983168667859	0	0	0	0	1.60764300317398	0.106197330918734	0	0	0.0704902802795278	0.245557665077669	0	0.177392436786336	0	0	0	0	0.225750573190429	0	0	0	0.159159310225793	0	0	0	0.105336468025167	0.123089597816008	0.159410640711948	0	0	0.419717837921823	0	0	0	0	0	0.682419352062246	0	0	0.174244053254963	0	0	0	0.113517487500447	0	0	0.111440264702923	0.105948575440169	0.0600739697440173	0.137470219860253	0.166451884929576	0
SRR11413607	1.26016660651035	1.34234551409245	3.00826861191813	2.16088935735915	2.14186893179499	2.47487351010871	0.167857899569755	1.84701042861864	1.90238323021783	1.82641212365991	2.10149746946793	0.816801453123286	1.87405481241622	0	0	0.639964288941737	0.836463994299165	0	2.40488186180224	0	0	0	0.488849162023235	0	0	0	0	1.03641695153617	0.434802924540006	0	0	0	0.0874196595740931	0	0.182534471290627	0.119937873664205	0	0	0.533449448030508	0.718850191825223	1.21386450393375	0	0.246739178252788	0	0.693161332636578	0	0.615037415773356	0	0.0724875314686693	0.605738984705046	0	0.8603942793701	0	0.560629097067708	0	0	1.2086842223502	0	0	0.177109982380206	1.2708859529914	0	0.0810986769384191	0	0	0	0	0	0	0	0.443832306345497	0	1.33066618189191	0	0.260035042785793	0.248238170501281	0	0	0	0.249452235799461	0.291524694521195	0.24198201913562	0	0.240670762814155	0.305055333336075	0.239526758883035	0.254452105794134	0.312330559426639	0.353565727243715	0.528604046146153	0.236589389357503	0.209115345427187	0.328378674972716	0.51245349322419	0.141997369795324	0.2299793076347	0.222818445338985	0.234606330464908	0	0.430342264628536	0	0	0	0	0	0.527537302514466	0	0	0	0.554949668803457	0	0	0	0.199825270818714	0.263579861368436	0	0	0	0	0	0	0	0	0.206777323843425	0	0.253711065705286	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125583269194779	0	0	0	0	0.204686570237876	0.109155674486364	0	0	0	0.310388737281039	0	0	0	0	0	0	0	0.0879928505665936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0628901582006828	0	0	0	0	0	0	0	0.12418404273346	0	0	0	0	0.233345061114164	0	0	0	0	0.217455669128606	0	0	0.237397424296896	0	0	0	0	0	0.107856588205739	0	0	0	0	0.0778581757445866	0.0873235713558336	0.462417061742945	0	0	0	0.0734142264909985	0.0683598381640822	0	0.504671955658521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11295678177989
SRR11413608	1.84625094279488	1.13619689426076	1.14133745231184	1.07371678928255	1.46055682864942	2.83552825506011	0.993464029080267	1.00769247055355	0.805039796991645	1.01119554078359	0.882483631181993	0	1.80363304103411	0	0	0	0.371576982799055	0.817330998770678	0	0	0	0.775067681265378	0	0.599186785197796	0.588302553632927	0	0	0.50446465127351	0.226075873873467	0.49090267132205	0	0	0.169818451134241	0	0.164688308612809	0	0	0	0.576128608378772	0	0	0	0.131491160828859	0	0.391115720784655	0	0.635915413512918	0	0.0915274017733142	0	0	0.0944166868619418	0	0.568180030579793	0	0	0.468783204607524	0	0	0.124706159911619	0	0	0.0962756874736088	0	0	0	0	0	0	0	0	0.395154645618446	0.522683533153882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250359406390861	0	0	0	0.419961050497569	0	0.110250915299725	0	0	0	0.471454348655574	0	0	0	0	0	0.401730353492514	0	0.452023311970907	0.377954705147127	0	0.147768682581451	0	0	0	0	0	0	0	0.401219468838217	0.544673539514718	0.37447905965077	0	0.439976658691836	0.390434261474369	0	0.337245804427579	0	0.369100307331772	0	0.519402785894819	0.160144507868808	0.0830749091934663	0.398383526657566	0	0	0	0.518064925309961	0	0	0	0.843865793147819	0.378409105368861	0	0	0	0	0.157017493105482	0	0	0	0	0.103965989652637	0	0	0.171001249062376	0	0	0	0.131573972523596	0	0	0.112920225947328	0	0	0.276465682110558	0	0	0	0	0	0	0	1.19593740173206	0	0	0	0.262003947179353	0	0.26266296999821	0	0	0	0	0	0	0	0	0	0	0	0	0	0.990877727443139	0	0.464793820451861	0	0	0	0	0	0.101087419612091	0	0	0	0	0.147949496750408	0	0	0.883254917080125	0	0	0	0	0	0	0	0.0674617209278544	0	0	0	0.111939122767679	0	0.0621217214390552	0	0.0707131422687685	0	0	0	0	0	0	0.506593213031277	0	0	0	0.277608269885642	0.285471560722317	0.236825185550514	0	0.193060830076351	0	0	0	0.0960521312577019	0	0	0
SRR11413609	17.6039415119711	11.3068971386446	0	0	0	0	0	0	0	0	0	0	0	6.17550947688476	11.6455671906692	0	1.14693691580045	0.376643939587799	0	0	7.45931104052543	0	5.02130276367585	0.302268381613907	0.274680171104271	0	0	0	0	0	0	0	0	0	1.3561556005567	0.664276874171694	2.07209392291128	0	0	0	0	0	1.04192436176139	2.91060837632156	0	0	0	2.16963959558131	0	0	2.119199329121	0	2.03264993398066	0	0	1.96327325136644	0	0	0.322053423042114	0.959918398196715	0	1.34911121675464	0.110398850697437	0	0	0	0	0	0	0	0	0	0	1.35425289634576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28481192814291	0	0.866321730327127	0	0	0	0	0	0	0	0	0	0	0	0	0	0.723949105790115	0	0	0	0.784540781662835	0	0	0	0	0	0	0	0	0	0	0	0	0	0.325943967265814	0	0.213780710664313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.275588016235675	0	0	0	0	0	0	0	0	0	0.218834652635721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230852597911706	0	0	0	0	0	0	0	0	0.557644118509036	0	0	0	0	0	0	0.219379374934041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15708928765105	0	0	0	0	0
SRR11413610	0	0	0.806652373530293	0.351634797090143	0.379453975356813	3.29103664278524	0.462122810007508	0.29841025909781	0.304105853235633	0.284426787252328	0.375167186710847	0.813010237902703	1.95542429344537	0	0	0.445840773407656	0.651839288783363	0.587669416102265	0	0	0	2.29670214247529	0	0.486349226466889	0.46060696173085	0.204740250399696	0	0.170490530790856	0.216569221670043	0.873798754992211	0.19661212927591	0.174408230590826	0.124698474940547	0	0	0	0	0.172197640144495	0	0	0	0.290249011325501	0	0.3631661640638	0	0.210327315453537	0.667639696253104	0	0	0	0	0	0	0.670125476350568	0	0	0	0	0	0	0	0	0.0676173136221831	0	0	0	0	0	0	0	0	0.587408619223603	0	0	0	0	0	0.173000515872202	0	0	0	0	0	0	0	0	0	0	0.179186656749787	0	0	0	0	0	0	0	0	0	0.663606704272438	0	0	0	0	0	0.132359314458036	0	0.627606544206504	0.123623212220339	0	0.126190672824873	0.252110006090806	0	0	0	0	0	0	0.131278295763065	0.0858039468022405	0.123273576677015	0	0.14644867872093	0.120174357356987	0	0.110312365405628	0	0.118005569456106	0.176908227542177	0	0.0689302122084893	0	0.133248044123755	0	0	0.105303713561271	0.377712350438379	0	0.340160266858634	0.24513064373474	0.12908931721593	0.19605199403037	0	0	0	0	0.377055046667222	0.362669492029885	0.3347605568511	0	0	0	0.353898467353624	0.35866416323533	2.33777551252498	0.0784090332094366	0	0.423639803977848	0.303103079697206	0.0905029521908263	0.334514941179955	0.185426064380532	0	0	0	0	0.121209485273702	0.317906988298517	0	0	0	0	0.466947680420642	0	0.364228449490529	0.339025048589906	1.09038187441432	0	0	0.321815723574138	0.125745690481117	0.300490298566615	0	0	0	0.299856921404243	0	0	0	0.0599025122055452	0	0	0.381847959891315	0.349581879848043	0	0	0.323102788774262	0	0	0	0.238977100816276	0.289229432016261	0	0	0	0.101837042119659	0	0.430937371384218	0.317709744547248	0	0	0	0.101418681203748	0	0	0	0	0	0	0	0	0	0	0	0	0.174756571848624	0	0.106341489326941	0	0	0	0	0	0	0.0884457394168467	0.548846269726291	0.505589808693206	0	0	0.44358441826271	0	0	0	0.201232615998233	0.184259343206988	0.193442054422715	0
SRR11413611	0.531261219076121	0.555813115490472	0.845109730578427	0.470887006763959	0.515319897350157	1.31208049717841	0.910309763085829	0.456283045277857	0.411856279416802	0.388856757099314	0.507309136037627	0	1.37396176149836	0	0.154783905072365	0	0.92925056257412	0	0.20585317924846	0	0.324886377702548	0	0	0	0	0	0	0.589045902932351	0.918794413675933	0.377750094190561	0	0	0.615096022690077	0.596338372185675	0.230475359034065	0.34390385900863	0	0	0	0	0	0	0.258518273238439	0	0.753144952086428	0.187363541844778	0	0	0.0906400288929053	0	0	0.414430910814066	0	0	0	0	0.261037587188581	0	0.10183118216467	0.223066041261339	0.104568388149112	0.147076628961664	0.171883151511283	0	0	0	0	0	0	0	0	0.0998661392378817	0.316992399548403	0.0942389040101299	0.206061004097956	0.23232950939001	0	0.136383068609154	0	0.208449582006328	0	0.203834557304652	0	0.193056511165794	0.256234477923605	0.194874032411763	0.202292590312765	0	0.595976513382987	0	0.204675407151775	0.441755588842809	0.247237655036864	0	0.124235667797405	0.216879229964417	0.200625470256833	0	0.570230370762007	0	0	0	0	0	0.128337973743004	0	0.540796394757433	0.11347716371762	0.0945759527240638	0.0763445610949075	0.0613765814857963	0	0.56344387248099	0.177653328986185	0	0	0	0.119454175661053	0.311472610234416	0.114315130320398	0	0.134675589941784	0.112276693704658	0	0.102987934172709	0	0	0	0.278038725429792	0	0.1896991578332	0.125944954807179	0	0	0	0.129135138635581	0	0	0.123438901374106	0.426316017129005	0.204985663337536	0	0	0.159740054837142	0	0.757412051616495	0	0	0	0.744372869630703	0	0	0	0	0	0	0	0.625877111644967	0	0	0	0	0	0	0	0	0	0	0.0955827603228774	0	0	0.219792582639051	0	0	0	0	0	0	0	0	0	0	0	0.186208462958364	0	0	0	0	0.0567557801974965	0	0	0.187330515420522	0	0	0	0	0	0	0	0.443304237321159	0	0.183034086592952	0	0	0.232564644756387	0	0	0.150619039750567	0	0.199367973589273	0	0	0	0	0	0	0	0	0	0	0	0	0.155590443337139	0	0	0	0.0719630860217181	0	0	0	0	0	0	0.115091004875835	0	0	0	0	0.0820464793944165	0	0	0	0.10068266706492	0	0	0
SRR11413612	10.0452130604824	5.82531946064049	2.38106619197449	1.47015778263898	1.54822458737805	3.62807970597696	5.71303890077154	1.35980633613434	1.35853442472292	1.23034844707214	1.47006120060273	1.14675674963416	3.35665266987878	0	0	1.69042135048453	0	0	0	0	0	0	0	0	0	0.490018911819656	1.30041236428393	0	0	0	0.430176633586452	0.442746751330364	0	0	0.207385332481211	0	0.36971421430438	0.432921627025188	2.32171432639794	0	0	3.39116401892639	0.243640544450485	0.186972536302281	0	1.18230805914841	1.53237235379795	0.435415471958333	0	0	0.385382179079357	0	0	1.5157119577936	0.905307783544978	0	0.398781149706976	0	0	0.210983178417426	0	0	0	1.02902247266865	0	1.15863557241678	1.13451408940055	0.99559216106082	0	1.01572241197822	0	0	0.455246812206172	0	0	0	1.07746858967507	0.9463816973084	0	0	0	0	0	0	0	0	0	0	0.690337534760531	0	0	0.3292917681625	0	0	0	0	0	0	0	0.259498798358073	0	0	0	0.766474805668854	0	0.136791685626078	0	0	0	0	0	0	0	0	0.150393086369607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158513189518786	0	0	0.0875943773969373	0	0.100617697197414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0863917179908223	0	0	0	0	0	0	0	0.0981816638927418	0	0	0	0.122548636242499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131106654236057	0	0	0	0	0	0.10572088391643	0	0	0	0	0	1.52784559727553	0	0	0	0	0	1.13077330964434	0	0	0	0	0	0	0	0	0	0.226736936579339	0.0812406082938314	0	0.854100122383638	0.510292184102119	0	0	0	0	0	0	0	0.348607124047202	0.318908989282383	0	0.129330720484443	0.238240218557464	0.129349030241445	0.132122821931473	0.117999525101059	0	0	0	0
SRR11413613	2.78871708720462	1.46951101556702	1.66871303215692	1.19309423983307	1.15582252267128	0	0	1.02657116772936	1.05009767897015	0.970848548638588	1.14839473305758	0	0	0	0.240071780820671	0	0.974200551450599	0.514538303966677	0.341090496071541	0	0.313427630620654	0.0668072692007117	0	0.398927485456955	0.363821031410573	0	0	0	0	0	0	0	0	0	0.36848321251938	0	1.83615430860879	0	0	0	0.170160337617945	1.12601981487642	0.296877959636314	0.924874520321616	0	0	0	1.6089222945353	0	0	1.51172388141702	0	1.59865861701312	0	0.275367377335864	1.68622734941143	1.43837022636762	0	0	0.287188238965782	0.173571671196191	0.460542644670812	0	0.347791485906723	0	0	0	0	0	0	0	0	1.33572464352507	0.523789344225386	0	0	0.499142125973907	0	0	0	0	0	0	0	0	0	0	0	0	0.242942850827461	0	0	0	0	0	0	0	0.443271618967684	0	0	0.4374591550452	0	0	0.190311757015902	0	0	0	0	0	0	0.431395486263761	0	0	0	0	0	0	0	0.0780992802496558	0	0	0	0	0.461328727023475	0	0	0	0.360754440751774	0	0	0	0	0	0	0.0713487101795622	0.254730040893939	0	0.109920441036874	0	0.127754245763176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114220816000503	0	0.242955847314874	0	0	0	0.209104984415038	0.140525253540884	0.213950846878445	0.109994168454518	0.228855935330449	0.188798060965273	0	0.211235944035427	0	0	0	0	0	0.124347525575135	0.541348217333941	0.109443245921117	0.207977092685672	0.206504443811611	0	0.141512153299079	0.205433529978475	0	0	0	0.20339238012313	0.209721982942499	0	0	0	0	0	0	0.195347184924596	0	0	0.140526874435079	0	0.207914541473195	0	0	0	0.143000131167823	0	0	0	0	0	0	0	0	0.188428916976826	0	0	0	0	0.170270209523996	0.219904381153492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.863201058265357	0	0.767563700275476	0.889132575772025	0.73671731603066	0	0	0	0
SRR11413614	0.169579144739091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.528664506267129	0	0	0	0	0	0	0	0	0	0.19063470696581	0.200809521486494	0.0939523018352356	0	0	0	0	0	0.16349002781941	0	0	0	0	0	0	0	0.224616462977082	0	0	0	0	0	0	0	0	0	0	0	0	0	0.396280942392207	0	0	0.161763639160581	0	0	0	0	0	0	0	0	1.26566864165212	0	0	0	0.432252781002299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228607475055683	0	0	0	0	0	0.119987933860014	0	0	0	0	0.448987999955631	0	0	0	0.195621845721963	0	0	0	0	0	0	0	0	0	0	0	0	0.366290242606771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16303125222773	1.6630088841067	0	0	0	0	0	0	0	0	0	0	0	1.35114377693172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150974385559109	0	0	0	0	0	0	0.700378066748659	0	0	0	0.950660529246557	0	0	0	0	0	0.266321011027773	0	0	0	0	0	0	0	0	0	0.48505982438042	0	0	0	0	0.417287304080688	0.396720184371051	0	0	0	0	0	0	0	0	0	0	0.0873472632098782	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR11413615	0	1.53810657738842	4.9379203387078	4.11629380470691	4.05927787018092	3.3561297803805	1.01961366865423	3.36174045400914	3.6693302042311	3.66124324984695	3.33802400957445	5.19875303905749	2.08396638441902	0.985310866736486	0.693516865725821	3.18382469460371	0.828992042458277	0	0	1.22026594830633	0.687962351183017	0	0.74964946258842	0	0	0	0	1.39608068522267	0.287978765653803	2.03040399159779	0	0	0	0.658783618324198	0.136692796103617	0	0	0	0	0	0	0	0.164555467618834	0.191589724965999	0	0.25409802582193	0.693049895991628	0	0	0	0	0	0	0.699649567952389	0	0	0.489203995627016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07550074610576	0.457303212614047	0	0.117188610687071	0.121201190331391	0	0	0	0	0	0	0	0	0.151564812367544	0	0	0	0.40902690509085	0	0	0	0.158554493724555	0	0	0	0	0	0.171362616636265	0.539373273735997	0	0	0	0	0	0	0.165686656250004	0	0	0.168089590295494	0	0	0	0	0.336759919110454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0772094454502735	0.619513694831944	0	0	0.405197371306193	0	0.186146875349788	0.301186260209513	0	0	0.313767388784514	0.299837017009982	0	0	0	0.163639697605684	0	0	0	0	0	0	0	0.266333330323984	0	0	0.21332540268914	0	0	0	0	0	0	0	0	0	0	0.162520798729621	0	0	0	0	0	0	0	0	0	0	0	0.152533360796018	0	0	0	0	0	0	0	0	0	0	0	0	0.193814241154643	0	0.14536635031781	0.181639014076052	0	0.15176884439428	0	0	0	0	0.11674441383197	0	0	0.163876756689527	0	0	0	0	0	0.0982555284182005	0	0	0	0	0.0814064030030671	0.0850288504090116	0	0	0	0.149515172880322	0.218552014804132	0	0	0	0.857930025874554	0	0	0.827849317632162	0.138373789744312	0.144615082331628	0	0	0	0.1169709259775	0	0	0	0	0	0
