feature	metabat_SRR16554674.5	maxbin_SRR13022355.014	metabat_ERR12405975.5_sub	semibin_SRR13022325.6	semibin_SRR16554706.23	semibin_SRR23364195.41	semibin_SRR5930502.51	metabat_SRR13022352.3	semibin_ERR12405939.29	metabat_SRR16554779.30	maxbin_SRR11413655.005	maxbin_ERR2162217.001	maxbin_SRR13022336.003_sub	maxbin_SRR25825509.002	semibin_SRR5930533.9	metabat_SRR13022417.2	semibin_SRR5930511.52	semibin_ERR6281504.148	semibin_ERR6279672.24	semibin_SRR11413653.25	maxbin_SRR16554665.003	semibin_SRR11413686.80	maxbin_ERR12405962.011_sub	metabat_ERR6279614.12_sub	semibin_ERR6232382.49_sub	semibin_ERR6279675.47	maxbin_SRR16554775.001	semibin_SRR11413653.97_sub	semibin_SRR16554655.39	metabat_ERR12405990.2	metabat_ERR6232687.8_sub	metabat_SRR25825493.27	maxbin_ERR6279667.001	semibin_SRR11413691.62	semibin_SRR6000945.4	maxbin_SRR16554671.002	metabat_SRR11413649.62	metabat_SRR5930494.64	metabat_ERR12405981.15	maxbin_SRR11413649.010	maxbin_SRR13068842.057_sub	metabat_SRR16554646.5	metabat_SRR20881978.24	semibin_SRR5930502.48	semibin_SRR6000905.60_sub	semibin_SRR5930507.29	semibin_SRR16554630.20	metabat_ERR6271719.4	semibin_SRR25825509.21	metabat_SRR23364235.43	maxbin_SRR5930501.002	metabat_ERR12405956.16	maxbin_ERR12406000.010	metabat_SRR6000877.7	semibin_SRR13022308.4	metabat_ERR12405930.6	semibin_SRR16554707.35_sub	semibin_ERR2162217.22	metabat_ERR12405933.43	semibin_ERR2162223.6	metabat_SRR6000874.30	metabat_SRR16554713.13	semibin_SRR5930499.112	semibin_SRR16168913.44_sub	semibin_SRR6000900.32	semibin_SRR16168903.5	semibin_SRR16554765.8	maxbin_SRR16554755.007_sub	semibin_SRR5930534.80	metabat_SRR6000907.1_sub	maxbin_SRR16554728.024	semibin_SRR8387683.16	maxbin_SRR11413620.019	semibin_SRR25825514.3_sub	metabat_ERR12405985.2	semibin_SRR16554738.0	semibin_SRR11413691.42	maxbin_SRR11413655.009_sub	semibin_SRR20881975.0	metabat_ERR6275681.8	maxbin_SRR16554759.001	metabat_SRR16554662.30_sub	metabat_SRR16554786.10	metabat_ERR6243880.3	semibin_ERR6264280.18	metabat_ERR6281505.14	semibin_SRR16554671.9	maxbin_SRR16554707.013	metabat_SRR16554771.26	maxbin_ERR2162206.004	maxbin_ERR6279655.020	metabat_SRR5930523.5	semibin_SRR11413608.137	metabat_ERR6279651.8	metabat_SRR16554746.22	metabat_ERR12405939.30	metabat_ERR12405970.10	semibin_SRR20881988.7	metabat_ERR6275666.49	metabat_SRR16554744.3	semibin_SRR16168903.11	semibin_SRR11413690.7	metabat_SRR5930536.13	semibin_SRR13022424.5	semibin_ERR12405947.71	metabat_ERR12405918.3	semibin_SRR23364196.21	semibin_SRR16554716.24	metabat_SRR16554626.7	semibin_SRR25825508.4_sub	semibin_SRR13068844.35	semibin_ERR6279614.29	semibin_SRR11413683.102	maxbin_SRR5930501.087_sub	maxbin_SRR16168913.015	semibin_SRR16554739.16	metabat_SRR16168982.24	metabat_SRR13022323.1	semibin_ERR6267712.45	semibin_ERR2162202.11	maxbin_ERR2162223.012	maxbin_SRR25825521.012_sub	metabat_SRR23364233.36	semibin_SRR16554653.1	maxbin_SRR5930508.026	metabat_SRR16554633.8	metabat_SRR16554713.7	semibin_SRR20881980.15_sub	metabat_SRR13022372.10_sub	semibin_ERR6233695.43_sub	maxbin_SRR5930515.007	maxbin_SRR13068818.010	semibin_ERR12405970.61	maxbin_SRR16554787.017_sub	metabat_SRR6000907.39	semibin_SRR25825502.47_sub	maxbin_ERR12405958.009_sub	semibin_ERR6232458.16	semibin_SRR11413688.65_sub	semibin_SRR5930536.88	maxbin_ERR12406009.001	semibin_SRR16554765.35	metabat_ERR2162222.11_sub	maxbin_SRR16554790.013_sub	maxbin_SRR16554733.009	metabat_SRR11413686.6	maxbin_SRR8387707.004_sub	metabat_SRR16554669.41_sub	maxbin_SRR5930518.019_sub	metabat_SRR11413686.5	semibin_SRR13068817.76	semibin_SRR20881986.74	semibin_SRR23364193.36	metabat_SRR5930514.58	semibin_SRR16554673.13	semibin_ERR2162202.9	semibin_SRR5930501.2	semibin_ERR2162208.7	metabat_SRR16554665.10	metabat_SRR13068853.24	semibin_ERR6279669.74	semibin_SRR16554776.8	metabat_SRR13068851.17	metabat_ERR6279627.10	semibin_SRR11413679.4	metabat_ERR2162214.7	metabat_SRR11413647.31	metabat_ERR2162213.1	metabat_SRR16168896.4	metabat_ERR12405997.59	semibin_SRR6000944.44	maxbin_SRR11413646.009	metabat_ERR12405954.8	metabat_SRR13068832.4	semibin_SRR20881980.56	maxbin_SRR5930507.045	semibin_SRR5930495.29	maxbin_ERR6282070.040_sub	semibin_ERR6233693.7	metabat_SRR11413613.2	semibin_SRR16168945.59_sub	semibin_ERR12405923.28	semibin_SRR6000901.29	metabat_SRR16554687.19	semibin_SRR23364183.27	metabat_ERR12405985.26	semibin_SRR11413689.18	maxbin_SRR5930497.004	metabat_SRR5930527.86	semibin_SRR6000896.44	metabat_ERR6281586.4	metabat_SRR5930529.3	metabat_SRR6000949.51_sub	semibin_SRR11413689.110	maxbin_SRR6000869.050	semibin_SRR11413691.40_sub	metabat_SRR13068828.29	metabat_ERR12405917.12	semibin_SRR16554633.6	maxbin_SRR16554652.022_sub	metabat_SRR11413685.32	semibin_SRR13022464.9	semibin_SRR11413690.11	maxbin_SRR5930504.027	metabat_SRR13068838.21	semibin_ERR12405916.16	metabat_SRR11413612.18	maxbin_SRR23364191.039_sub	metabat_SRR16554654.18	metabat_SRR11413687.86	metabat_SRR5930529.8	semibin_SRR5930498.118	maxbin_SRR11413612.015_sub	metabat_SRR11413689.14	metabat_ERR6281658.13	semibin_SRR11413691.52	metabat_SRR25825507.13_sub	semibin_SRR8387707.23	semibin_ERR12405918.0	metabat_SRR16554711.16	semibin_ERR12406007.1	metabat_SRR11413620.24	metabat_SRR11413619.66	metabat_SRR5930526.41	metabat_SRR11413619.35	maxbin_SRR11413681.013	metabat_SRR11413689.27	metabat_ERR12405924.12	semibin_SRR20881984.28	semibin_ERR12406009.9_sub	semibin_SRR11413606.50	maxbin_ERR6232523.003	semibin_ERR6267712.18	metabat_SRR5930498.82	semibin_ERR6279661.80	maxbin_SRR11413617.028_sub	maxbin_ERR12405962.006	metabat_SRR23364213.66	semibin_ERR12405915.41_sub	semibin_SRR11413654.21	metabat_SRR25825510.12_sub	semibin_SRR13068827.60	maxbin_SRR23364231.030_sub	semibin_SRR13022424.6	metabat_SRR11413618.48	maxbin_SRR11413691.019
SRR11413606	0.042944284958611	0.0331819714360149	0.0702064610200958	0.0501205777943301	0.0548908878169659	0	0.0317679023424852	0.0407784898422107	0.045863841937873	0.0445304909119802	0.0498446146757802	0.0461688823890186	0	0	0	0.0323486085169195	0	0	0	0	0	0.0153852855698743	0	0	0	0	0	0	0	0	0	0	0.0143090044906201	0	0.00722312732158629	0	0	0	0.0165277185156617	0	0	0.00448775870060672	0.00591115490008717	0.00546418026751725	0	0.00150388405803746	0	0	0.00519231653390513	0	0	0	0	0	0	0	0.0174572070016537	0.00375351806869945	0.00158232033796347	0.00537353769065155	0	0.00353830958554421	0	0	0	0	0	0	0	0	0	0.00653114665630359	0.0198356365076658	0.00485099012738633	0.00383453325197436	0.00393731398542629	0	0	0	0.00378994183603868	0.00221081254412584	0.00381093929397518	0	0.00374778603437025	0.00465348326238034	0.00361226941901774	0.00365793699643677	0.00162144619922548	0.00631111945398542	0	0.00365180417540208	0	0.00522272229005223	0	0	0.00345287996199769	0.00350913067295888	0	0.00279938213569063	0.00374961755723042	0	0.00283808576466602	0	0	0	0.00345810426934366	0.00264508332927672	0	0	0.00372308179449036	0	0	0	0.00311967893508924	0.00686068132340825	0	0	0	0.00205086321747052	0	0	0	0	0	0	0	0	0	0.00200609671727252	0.00127029015845855	0.00499950418547877	0	0	0	0.00398174638047401	0	0	0.00184861593487809	0.00779641082885608	0.00278105580604844	0	0	0	0.00431306668136836	0.00279693182882707	0.0434565192490478	0	0	0	0.00305896542476084	0	0	0	0	0	0	0	0.0380770271135384	0.00361487650971761	0.00174417938403343	0.00593687600158901	0	0	0	0	0	0.00177594444798531	0	0	0	0	0.00214620390563965	0	0	0	0	0	0	0	0	0	0	0	0	0.00159127335887413	0	0.00114745697012776	0	0.00132591511765328	0	0	0.00180591791717517	0	0.00668219215482819	0.00311342422879607	0	0	0	0	0.0269125142516262	0.00177778099751776	0	0	0.00118003230125004	0.00411072243523684	0	0.00296961232917848	0	0	0	0	0.00377914468965142	0	0	0	0.00266438332159189	0	0	0	0.00176336984725239	0.00206056353861527	0.00266859068310011	0	0	0.00702622551924258	0	0	0	0	0	0.0114239420702863	0	0	0.00291690727184275	0	0	0	0.00190032301582689	0	0	0.0018655495692148	0.00177361674255019	0.00100565956726443	0.00230130025376216	0.00278646360947864	0
SRR11413607	0.0246731714788893	0.0262821764058932	0.0588997731990026	0.0423086863162259	0.041936279827178	0.048456274105349	0.00328653903283441	0.0361631587388285	0.0372473190570476	0.0357598584864685	0.0411458351290698	0.0159923951428333	0.0366926686588115	0	0	0.0125300484553788	0.016377373801716	0	0.0470858871010958	0	0	0	0.0095713210773861	0	0	0	0	0.0202923113791221	0.00851313394695167	0	0	0	0.00171161514688178	0	0.00357389593383504	0.00234829879512919	0	0	0.0104445631542511	0.0140745786778556	0.0237666090364285	0	0.00483097871673469	0	0.0135716089716406	0	0.0120419978968744	0	0.00141925463249702	0.0118599411886203	0	0.0168459118696537	0	0.0109767214720214	0	0	0.0236651827844079	0	0	0.00346768827495827	0.0248830487066322	0	0.00158785477449979	0	0	0	0	0	0	0	0.00868992286080186	0	0.0260535033362736	0	0.00509130234687067	0.00486032792548338	0	0	0	0.00488409846592922	0.00570784747119324	0.00473783690354597	0	0.00471216343155811	0.00597276781583158	0.00468976464316043	0.00498199238655321	0.00611521160060799	0.00692256704174992	0.0103496936100502	0.00463225302396191	0.00409433066226056	0.00642942236030894	0.0100334771989314	0.00278020813788523	0.00450283229578707	0.00436262767328231	0.00459342613245649	0	0.00842579737864704	0	0	0	0	0	0.0103288075237084	0	0	0	0.0108655222807859	0	0	0	0.00391243756758376	0.00516070738926685	0	0	0	0	0	0	0	0	0.00404855385214713	0	0.00496748334537531	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00245883164949337	0	0	0	0	0.00400761837427991	0.00213719095600695	0	0	0	0.0060771920954629	0	0	0	0	0	0	0	0.00172283782138772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012313448472634	0	0	0	0	0	0	0	0.00243143578434382	0	0	0	0	0.00456873137002492	0	0	0	0	0.00425762830545427	0	0	0.00464807377696201	0	0	0	0	0	0.00211175576481703	0	0	0	0	0.00152440805148721	0.00170973380748271	0.00905379923591407	0	0	0	0.00143739866605293	0.00133843731501678	0	0.00988112019332965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00221161395021922
SRR11413608	0.0457443168105922	0.0281514010287222	0.028278767959523	0.0266033396843875	0.0361880244667454	0.070255510677492	0.0246149275988341	0.0249674638220462	0.0199463651798996	0.0250542589324499	0.021865180875055	0	0.044688378663313	0	0	0	0.00920651403700996	0.0202509026699723	0	0	0	0.0192037500101597	0	0.0148459721782541	0.0145762950041483	0	0	0.0124990543228468	0.0056014521958992	0.012163030929115	0	0	0.00420756943105965	0	0.00408046056446721	0	0	0	0.0142746627635722	0	0	0	0.00325793919955556	0	0.00969062277855482	0	0.0157559925718643	0	0.00226776239703944	0	0	0.00233934983371271	0	0.0140777218967582	0	0	0.0116149798112432	0	0	0.00308982812411934	0	0	0.00238541004739225	0	0	0	0	0	0	0	0	0.00979069468800577	0.0129504611632457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00620312208757406	0	0	0	0.0104053197194246	0	0.00273167242936851	0	0	0	0.0116811623960416	0	0	0	0	0	0.00995362013723529	0	0.0111997221554663	0.0093645340248988	0	0.00366124521537521	0	0	0	0	0	0	0	0.00994096201534182	0.0134953046589594	0.00927841841351502	0	0.0109012438114168	0.00967373835084205	0	0.00835589494536667	0	0.00914514977466277	0	0.0128691745198564	0.00396787941098483	0.00205833609996932	0.00987069624888439	0	0	0	0.0128360265240864	0	0	0	0.0209083517806843	0.00937579263943488	0	0	0	0	0.0038904017774252	0	0	0	0	0.00257595165313633	0	0	0.0042368754597762	0	0	0	0.00325999101402556	0	0	0.00279780958824518	0	0	0.00684995384786482	0	0	0	0	0	0	0	0.0296315837259106	0	0	0	0.00649163734332595	0	0.00650796586504119	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0245508471432935	0	0.0115161353646592	0	0	0	0	0	0.00250462970180025	0	0	0	0	0.00366572522426073	0	0	0.0218842909243218	0	0	0	0	0	0	0	0.0016714901875906	0	0	0	0.00277350092378714	0	0.00153918172251583	0	0.00175205022656251	0	0	0	0	0	0	0.0125517934175935	0	0	0	0.00687826359490724	0.00707309131787223	0.00586778647768772	0	0.00478344279752099	0	0	0	0.00237987102443043	0	0	0
SRR11413609	0.2009643139269	0.129078071780944	0	0	0	0	0	0	0	0	0	0	0	0.0704988155253337	0.132944285185847	0	0.0130932831289249	0.0042997183819609	0	0	0.0851545277293241	0	0.0573225413317324	0.00345065665501814	0.00313571322068727	0	0	0	0	0	0	0	0	0	0.0154816965086295	0.00758329867118905	0.0236547555743008	0	0	0	0	0	0.0118944734270283	0.0332271278599503	0	0	0	0.0247683243265794	0	0	0.0241925047843142	0	0.023204468110633	0	0	0.0224124728966856	0	0	0.00367652012280637	0.0109583039791531	0	0.0154012787364586	0.00126029896620831	0	0	0	0	0	0	0	0	0	0	0.0154599754840454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146672463941529	0	0.00988981655368282	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00826450913076301	0	0	0	0.00895621584673692	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00372093407125004	0	0.00244049287599845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00314607706300409	0	0	0	0	0	0	0	0	0	0.00249818802229393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00263538332742244	0	0	0	0	0	0	0	0	0.00636599295761869	0	0	0	0	0	0	0.0025044065014276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00179331094099528	0	0	0	0	0
SRR11413610	0	0	0.0209764801890365	0.00914403849412371	0.00986745847147058	0.0855813076414202	0.0120172087594562	0.0077599683501525	0.00790807864092616	0.00739633708869971	0.00975598326844954	0.0211418123946169	0.05084956084999	0	0	0.0115938047884504	0.0169506647178871	0.0152819681303633	0	0	0	0.0597242735193432	0	0.0126472012588119	0.0119777900923968	0.00532413955172762	0	0.00443349745058229	0.0056317444006704	0.0227225789878749	0.00511277294905961	0.00453537473370613	0.00324270426149712	0	0	0	0	0.00447788973989077	0	0	0	0.00754774031013021	0	0.0094439043332544	0	0.00546942761293278	0.0173615442307276	0	0	0	0	0	0	0.0174261853558018	0	0	0	0	0	0	0	0	0.00175834508912943	0	0	0	0	0	0	0	0	0.0152751862739675	0	0	0	0	0	0.00449876801081533	0	0	0	0	0	0	0	0	0	0	0.0046596346565023	0	0	0	0	0	0	0	0	0	0.0172566688480212	0	0	0	0	0	0.00344191950420038	0	0.0163205076598749	0.00321474274066289	0	0.00328150791519704	0.00655595981832572	0	0	0	0	0	0	0.00341380830291575	0.00223127687873933	0.00320565069148708	0	0.00380830443039017	0.00312505747091112	0	0.00286860266388346	0	0.00306865952561289	0.00460038555899282	0	0.00179248617900851	0	0.00346503035199319	0	0	0.00273835586906263	0.00982216862692654	0	0.00884565065820084	0.00637446595430422	0.00335688531274682	0.00509820698946313	0	0	0	0	0.00980507586183182	0.00943098869397565	0.00870523464540977	0	0	0	0.0092029037947099	0.00932683267477018	0.0607923602955262	0.00203897687000048	0	0.011016482746511	0.00788200215500342	0.00235347151508616	0.0086988475666272	0.00482188647011174	0	0	0	0	0.00315197531179351	0.00826696835071009	0	0	0	0	0.0121426764354426	0	0.00947152838785349	0.00881613003158942	0.0283546847907186	0	0	0.00836861251709916	0.00326993643332385	0.00781405844911154	0	0	0	0.00779758788020893	0	0	0	0.00155772660167589	0	0	0.00992971251151147	0.00909065369136143	0	0	0.00840208182625676	0	0	0	0.00621444699774102	0.00752122680086249	0	0	0	0.00264820729056329	0	0.0112062513297955	0.00826183915283418	0	0	0	0.00263732808193211	0	0	0	0	0	0	0	0	0	0	0	0	0.00454443312581282	0	0.0027653425655673	0	0	0	0	0	0	0.00229997500975865	0.0142723969847809	0.0131475403207668	0	0	0.0115351297128534	0	0	0	0.00523292575759886	0.00479154663056491	0.00503033717556181	0
SRR11413611	0.0176375117250372	0.0184526180142429	0.0280570691908237	0.0156331288728549	0.0171082706685505	0.0435601815495232	0.0302216659965569	0.0151482872682088	0.013673348809229	0.0129097802859132	0.016842318832612	0	0.0456145975050136	0	0.00513872054374389	0	0.0308504876779837	0	0.00683418576824573	0	0.0107860071284678	0	0	0	0	0	0	0.0195559239908793	0.0305033506347205	0.012541046619225	0	0	0.0204207702777295	0.0197980290182021	0.00765162541765171	0.0114173745941752	0	0	0	0	0	0	0.00858263112694101	0	0.0250039009927688	0.00622034236167025	0	0	0.00300918741092462	0	0	0.0137588248233373	0	0	0	0	0.00866627063936759	0	0.00338072610029234	0.00740564109882972	0.0034715994803	0.00488284421042713	0.00570640391442204	0	0	0	0	0	0	0	0	0.0033154880094682	0.0105239324140871	0.00312866762103176	0.00684108541212734	0.00771318195042449	0	0.00452782526809254	0	0.00692038457674233	0	0.0067671688904389	0	0.00640934507736689	0.00850681067327978	0.00646968554856114	0.00671597663336747	0	0.0197860155516699	0	0.00679508453439164	0.0146659855793076	0.00820812226265397	0	0.00412453980972888	0.00720024316487208	0.00666062937955383	0	0.0189312610993466	0	0	0	0	0	0.00426073358148775	0	0.017954073082879	0.00376736477974824	0.00313985740946439	0.00253458758724362	0.00203766082809693	0	0.0187059539647292	0.00589796988840018	0	0	0	0.00396579751763246	0.0103406791570275	0.00379518470194657	0	0.00447113813578433	0.00372750999048657	0	0.00341912948147689	0	0	0	0.00923069688450139	0	0.00629788322650622	0.00418128697777697	0	0	0	0.00428719891461345	0	0	0.00409808770551264	0.0141534022825156	0.00680538482908215	0	0	0.00530326135050428	0	0.0251455657996303	0	0	0	0.0247126738118447	0	0	0	0	0	0	0	0.0207786951102276	0	0	0	0	0	0	0	0	0	0	0.00317328273808109	0	0	0.00729696449538324	0	0	0	0	0	0	0	0	0	0	0	0.00618199452698753	0	0	0	0	0.00188425336304013	0	0	0.00621924590681125	0	0	0	0	0	0	0	0.0147173996571926	0	0.00607660738718839	0	0	0.00772098828492159	0	0	0.00500044984317561	0	0.00661888134408297	0	0	0	0	0	0	0	0	0	0	0	0	0.00516549706646162	0	0	0	0.00238912559001611	0	0	0	0	0	0	0.00382094321033623	0	0	0	0	0.00272388740294951	0	0	0	0.00334259617886978	0	0	0
SRR11413612	0.133246130172725	0.0772707627480561	0.0315839847154493	0.0195011130277162	0.0205366410512434	0.0481251694582187	0.0757814015960244	0.0180373408690598	0.0180204694226829	0.0163201286373225	0.019499831901821	0.0152113149037444	0.0445247876677505	0	0	0.022422829855099	0	0	0	0	0	0	0	0	0	0.00649992422443286	0.0172495012426622	0	0	0	0.0057061379754719	0.00587287605609867	0	0	0.00275089167759058	0	0.00490412577904469	0.00574254932392801	0.030796703613596	0	0	0.0449825682722978	0.0032318039951702	0.00248012329463342	0	0.0156828902089992	0.0203263668871789	0.00577562927799088	0	0	0.00511195568383399	0	0	0.0201053727398812	0.012008581405522	0	0.00528968819918021	0	0	0.00279861580699151	0	0	0	0.0136496121603698	0	0.015368883205906	0.0150489204289507	0.0132061711277714	0	0.0134731916496856	0	0	0.00603868485762397	0	0	0	0.0142922324387186	0.0125534120653668	0	0	0	0	0	0	0	0	0	0	0.00915707854736158	0	0	0.00436793660236014	0	0	0	0	0	0	0	0.00344215801670861	0	0	0	0.0101670120001777	0	0.0018144923994876	0	0	0	0	0	0	0	0	0.00199491007734983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00210262031850817	0	0	0.00116190784035701	0	0.0013346574828949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011459549968667	0	0	0	0	0	0	0	0.00130234437924393	0	0	0	0.00162556348371507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017390825074256	0	0	0	0	0	0.00140234941513801	0	0	0	0	0	0.0202663210937035	0	0	0	0	0	0.014999300333952	0	0	0	0	0	0	0	0	0	0.00300758373013191	0.00107762738359592	0	0.011329330239433	0.00676884187319863	0	0	0	0	0	0	0	0.00462414783541705	0.00423021278327489	0	0.00171552538639482	0.00316017061889594	0.0017157682587212	0.00175256160559957	0.00156522116427667	0	0	0	0
SRR11413613	0.0641159695362484	0.0337858307461804	0.0383657253815448	0.0274306756630124	0.0265737539289743	0	0	0.0236021093781526	0.0241430122488417	0.0223209791536144	0.0264029800864864	0	0	0	0.00551953981141926	0	0.0223980457413893	0.0118298562352301	0.00784208192203118	0	0.00720607927885439	0.00153597970067535	0	0.00917182406995937	0.00836468434664674	0	0	0	0	0	0	0	0	0	0.00847187351377892	0	0.0422154022918906	0	0	0	0.00391219140623762	0.0258885537292695	0.00682558238100287	0.0212639807895444	0	0	0	0.0369910642050895	0	0	0.0347563554484869	0	0.0367550898789876	0	0.00633102814823017	0.0387684006606868	0.033069866441015	0	0	0.006602804015217	0.00399062207989195	0.0105884308994053	0	0.00799614576095788	0	0	0	0	0	0	0	0	0.0307099206821713	0.0120425488092196	0	0	0.0114758795325777	0	0	0	0	0	0	0	0	0	0	0	0	0.00558554917390942	0	0	0	0	0	0	0	0.0101913491864835	0	0	0.0100577136300141	0	0	0.00437549684448366	0	0	0	0	0	0	0.00991830257083834	0	0	0	0	0	0	0	0.00179559665491534	0	0	0	0	0.0106065038808518	0	0	0	0.00829417972853333	0	0	0	0	0	0	0.00164039290658521	0.00585655089103872	0	0.00252720352353695	0	0.00293722420501566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00262607433098729	0	0.00558584797883117	0	0	0	0.00480757581044956	0.00323084507798973	0.00491898803347721	0.00252889860579729	0.00526167399524385	0.0043406951464862	0	0.00485656914244825	0	0	0	0	0	0.00285889959876674	0.0124462484811887	0.00251623223224135	0.0047816442191483	0.00474778624525052	0	0.00325353509381173	0.00472316464450932	0	0	0	0.00467623614733595	0.00482176135080864	0	0	0	0	0	0	0.00449126740574896	0	0	0.00323088234430237	0	0.00478020609132529	0	0	0	0.00328774549978685	0	0	0	0	0	0	0	0	0.00433220808093683	0	0	0	0	0.00391471749388329	0.00505586696750868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0198460335074277	0	0.0176472152911442	0.0204422303730455	0.0169380197109907	0	0	0	0
SRR11413614	0.0143478404804149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0447295215178047	0	0	0	0	0	0	0	0	0	0.0161293204408147	0.0169901964399547	0.00794916522060401	0	0	0	0	0	0.0138326493089734	0	0	0	0	0	0	0	0.0190044665281726	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0335287440894919	0	0	0.0136865821193896	0	0	0	0	0	0	0	0	0.107086350738635	0	0	0	0.0365722681204623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0193421401539435	0	0	0	0	0	0.0101520015167361	0	0	0	0	0.0379882102300693	0	0	0	0.0165512748706301	0	0	0	0	0	0	0	0	0	0	0	0	0.030991275363137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013793832985092	0.140704720638773	0	0	0	0	0	0	0	0	0	0	0	0.114318275442115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127737193389171	0	0	0	0	0	0	0.0592579517555186	0	0	0	0.080433980520673	0	0	0	0	0	0.022533026621218	0	0	0	0	0	0	0	0	0	0.0410401939128547	0	0	0	0	0.0353060612651619	0.0335659077032986	0	0	0	0	0	0	0	0	0	0	0.00739032267714494	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR11413615	0	0.0231654636546123	0.0743701482181618	0.0619956093592358	0.0611368908683246	0.050546758976594	0.0153564283061971	0.0506312614798229	0.0552638788055979	0.0551420809727191	0.0502740674858272	0.0782985563848732	0.0313866725787373	0.0148397929034501	0.0104450757723891	0.0479516675435645	0.0124854709757089	0	0	0.0183784575724578	0.0103614190826305	0	0.011290490291497	0	0	0	0	0.021026407953696	0.00433725577091048	0.0305799679703603	0	0	0	0.00992195741887742	0.00205873380072415	0	0	0	0	0	0	0	0.00247837422993425	0.00288553789155029	0	0.00382697705635009	0.0104380427289289	0	0	0	0	0	0	0.0105374405620745	0	0	0.00736791425704105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0161981450509913	0.006887455724255	0	0.00176498075069365	0.00182541431835289	0	0	0	0	0	0	0	0	0.00228272162919944	0	0	0	0.0061603649857144	0	0	0	0.00238799340412942	0	0	0	0	0	0.00258089688049243	0.00812351507540895	0	0	0	0	0	0	0.00249541109168825	0	0	0.00253160174460759	0	0	0	0	0.00507195000734553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00116285349056108	0.00933051206733109	0	0	0.00610268827656645	0	0.00280356299019076	0.00453617419411772	0	0	0.00472565890279964	0.00451585320676908	0	0	0	0.00246458179365741	0	0	0	0	0	0	0	0.00401125329956511	0	0	0.00321289950595722	0	0	0	0	0	0	0	0	0	0	0.00244773002822863	0	0	0	0	0	0	0	0	0	0	0	0.00229730896257893	0	0	0	0	0	0	0	0	0	0	0	0	0.00291904138843061	0	0.00218936642908619	0.00273566997287198	0	0.00228579456092551	0	0	0	0	0.00175829069016494	0	0	0.00246815214676005	0	0	0	0	0	0.00147982910020529	0	0	0	0	0.00122606397875382	0.00128062175450018	0	0	0	0.00225185195492309	0.00329161764861817	0	0	0	0.0129213067057698	0	0	0.0124682603670191	0.0020840512902009	0.00217805156216824	0	0	0	0.00176170219555198	0	0	0	0	0	0
