feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
semibin_ERR6279672.24	response	R	-0.751584821367624	0.189951828651032	352	55	9.21682816838723e-05	0.0355807002633303
semibin_SRR11413653.25	gender	male	0.954409203580967	0.28056017619139	352	101	0.00074771576289296	0.0355807002633303
metabat_ERR12405990.2	cancer_type	Other	0.747484790271652	0.199087760926433	352	58	0.000203552556648973	0.0355807002633303
maxbin_SRR13068842.057_sub	cancer_type	Other	0.542791215349597	0.160850472019476	352	50	0.000823120947641457	0.0355807002633303
maxbin_SRR13068842.057_sub	response	R	-0.612939823231508	0.147378783447012	352	50	4.03403101703266e-05	0.0355807002633303
semibin_ERR6279646.10	gender	male	0.381952054251811	0.113588057638339	352	75	0.000859524770637862	0.0355807002633303
semibin_SRR6000910.14	gender	male	0.410716105027273	0.113284163372059	352	74	0.000332199568274453	0.0355807002633303
semibin_SRR16554766.35_sub	gender	male	0.399722179238225	0.114707040885289	352	75	0.000556729406543505	0.0355807002633303
semibin_ERR6230326.3	gender	male	0.334960628268819	0.0992566895825353	352	70	0.000823832111285544	0.0355807002633303
semibin_SRR16168920.5_sub	gender	male	0.383922564123716	0.111171422773818	352	71	0.000623017142276153	0.0355807002633303
semibin_SRR25825499.11	gender	male	0.311913697806204	0.0909313468481208	352	67	0.000676885989094992	0.0355807002633303
semibin_SRR23364199.62	gender	male	0.365510421108306	0.104429392912039	352	68	0.000526687542571926	0.0355807002633303
semibin_SRR16168929.15_sub	gender	male	0.348656782242641	0.101285001767914	352	67	0.000648238942076946	0.0355807002633303
metabat_SRR6000947.37_sub	gender	male	0.333518648082978	0.0994825141443098	352	66	0.000890375926343938	0.0355807002633303
metabat_ERR6235716.8_sub	gender	male	0.281287330494414	0.0839420031881149	352	65	0.000895255076891795	0.0355807002633303
metabat_ERR6279615.15	gender	male	0.307480817009724	0.0910942454061116	352	67	0.000821739912582224	0.0355807002633303
semibin_SRR13068836.17_sub	gender	male	0.335054238980163	0.0988188312466052	352	66	0.000778966824329898	0.0355807002633303
semibin_ERR6279661.5	gender	male	0.331315279666297	0.0973184509704631	352	66	0.000741743334994608	0.0355807002633303
semibin_ERR6264281.7	gender	male	0.323363124970255	0.0965428586336675	352	65	0.000900107000709248	0.0355807002633303
semibin_SRR20881981.34	gender	male	0.361611304061322	0.100260625629848	352	68	0.00035628580671356	0.0355807002633303
semibin_ERR6279655.40	gender	male	0.336526796113482	0.0998929564537127	352	64	0.000840837863883815	0.0355807002633303
semibin_SRR11413688.2	gender	male	0.344739159735587	0.0987408927036859	352	67	0.000543565705091852	0.0355807002633303
semibin_SRR25825516.1	gender	male	0.351076433715347	0.100742690510261	352	67	0.000556410820852696	0.0355807002633303
semibin_SRR5930519.26	gender	male	0.390282787854125	0.110556456121132	352	66	0.000472130501822144	0.0355807002633303
semibin_SRR11413688.65_sub	age	age	0.356164848129966	0.103889811832701	352	47	0.000680444536480687	0.0355807002633303
semibin_SRR13068830.5	gender	male	0.347599401430916	0.102986252527839	352	66	0.000822354715752098	0.0355807002633303
semibin_SRR5930498.73	gender	male	0.458332162649966	0.12938091594925	352	46	0.000451235872444517	0.0355807002633303
semibin_SRR25825510.41_sub	gender	male	0.300510906376718	0.0895297000340955	352	65	0.000877959215978531	0.0355807002633303
metabat_SRR5930506.9_sub	gender	male	0.32764155311953	0.096144072241183	352	64	0.000732930128086607	0.0355807002633303
metabat_ERR6243878.23_sub	gender	male	0.267841992961072	0.0781360467750352	352	61	0.000682498230265181	0.0355807002633303
metabat_SRR25825508.34_sub	gender	male	0.313733045545413	0.0858384201486548	352	57	0.000297640180059539	0.0355807002633303
maxbin_ERR6279673.036	gender	male	0.280246522110273	0.0792221286842959	352	55	0.000459702354469073	0.0355807002633303
metabat_SRR13068843.68	gender	male	0.307769609242538	0.0846473312914383	352	54	0.000319596355507149	0.0355807002633303
semibin_SRR13068818.12_sub	gender	male	0.315885948419692	0.0862652852857634	352	51	0.000290054282738756	0.0355807002633303
metabat_ERR12405930.6	age	age	0.259205620707811	0.0778169725439394	352	46	0.00095856034136713	0.0368087171084978
semibin_SRR16168909.12	gender	male	0.374356775730047	0.11496937181482	352	70	0.00124234593652193	0.0463809149634853
maxbin_ERR2162217.001	age	age	0.561245519440463	0.173078567541455	352	134	0.00129885490024371	0.0470242885098771
maxbin_SRR5930522.022	gender	male	0.298797551856653	0.0944771704344457	352	67	0.00170339671236384	0.0470242885098771
semibin_ERR6243877.10	gender	male	0.304674180193952	0.0949875300605156	352	64	0.00146531711113432	0.0470242885098771
maxbin_SRR5930521.014	gender	male	0.32120345795972	0.10015091593047	352	68	0.00146691472404749	0.0470242885098771
semibin_ERR6273965.5	gender	male	0.340524678838017	0.106818042846108	352	64	0.00156536117991078	0.0470242885098771
semibin_SRR5930528.37	gender	male	0.345320965408269	0.107777966545219	352	66	0.00148278684173358	0.0470242885098771
semibin_SRR11413606.8	gender	male	0.252416058411457	0.0800141484041655	352	63	0.00174941549515912	0.0470242885098771
semibin_ERR6279674.8	gender	male	0.303733028657521	0.0960167805478445	352	63	0.00169948416181303	0.0470242885098771
maxbin_SRR23364204.024	gender	male	0.290872374468354	0.0920630014653654	352	63	0.00172138957875276	0.0470242885098771
maxbin_ERR6279614.017_sub	gender	male	0.27884041500246	0.0880901283754852	352	63	0.00168780537020379	0.0470242885098771
maxbin_ERR6279679.012	gender	male	0.305836056631287	0.0966300988407931	352	61	0.0016899432364109	0.0470242885098771
maxbin_SRR25825517.033_sub	gender	male	0.271846992676267	0.0860070533801106	352	61	0.00171416739750203	0.0470242885098771
maxbin_SRR5930498.027	gender	male	0.261779800845603	0.0823075885087711	352	59	0.00160462723701635	0.0470242885098771
metabat_ERR6279619.19_sub	gender	male	0.206178552988302	0.0650881237421746	352	38	0.00167491981501914	0.0470242885098771
metabat_SRR13022417.2	age	age	0.393240060558115	0.125389342570147	352	130	0.00185808920753065	0.0480244595177152
semibin_ERR6279672.24	cancer_type	Other	0.651026262199836	0.207315059772266	352	55	0.0018328462774108	0.0480244595177152
metabat_SRR6000874.30	response	R	-0.469021823814665	0.150120247859648	352	39	0.00193236846539349	0.0480945040275713
metabat_SRR13068843.53_sub	gender	male	0.412100348466759	0.131830343401791	352	58	0.00192381748525626	0.0480945040275713
metabat_SRR16168975.22	gender	male	0.237243444689529	0.0761598546938297	352	48	0.0019943591266543	0.0487348848404251
maxbin_SRR16554728.024	response	R	-0.606172868943762	0.196204523510483	352	53	0.00216685940897649	0.0494845695159335
metabat_SRR23364184.15	gender	male	0.313398586694185	0.101454330414808	352	68	0.00217231369154768	0.0494845695159335
maxbin_ERR6281505.022	gender	male	0.261776116702784	0.0845010583012222	352	63	0.00211027302335743	0.0494845695159335
semibin_SRR6000903.13	gender	male	0.297846125556028	0.0961013538276275	352	63	0.00210068072419067	0.0494845695159335
maxbin_ERR2162209.017_sub	gender	male	0.369031159335611	0.120121933572611	352	73	0.00229576905844474	0.0514252269091621
maxbin_ERR6279662.030	gender	male	0.265104605031772	0.0864926548963462	352	62	0.00234935263023479	0.051762785820255
maxbin_SRR5930510.007_sub	gender	male	0.339036198751186	0.11171057214721	352	50	0.00259000792921061	0.0561446880138558
maxbin_ERR6232518.013	gender	male	0.284191262782573	0.093932901853028	352	76	0.00267042405478208	0.0569690465020177
semibin_ERR6279671.24	gender	male	0.305489500651759	0.101143173182374	352	68	0.00271464573718441	0.0570075604808726
semibin_SRR16554730.5	gender	male	0.317294881430708	0.105329670640499	352	75	0.00278501049400417	0.0575854477529478
metabat_SRR16168941.17	gender	male	0.282307099117688	0.0942199823350813	352	70	0.00293273036100708	0.0588296955999033
semibin_SRR16554766.13	gender	male	0.443424891441751	0.147964941346408	352	43	0.00292717261350206	0.0588296955999033
metabat_ERR6279677.48_sub	gender	male	0.27513969223608	0.0922988662167379	352	62	0.00307923987160878	0.0608602704035618
maxbin_SRR11413649.010	response	R	-0.651077163169056	0.22171243533438	352	67	0.0035400196845664	0.0686334205724012
