feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
metabat_ERR12405975.5_sub	age	age	0.516885222423797	0.179670064579611	221	164	0.00441938341272427	0.175335055660191
semibin_SRR11413653.25	age	age	-0.523191163663721	0.169822948147235	221	68	0.00233242526110235	0.175335055660191
semibin_SRR11413653.25	gender	male	1.26529671246775	0.366643639361918	221	68	0.000671403615315714	0.175335055660191
semibin_SRR16554707.35_sub	gender	male	1.00747670748499	0.315244242934891	221	71	0.00160189351018632	0.175335055660191
maxbin_SRR11413620.019	gender	male	0.805085221916056	0.26115371811082	221	60	0.00231690370589744	0.175335055660191
semibin_SRR6000910.14	gender	male	0.502701647481568	0.168716103276973	221	65	0.00321984065919124	0.175335055660191
semibin_SRR25825508.4_sub	gender	male	0.702919441904675	0.249931277149735	221	40	0.00536739966306706	0.175335055660191
semibin_SRR16554766.35_sub	gender	male	0.501447035112762	0.170683005288057	221	65	0.00366636782855564	0.175335055660191
semibin_SRR16168920.5_sub	gender	male	0.48472725926178	0.167360739712945	221	62	0.00416767361485854	0.175335055660191
semibin_SRR25825499.11	gender	male	0.392734326469426	0.136841002077248	221	59	0.00451626003554548	0.175335055660191
semibin_SRR23364199.62	gender	male	0.471535101299129	0.157836840992166	221	60	0.00314097379144937	0.175335055660191
semibin_SRR16168929.15_sub	gender	male	0.445649080528512	0.153765112196822	221	59	0.00414295107446661	0.175335055660191
metabat_SRR6000947.37_sub	gender	male	0.425496518197604	0.150518099732627	221	58	0.00514580497330668	0.175335055660191
metabat_ERR6235716.8_sub	gender	male	0.361554601326733	0.12693622348019	221	57	0.00482351620215073	0.175335055660191
metabat_ERR6279615.15	gender	male	0.391032378615271	0.136842559502853	221	59	0.00469065153617618	0.175335055660191
semibin_SRR13068836.17_sub	gender	male	0.426702568331565	0.149512285557875	221	58	0.00474173705918159	0.175335055660191
semibin_ERR6279661.5	gender	male	0.421275004943683	0.147513262047614	221	58	0.00471477786570688	0.175335055660191
semibin_SRR20881981.34	gender	male	0.446875442879773	0.150254245555645	221	60	0.00327520649131922	0.175335055660191
semibin_SRR11413688.2	gender	male	0.443710938423599	0.149069194543846	221	59	0.00325055411413043	0.175335055660191
semibin_SRR5930519.26	gender	male	0.481818540229167	0.166946773399475	221	59	0.00430040463366144	0.175335055660191
maxbin_ERR12406009.001	age	age	-0.233821299128372	0.0754757744369945	221	32	0.0022066295141403	0.175335055660191
semibin_SRR13068830.5	gender	male	0.439151953173085	0.155319036868995	221	58	0.00513746861349887	0.175335055660191
metabat_ERR6279627.10	age	age	-0.276516602643106	0.0977256668679192	221	39	0.00510144890125902	0.175335055660191
semibin_SRR5930498.73	gender	male	0.622356257990589	0.194239073765241	221	41	0.00156107435211989	0.175335055660191
semibin_SRR13068839.7	gender	male	0.503200987341251	0.176590789014805	221	37	0.00480517577181797	0.175335055660191
metabat_ERR12405956.11	gender	male	-0.79259218091323	0.246463244368226	221	31	0.00149930461292413	0.175335055660191
metabat_SRR5930528.37	gender	male	-0.659470038484639	0.212031633697102	221	33	0.00212198527579781	0.175335055660191
semibin_SRR5930502.40	gender	male	-0.701422927935315	0.204539751916243	221	24	0.000725147937606491	0.175335055660191
metabat_ERR6243878.23_sub	gender	male	0.336657039577359	0.117959684491404	221	53	0.00474120754161331	0.175335055660191
metabat_SRR25825508.34_sub	gender	male	0.382953515393475	0.126451482896327	221	50	0.00276001235574259	0.175335055660191
maxbin_ERR6279673.036	gender	male	0.329249450450256	0.116773933341358	221	48	0.00526045153448487	0.175335055660191
metabat_SRR13068843.68	gender	male	0.387348404370524	0.123383283021534	221	48	0.00193174048246276	0.175335055660191
maxbin_SRR5930510.007_sub	gender	male	0.472757181018085	0.164894472650428	221	43	0.00455715356925133	0.175335055660191
semibin_SRR13068818.12_sub	gender	male	0.371696241999508	0.1274582457047	221	46	0.00392018302875309	0.175335055660191
metabat_ERR6279619.19_sub	gender	male	0.286511242451064	0.0949935197793726	221	35	0.0028700232658458	0.175335055660191
metabat_SRR16554786.23	age	age	-0.199884748342822	0.0648170124403796	221	24	0.00231195029631517	0.175335055660191
semibin_ERR6264281.7	gender	male	0.407588233834371	0.145908932401916	221	57	0.00568780573273848	0.176022619518433
maxbin_SRR13068818.010	age	age	-0.304325343481766	0.108649579818281	221	56	0.00555492714079263	0.176022619518433
semibin_ERR6230326.3	gender	male	0.414437888903673	0.150556349868769	221	61	0.00641779660283098	0.176451191610909
semibin_SRR16168909.12	gender	male	0.480282085253782	0.174590324464231	221	62	0.00645187180209957	0.176451191610909
maxbin_SRR5930521.014	gender	male	0.41741812591651	0.15149927355979	221	60	0.00636991961044417	0.176451191610909
semibin_SRR25825516.1	gender	male	0.417368143567882	0.150927862326436	221	58	0.00618269060844398	0.176451191610909
semibin_SRR25825510.41_sub	gender	male	0.377001445319455	0.135878171476657	221	57	0.00601639776710605	0.176451191610909
