feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
semibin_ERR6279672.24	response	R	-1.1090751953254	0.305595396204278	131	27	0.000412549245748201	0.218911198179813
maxbin_SRR13068842.057_sub	response	R	-1.03718025087972	0.295399691916105	131	25	0.000618393215197213	0.218911198179813
metabat_SRR6000874.30	response	R	-0.769373222432739	0.234967703425125	131	18	0.00136883638783239	0.323045387528444
metabat_SRR23364235.43	response	R	-0.568872237263315	0.187642018937243	131	15	0.00295209660862657	0.418016879781522
maxbin_SRR8387659.002	response	R	-0.662077767364275	0.21378702432691	131	14	0.00240922131746745	0.418016879781522
metabat_ERR12405981.15	age	age	-0.298058782719334	0.103188648291597	131	35	0.00455252733072268	0.537198225025277
maxbin_ERR6281499.002	gender	male	0.370671258790474	0.135894939421365	131	14	0.00728254160411522	0.577506863136378
metabat_SRR23364235.43	age	age	0.248731568499617	0.0948197567619307	131	15	0.00978825191756574	0.577506863136378
semibin_SRR20881975.0	age	age	-0.298190691804668	0.109500496423282	131	26	0.00737558095821213	0.577506863136378
semibin_ERR6267712.45	response	R	0.612256797330333	0.228357239594119	131	33	0.00832052096473627	0.577506863136378
semibin_SRR11413689.110	gender	male	-0.357676399109498	0.136203260217158	131	16	0.00971489975901574	0.577506863136378
metabat_SRR5930529.8	response	R	-0.369518444949347	0.137013169272633	131	15	0.00795875652245582	0.577506863136378
metabat_SRR16554771.26	gender	male	-0.635319035994296	0.247519512995464	131	79	0.0114413221456588	0.623112006086647
maxbin_SRR16554671.002	response	R	-0.674442581633299	0.275630472954484	131	17	0.015778784783017	0.649436532851354
semibin_SRR6000905.60_sub	age	age	0.413741309425746	0.169072344303352	131	51	0.0157674647625821	0.649436532851354
semibin_SRR16554665.28	response	R	-0.627788093645445	0.249139390104431	131	14	0.0129848865029346	0.649436532851354
metabat_ERR6279651.8	age	age	0.165967196296316	0.0677570650703689	131	14	0.0156709591373408	0.649436532851354
metabat_ERR6279651.8	response	R	-0.329304896326235	0.135534914059396	131	14	0.016511098292831	0.649436532851354
metabat_SRR16554674.5	age	age	-0.343978426723691	0.227237637950277	131	97	0.132576815666751	0.652732400073138
metabat_SRR16554674.5	response	R	-0.690668875435167	0.454544979164388	131	97	0.131129108254459	0.652732400073138
maxbin_SRR13022355.014	response	R	-0.650539763853508	0.417578483359701	131	96	0.121748744249354	0.652732400073138
semibin_SRR23364195.41	gender	male	-0.626131465541765	0.376640784047058	131	76	0.0989488318240683	0.652732400073138
semibin_SRR5930502.51	age	age	0.481414405853085	0.213479294550817	131	70	0.0258397218576999	0.652732400073138
maxbin_ERR2162217.001	age	age	0.566044935732734	0.238563603520086	131	58	0.0191593040346721	0.652732400073138
maxbin_SRR13022336.003_sub	gender	male	-0.493427968002118	0.285219104111342	131	75	0.0861085877132657	0.652732400073138
maxbin_SRR25825509.002	response	R	-0.346378451483483	0.211500273605093	131	36	0.103955287157444	0.652732400073138
semibin_SRR5930533.9	age	age	-0.248286091846307	0.164070661750016	131	40	0.132691263036286	0.652732400073138
semibin_SRR5930533.9	response	R	-0.577049986124381	0.328191650816962	131	40	0.08111029494914	0.652732400073138
metabat_SRR13022417.2	age	age	0.373042099475831	0.167124261915001	131	57	0.0273607437466938	0.652732400073138
semibin_ERR6281504.148	age	age	-0.23930828658501	0.130728999085704	131	29	0.0695095544122558	0.652732400073138
semibin_ERR6281504.148	gender	male	0.412781887762243	0.272039523534255	131	29	0.131661145902542	0.652732400073138
semibin_ERR6279672.24	gender	male	0.537525781659974	0.316776763534841	131	27	0.0922441187473907	0.652732400073138
semibin_SRR11413653.25	gender	male	0.446553972093977	0.278961147549489	131	33	0.111911445357996	0.652732400073138
maxbin_SRR16554665.003	response	R	-0.398870713858097	0.231811954066425	131	35	0.087749092001053	0.652732400073138
maxbin_ERR12405962.011_sub	age	age	-0.155246949936812	0.10110800561974	131	36	0.127159302921128	0.652732400073138
metabat_ERR6279614.12_sub	age	age	-0.160735867990367	0.0972570781229091	131	21	0.100863947652196	0.652732400073138
metabat_ERR6279614.12_sub	gender	male	0.330883093960353	0.20238638234769	131	21	0.104544641931141	0.652732400073138
semibin_ERR6232382.49_sub	age	age	-0.171789050761684	0.0983709836287797	131	22	0.0831700182970394	0.652732400073138
semibin_ERR6232382.49_sub	gender	male	0.307387641222972	0.204704355599214	131	22	0.135678193578589	0.652732400073138
semibin_ERR6279675.47	age	age	-0.279960542642316	0.131973526316737	131	39	0.0358366672606915	0.652732400073138
maxbin_SRR16554775.001	response	R	0.471726489730705	0.252302329901316	131	36	0.0638311561669412	0.652732400073138
semibin_SRR16554655.39	age	age	0.350454285789541	0.172329782997722	131	72	0.0440726534668741	0.652732400073138
metabat_ERR6232687.8_sub	age	age	-0.205814000976756	0.131096892689125	131	30	0.118978209229005	0.652732400073138
metabat_SRR25825493.27	age	age	-0.189258306470778	0.127763730536752	131	30	0.141054452245853	0.652732400073138
maxbin_ERR6281499.002	age	age	-0.0950229182147422	0.0653045159782837	131	14	0.148116006148669	0.652732400073138
semibin_SRR6000945.4	age	age	0.35280666503612	0.174041200058053	131	51	0.0447407652653762	0.652732400073138
semibin_SRR6000945.4	gender	male	0.589865564657331	0.36216972110437	131	51	0.105854840892867	0.652732400073138
metabat_SRR5930494.64	age	age	-0.190876029376277	0.125567225528513	131	27	0.131010151343924	0.652732400073138
maxbin_SRR11413649.010	age	age	0.324584945872287	0.180347777051991	131	26	0.0742706262838988	0.652732400073138
maxbin_SRR11413649.010	gender	male	0.560128824002131	0.375293344879981	131	26	0.138045708298356	0.652732400073138
maxbin_SRR11413649.010	response	R	-0.787583654242624	0.36075087429125	131	26	0.0308609751887428	0.652732400073138
maxbin_SRR13068842.057_sub	age	age	0.240539829595071	0.147677196579436	131	25	0.105828869945779	0.652732400073138
maxbin_SRR13068842.057_sub	gender	male	0.609572307945781	0.30730774713579	131	25	0.049458591790599	0.652732400073138
