feature	metabat_SRR16554674.5	maxbin_SRR13022355.014	metabat_ERR12405975.5_sub	semibin_SRR13022325.6	semibin_SRR16554706.23	semibin_SRR23364195.41	semibin_SRR5930502.51	metabat_SRR13022352.3	semibin_ERR12405939.29	metabat_SRR16554779.30	maxbin_SRR11413655.005	maxbin_ERR2162217.001	maxbin_SRR13022336.003_sub	maxbin_SRR25825509.002	semibin_SRR5930533.9	metabat_SRR13022417.2	semibin_SRR5930511.52	semibin_ERR6281504.148	semibin_ERR6279672.24	semibin_SRR11413653.25	maxbin_SRR16554665.003	semibin_SRR11413686.80	maxbin_ERR12405962.011_sub	metabat_ERR6279614.12_sub	semibin_ERR6232382.49_sub	semibin_ERR6279675.47	maxbin_SRR16554775.001	semibin_SRR11413653.97_sub	semibin_SRR16554655.39	metabat_ERR12405990.2	metabat_ERR6232687.8_sub	metabat_SRR25825493.27	maxbin_ERR6281499.002	semibin_SRR11413691.62	semibin_SRR6000945.4	maxbin_SRR16554671.002	metabat_SRR11413649.62	metabat_SRR5930494.64	metabat_ERR12405981.15	maxbin_SRR11413649.010	maxbin_SRR13068842.057_sub	metabat_SRR16554646.5	metabat_SRR20881978.24	semibin_SRR5930502.48	semibin_SRR6000905.60_sub	semibin_SRR5930507.29	semibin_SRR16554630.20	metabat_ERR6271719.4	semibin_SRR25825509.21	metabat_SRR23364235.43	maxbin_SRR5930501.002	metabat_ERR12405956.16	maxbin_ERR12406000.010	metabat_SRR6000877.7	semibin_SRR13022308.4	metabat_ERR12405930.6	semibin_SRR16554707.35_sub	semibin_ERR2162217.22	metabat_ERR12405933.43	semibin_ERR2162223.6	metabat_SRR6000874.30	metabat_SRR16554713.13	semibin_SRR5930499.112	semibin_SRR16168913.44_sub	semibin_SRR6000900.32	semibin_SRR16168903.5	semibin_SRR16554765.8	maxbin_SRR16554755.007_sub	semibin_SRR5930534.80	metabat_SRR6000907.1_sub	maxbin_SRR16554728.024	semibin_SRR8387683.16	maxbin_SRR11413620.019	semibin_SRR25825514.3_sub	metabat_ERR12405985.2	semibin_SRR16554738.0	semibin_SRR11413691.42	maxbin_SRR11413655.009_sub	semibin_SRR20881975.0	metabat_ERR6275681.8	maxbin_SRR16554759.001	metabat_SRR16554662.30_sub	metabat_SRR16554786.10	metabat_ERR6243880.3	semibin_ERR6264280.18	metabat_ERR6281505.14	semibin_SRR16554671.9	maxbin_SRR16554707.013	metabat_SRR16554771.26	semibin_SRR16554665.28	maxbin_ERR6279655.020	metabat_SRR5930523.5	semibin_SRR11413608.137	metabat_ERR6279651.8	metabat_SRR16554746.22	metabat_ERR12405939.30	metabat_ERR12405970.10	semibin_SRR20881988.7	metabat_ERR6275666.49	metabat_SRR16554744.3	semibin_SRR16168903.11	semibin_SRR11413690.7	metabat_SRR5930536.13	semibin_ERR12405947.71	metabat_ERR12405918.3	semibin_SRR23364196.21	semibin_SRR16554716.24	metabat_SRR16554626.7	semibin_SRR25825508.4_sub	semibin_SRR13068844.35	semibin_ERR6279614.29	semibin_SRR11413683.102	maxbin_SRR5930501.087_sub	maxbin_SRR16168913.015	semibin_SRR16554739.16	metabat_SRR16168982.24	metabat_SRR13022323.1	semibin_ERR6267712.45	semibin_ERR2162202.11	maxbin_ERR2162223.012	maxbin_SRR25825521.012_sub	metabat_SRR23364233.36	semibin_SRR16554653.1	maxbin_SRR5930508.026	metabat_SRR16554633.8	metabat_SRR16554713.7	semibin_SRR20881980.15_sub	metabat_SRR13022372.10_sub	semibin_ERR6233695.43_sub	maxbin_SRR5930515.007	maxbin_SRR13068818.010	semibin_ERR12405970.61	maxbin_SRR16554787.017_sub	metabat_SRR6000907.39	semibin_SRR25825502.47_sub	maxbin_ERR12405958.009_sub	semibin_ERR6232458.16	semibin_SRR11413688.65_sub	semibin_SRR5930536.88	maxbin_ERR12406009.001	semibin_SRR16554765.35	metabat_SRR5930502.31	metabat_ERR2162222.11_sub	maxbin_SRR16554790.013_sub	maxbin_SRR16554733.009	maxbin_SRR8387707.004_sub	metabat_SRR16554669.41_sub	maxbin_SRR5930518.019_sub	metabat_SRR11413686.5	semibin_SRR13068817.76	semibin_SRR20881986.74	semibin_SRR23364193.36	metabat_SRR5930514.58	semibin_ERR2162202.9	semibin_SRR5930501.2	metabat_SRR16554665.10	metabat_SRR13068853.24	semibin_SRR16554776.8	metabat_SRR13068851.17	metabat_ERR6279627.10	semibin_SRR11413679.4	metabat_ERR2162214.7	metabat_SRR11413647.31	metabat_ERR2162213.1	metabat_SRR16168896.4	metabat_ERR12405997.59	semibin_SRR6000944.44	metabat_ERR12405954.8	metabat_SRR13068832.4	semibin_SRR20881980.56	maxbin_SRR5930507.045	semibin_SRR5930495.29	maxbin_ERR6282070.040_sub	semibin_ERR6233693.7	metabat_SRR11413613.2	semibin_SRR16168945.59_sub	semibin_ERR12405923.28	semibin_SRR6000901.29	metabat_SRR16554687.19	semibin_SRR23364183.27	metabat_ERR12405985.26	maxbin_SRR5930497.004	metabat_SRR5930527.86	semibin_SRR6000896.44	metabat_ERR6281586.4	metabat_SRR6000949.51_sub	semibin_SRR11413689.110	maxbin_SRR6000869.050	semibin_SRR11413691.40_sub	metabat_SRR13068828.29	metabat_ERR12405917.12	semibin_SRR8387677.66	semibin_SRR16554633.6	semibin_SRR13022464.9	semibin_SRR11413690.11	maxbin_SRR5930504.027	semibin_ERR12405916.16	metabat_SRR16554654.18	metabat_SRR11413687.86	metabat_SRR5930529.8	semibin_SRR5930498.118	semibin_SRR16554780.22	metabat_SRR11413689.14	maxbin_SRR8387710.024	semibin_ERR12405964.2	metabat_ERR6281658.13	semibin_SRR11413691.52	metabat_SRR25825507.13_sub	semibin_SRR8387707.23	semibin_ERR12405918.0	metabat_SRR16554711.16	semibin_ERR12406007.1	semibin_SRR13022452.10	metabat_SRR11413620.24	maxbin_SRR8387707.009	metabat_ERR6281941.15	metabat_ERR12405924.12	semibin_SRR20881984.28	metabat_ERR12405966.18	maxbin_SRR16554651.021_sub	semibin_ERR12405967.93	semibin_ERR12406009.9_sub	maxbin_SRR8387659.002	semibin_SRR11413606.50	maxbin_ERR6232523.003	semibin_ERR6267712.18	metabat_SRR5930498.82	maxbin_ERR12405962.006	metabat_SRR23364213.66	semibin_ERR12405915.41_sub	semibin_SRR11413654.21	metabat_SRR25825510.12_sub	semibin_SRR13068827.60	maxbin_SRR23364231.030_sub	semibin_SRR13022424.6	metabat_ERR12405940.14
SRR20881974	0.0101800726404973	0.0163977015324228	0	0	0	0.0873095153678584	0.0154458013330168	0	0	0	0	0	0.0435898812190236	0.016991683173142	0.00795389572807946	0	0	0	0	0	0.0261808217489712	0	0.019470853036974	0	0	0	0	0.0118531248885373	0.020994290806191	0	0	0	0	0	0.00367037924866853	0	0	0	0	0	0	0.0427526632284183	0.0138438250238666	0	0.0105556448205332	0	0	0	0.00463774542552981	0	0	0.0118165082059361	0	0	0	0	0	0.0043177245956863	0	0	0	0.0105700983479491	0.061375307915715	0	0.232637991506603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0457248338805346	0	0	0	0	0	0.00305735752445141	0	0	0.00853728837983742	0	0	0.00941093144593643	0	0	0	0	0.0143270332347977	0	0	0.0174200832393341	0	0	0	0	0.00644859772136405	0	0	0	0	0	0.0140715633778466	0	0.02173723047612	0	0	0	0.017307239877694	0	0	0	0	0	0	0	0	0	0	0	0	0.00593185083013365	0.00279278754073028	0	0.0122879184760381	0	0	0	0	0	0.103116470062456	0	0	0.0109618453458258	0	0	0	0	0	0	0	0	0.00598724094725297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00698136613414385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00559967201201601	0	0.00617677912619107	0	0	0	0	0.00957638057367604	0	0	0	0	0	0	0	0	0	0	0
SRR20881975	0.0570080749273046	0.0367786724408872	0.0615324978175764	0.069805270271365	0.0578151764225784	0.0337750684833995	0	0.0555414474094703	0.0478290109041153	0.0551532575232254	0.0452442852412611	0	0.0257352154191699	0.0299948550091902	0.0162710664511962	0	0	0	0	0	0.0270347267667631	0	0.0210742226393901	0	0	0	0.00961974003860855	0.0162007309390058	0.00336642444255694	0	0	0	0	0	0	0	0.0092654921399174	0	0.0191374222135576	0	0	0.00573181185417443	0	0.00862286959155652	0	0	0.0204427165000769	0.00913554323978557	0	0	0.00952292818376618	0	0.00875847139936109	0.0173244359646243	0	0.00869209296652888	0.00465122101022874	0	0	0	0	0.00395916651402022	0.0149622017808412	0	0	0	0	0	0	0	0	0.00213547863045803	0.00368359638002518	0	0	0	0	0	0.0143352848448308	0	0	0	0.0144648007656436	0	0	0	0	0.00847993522992758	0.00861083720418432	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00391332692638403	0	0.0057848331297281	0	0	0	0	0	0	0	0	0	0	0.00334185887506935	0	0	0	0.00329689249937753	0	0	0	0	0.00594426229222609	0	0	0	0	0	0	0	0	0.0058666048932727	0	0.00270971814190419	0	0	0	0	0	0.00417881411098882	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00479868426936755	0	0.00281586194890242	0	0	0	0.00308692953365083	0	0.00332035571291573	0	0.00300323956256766	0.00316792830430448	0.00323620420888341	0	0	0	0	0	0	0.00267612086002593	0	0.00299585146842899	0.00299248080128351	0	0	0.00284445494824913	0	0.00237605883321539	0.00285157070355757	0.00272284082399807	0	0	0.00395184703951298	0	0	0.00263077102937534	0.0189164818196955	0	0	0.00277598872934239	0	0	0.00141628340824103	0	0.00582365844526859	0	0.0184136896634313	0	0	0	0	0	0	0.00134432292080093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00510601453545789	0	0	0	0	0	0	0	0	0	0	0
SRR20881976	0.0603849429880803	0.0405927712924319	0.0190358356138021	0.0296987421600168	0.011913884523037	0	0	0.016631135318785	0.0102624487342633	0.0105503591287388	0.0102813155474708	0	0	0.0132624422904547	0.0120875788799035	0	0.0403168557775121	0	0	0	0.0168646520783205	0	0.0201538979079544	0	0	0	0	0.00912080402381785	0.0106483145483327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0087152658838866	0	0	0	0.0497226370961137	0	0	0.013194787350841	0	0	0	0	0	0.102977959691529	0	0	0	0.0485306492978258	0.0276548135848137	0	0.00437009009314286	0	0	0	0	0	0	0	0	0.0250939054194068	0	0	0	0	0.00762632863814651	0	0.00621692166716709	0	0.00230421356134417	0	0	0	0	0	0.0035286862116824	0	0	0.00618200190996319	0	0	0.0387886064291907	0	0	0	0	0	0	0.0443277255720769	0	0	0	0	0	0.0291457737187654	0.00307187329192704	0.00672648011356199	0.024587625449083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00549711170405364	0	0.00272490743150286	0	0	0	0.0261041872149229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026551693530359	0	0	0	0.00501011947381624	0	0	0	0.0106190999834498	0	0.00595108060989253	0	0.00554621951314247	0.00526321697278009	0.00529425196280189	0	0	0	0.0160467070614002	0	0	0.00485658485689881	0	0.00523020341202906	0.00512967816481748	0	0	0.00498848679882154	0.0130729001010305	0	0.00488706104091955	0.00468875467253364	0	0.011522687386101	0	0	0	0.00448058582098534	0	0	0	0.00449597419436158	0	0	0	0	0	0	0	0	0	0	0	0	0.00497924185367534	0	0.0110243420254123	0	0	0	0	0	0	0	0	0.00417484521101376	0	0	0	0	0	0	0	0	0	0.00484935569041241	0	0.00407172465109548	0.00410116345092086	0.00426548941746008	0	0	0
SRR20881977	0.0228073576202195	0.0160488405968003	0	0	0	0.0433342909966515	0.133056055247138	0	0	0	0	0	0.0307903237898603	0	0	0	0.0388611687355087	0	0	0	0	0	0	0	0	0.0202508525195042	0	0	0	0.0456355292512536	0.0166144490958565	0.018253783629828	0	0	0	0	0	0.0173006695346994	0	0.0104894892830953	0	0.00993078738698826	0.00636048366317418	0.00291930465799359	0	0	0.00974657908299128	0	0	0	0	0	0	0.00908529548173193	0.0388755779614586	0	0	0	0.00373671495710076	0	0	0	0.0352071397994136	0.015909143267517	0.01956435940599	0	0	0.0178347401258795	0	0	0.00774951862455886	0	0	0	0.0138637481969814	0.0129729858901488	0	0	0	0.0130032822297481	0	0.0126607411050406	0	0.0191469396016855	0.0119091093924277	0.0130421182254624	0.0127369424121366	0	0.00203476539719757	0	0.011988435676662	0	0.0112341908479425	0	0	0.0111146434169965	0.0119698085580991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0106340157536409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00341342870388243	0	0	0.00932010247402807	0	0	0	0	0.0219602316718519	0	0	0	0.0111157890912471	0.00969295042277864	0	0	0	0.0101231216207591	0.00922775518356641	0	0	0.0109039375990151	0.00296348988256355	0.00895232603417913	0	0	0	0	0	0.00793505574235815	0	0	0	0	0	0.0087839678349969	0.0103734814069419	0	0	0	0.0082967212701976	0	0.00778129830733635	0	0	0	0.00722662151727387	0	0	0	0	0	0.00792223447623679	0	0.00587858612236438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00321356531082913	0	0	0	0	0	0	0	0	0	0	0.0060268405034571	0	0	0	0	0	0	0.0585748241360187	0	0	0.00326615359189587	0	0.00300299688545184	0.00246684844897188	0.00290349034241572	0	0	0
SRR20881978	0	0	0.0111560317590586	0.00797238328252185	0.00814154686135921	0	0.407310937200025	0.0112056456792307	0.006083789616294	0.00822775371472087	0	0.0254078177591963	0	0	0	0.013496382129518	0	0	0	0	0	0	0	0	0	0	0	0.0131080934686029	0	0.143229183833764	0	0	0	0	0.0350944667523539	0	0	0	0	0	0	0	0.101844596615791	0	0.0794211121797802	0	0	0	0	0	0	0.0232983746877362	0	0	0	0	0	0	0	0.0282873768364732	0	0	0.0297022974180395	0	0.00685490957434884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0198930677848453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00235980039919622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00856038222565007	0	0	0	0	0	0	0	0	0	0	0	0	0.00252710441343605	0	0.00380139079675688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00301555501130155	0
SRR20881979	0.0199197449104141	0.0173224647920721	0.047494668430382	0.0525297023019995	0.0574080623627298	0.0419562467166539	0	0.0517907429045065	0.0415558239224241	0.051790054486634	0.0365404911222688	0.00419316108818314	0.0384757348345344	0.00944254735076859	0.00507024177792996	0.00968638833740659	0.0263443505817009	0	0.0035288185060238	0.0174146405352888	0.00653243234621909	0	0.0107921561076962	0	0	0.0121912053613692	0	0.0218805953117414	0.00631543860194457	0	0.00974715248722195	0.0104978269428001	0	0.102680732679116	0.00148477564047109	0	0.0151382039862768	0.00975403307443033	0.00800246999721306	0	0	0	0	0.00652249575494453	0	0	0.0171795633526801	0.0169805731298739	0	0	0.014849989415688	0	0.0130619873855011	0.016973306070968	0	0.0134028901683453	0	0	0.00491735688902215	0	0	0.0037836133816742	0.0145681410640025	0	0.0128218704266733	0	0	0	0	0	0	0.00926125628991234	0	0	0	0	0	0	0	0	0	0	0.0160486884870059	0	0	0	0	0.0013997864921883	0.00728853753402552	0	0	0.0030685595049834	0	0	0	0	0	0	0	0	0	0	0.00329791448132934	0.00391775044533951	0	0	0.0037082783854981	0	0	0	0	0	0	0	0	0.00293129029472161	0.00330450629339047	0	0.00350270923638612	0.00361841565190543	0	0.0033959276436532	0	0.00333919840484378	0	0.0031592497731206	0	0	0.00470130526333852	0	0	0	0	0	0.00234146743711483	0	0	0	0	0	0.0035454887209224	0.00282489722219183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228440102340196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0107902135799449	0.00282639681598734	0	0	0	0.0111217424385346	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00115239741830849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00156803303215757	0.000991727959279926	0	0	0	0	0.00206716563272062	0
SRR20881980	0.115673007226435	0.0599741125242138	0.0483098340904935	0.0394200483075905	0.033468988244594	0	0	0.0280892161477605	0.0291656219195893	0.0255638675777655	0.0338668714040062	0	0	0	0	0	0.00877853794038165	0	0.0115986516613954	0	0	0.0810288305691401	0	0	0	0.043821965258033	0.0162421919186715	0.00948888210652313	0.0207450064210863	0	0.0358011360309744	0.0364254925829527	0	0	0	0	0	0.036686373117409	0.0241509498188601	0	0.00737368834189827	0	0.00459247391139693	0.00576792805649369	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00397603424903444	0	0	0.00373205228966	0.00333006670473095	0.0145005429028614	0	0	0	0	0	0	0.00589219948764422	0	0.00214355146307039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00224801514869847	0	0	0.00783459241653036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00783781005769888	0.0196520229826344	0	0	0	0	0	0.00168609867349593	0	0	0	0	0	0	0	0	0	0	0.0424740287967761	0	0	0	0	0	0	0	0	0	0.00947755666123219	0	0	0	0	0	0	0	0	0.0125907047504526	0.0113829212386697	0	0	0	0.0122995795150145	0.0103962465041696	0	0	0.0109392275085601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0461133318467822	0	0	0	0	0	0	0	0	0	0	0	0	0.0070610802710349	0	0	0.00839866135358397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR20881981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0377737516528707	0	0	0	0	0	0	0	0	0	0	0	0.0015360474086232	0.178482439362529	0	0.0595494495688377	0	0	0	0	0	0.123132549518571	0	0	0	0	0.0477818068138806	0	0.00766112844106345	0.0474091983560444	0	0.0500080086310856	0	0	0.0453042044569279	0.00911353356125367	0	0	0.104926921005806	0	0	0.00302613907238386	0	0.0042223113228517	0	0	0	0.161337052989041	0	0	0	0.00718568217806049	0	0	0	0	0	0	0	0	0	0.0105242415541731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0185347652578287	0	0	0	0	0	0	0.017813918390432	0	0	0	0	0	0	0	0	0.00258181439977802	0	0	0.00288808374159162	0	0	0	0	0	0	0	0	0	0.00328451457177159	0.00263876838566892	0	0	0	0	0.00233510013719001	0	0.00356821551528253	0	0	0.0030289862016831	0	0	0	0.00265946682701888	0	0	0.0028115989796248	0	0.00210974028386167	0	0	0.00227124201742547	0.00221992634007262	0	0	0.00246039825172502	0.00179729086766393	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00236021301108997	0	0.00233628909208863	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00233748759235847	0	0	0	0.00636539883378017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00235908628371337	0	0	0	0	0	0.00825435548438317	0.00400887363996409	0	0	0	0	0	0	0	0	0	0
SRR20881983	0.00249836816012989	0.0026036876453048	0.00228886456108334	0.00234831514794744	0.00202914407108079	0.00750321077928968	0.00953267341434069	0	0	0.00202538661734069	0	0.00150272826802734	0.00647960181046413	0	0	0	0.00286927852734227	0.0368053932578749	0	0	0	0	0	0.02668314363569	0.0269160402359663	0	0	0.00717325346323927	0.00423588207743581	0	0	0	0.0256658240584492	0	0	0	0.050852937913723	0	0	0	0	0	0	0	0	0	0	0.0566347931298926	0	0	0.0502688323683227	0	0.0443175758366576	0	0	0.0449952221379869	0.00734668846290643	0	0	0	0	0	0.00340228947381253	0	0.0130524641739747	0	0	0	0.0231186144247295	0	0	0	0.00573559242982745	0	0.0160194747506676	0.0159577772014827	0	0.00170270837939949	0	0.0155026612569493	0	0.0160432992471628	0.00180371703777979	0.0146583085910517	0.015173566541974	0.0158117249003256	0.025249126920185	0	0	0	0.0147051291268917	0	0.0146260628182396	0	0	0.0133488195331767	0.0134873559779095	0	0	0	0	0	0	0.0096125959134548	0	0	0.00976928130228256	0	0	0	0	0	0.0122048242369627	0	0.00327070956337609	0	0.00933804869509996	0	0.00955142484683304	0	0.00865215086366838	0.00995618051472013	0	0.00971257332661627	0	0.00920450654975381	0	0	0.00485620054327126	0	0.00859537102269918	0	0	0	0	0.00259212629174838	0.00967335375858556	0	0	0.00585834625517485	0	0.00289024571928707	0.00403791197937631	0	0	0.0111333834231095	0.011297862440762	0.00146104422216596	0	0	0.0114578260610088	0.0110692699135165	0	0	0.0111326479467122	0	0.0089862011406949	0.00141722055673608	0	0.0072822228147943	0.00129796535975781	0.00155167430428954	0.00837700780970114	0.00162370738914984	0	0.00149998031882714	0.002529039343813	0.00151972108670315	0.00900192599857786	0.0131623616494181	0	0.00137510001191348	0.00715269970982218	0.00787649668513437	0	0.00819257470505528	0.00157620411414839	0.00160517574367326	0	0.00867673650887962	0.00141165213636956	0	0	0.00148845443750006	0.0016102480561138	0.00954103991736323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00329146235677164	0	0	0	0	0	0.00159035537652289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0147468974102318	0	0	0.00594831314064847	0	0.00527707862635773	0.0047496126462177	0.00533744688859291	0	0	0
SRR20881984	0.0546390419126681	0.035777893565042	0.0225600218489758	0.0144927489938265	0.0152746351506538	0.0126506608341091	0.0166009252492711	0.0165133319254235	0.0122510043729373	0.0129664963432654	0.0135367279210698	0	0.012400775009917	0.00928954936324962	0.00370283362659078	0	0.0156640207204174	0	0	0.00765687290556435	0.00730075346291288	0.00487255354260798	0.00926820441645645	0	0	0.0038617237430388	0	0.0131293132431301	0.00700611268142749	0	0.00330562494394564	0.00334007226098351	0	0.00915893892260899	0	0	0.0707569654838033	0.00333560883477018	0.0166343005374244	0	0	0	0	0.0106176745396255	0.00681498197383364	0	0.00736044122923567	0.0455909904524231	0.00355529037811489	0	0.0524050832725903	0.00387448994381995	0.0462455312302901	0.00656486961847646	0	0.0433275902817217	0	0.0030577002610932	0	0	0	0.00630014800651963	0.0263215185153939	0	0.00465484317741633	0	0	0	0.0213403547799996	0	0	0.00613096719682141	0	0.00703926757483017	0	0	0	0	0.00317260864610685	0	0.00763536552565853	0	0.0134496880943131	0	0	0	0	0	0.00487195950005427	0	0	0	0	0	0.00479026286096032	0	0	0	0.0283073901909318	0.00697689185647098	0.00575757164332274	0	0	0	0	0.0277417325376981	0	0	0.00328416809120004	0.0111971233178779	0.00483317616310188	0	0	0.00599993212177516	0	0	0	0	0	0	0	0	0	0	0	0	0.00977431599253778	0	0.00347217161087854	0	0	0	0	0.00759415532742094	0	0	0	0	0	0	0	0	0	0	0.00491298499130097	0	0	0	0	0	0	0	0	0	0	0.00643492942843254	0	0	0	0	0	0	0	0	0.0170048312696895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00507075197898562	0	0	0	0	0	0	0	0	0	0	0	0	0.00232062196898083	0	0	0	0.0235878775113843	0	0	0	0	0	0	0	0	0	0	0	0	0.0236041991748228	0	0.0082862813077594	0	0	0	0	0	0.00494874859374851	0.0202612410383787	0	0	0.00163103928222299	0	0	0	0	0.00392852572568793	0
