feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
maxbin_ERR12405975.009_sub	cancer_type	Other	0.256677554782857	0.049810884467813	624	17	3.44803672793947e-07	0.00257844186515313
metabat_SRR8387683.37	cancer_type	Other	0.243523835052365	0.0580373837218819	624	24	3.11329695774816e-05	0.116406173250204
maxbin_SRR13068842.057_sub	response	R	-0.549345397552036	0.152436099265953	624	110	0.000338757038569339	0.47157748875622
metabat_SRR6000874.30	response	R	-0.468741644566613	0.132614161991789	624	85	0.000438760193515797	0.47157748875622
semibin_SRR6000900.32	response	R	-0.635970754683485	0.183862388778281	624	278	0.000579747722197812	0.47157748875622
maxbin_ERR12405964.003	cancer_type	Other	0.147860626313791	0.0430374775056487	624	14	0.000630619803097379	0.47157748875622
metabat_ERR6282383.6_sub	cancer_type	Other	0.204584344655418	0.0569683408707962	624	22	0.000355186809285903	0.47157748875622
maxbin_SRR13068823.001	cancer_type	Other	0.153691439136785	0.0425822645712609	624	6	0.000331790983889951	0.47157748875622
maxbin_SRR11413648.031	cancer_type	Other	0.0837324776695236	0.024156668810305	624	11	0.000564236177389286	0.47157748875622
metabat_SRR11413657.85	cancer_type	Other	0.0809370229125347	0.0235125848734973	624	5	0.000615579723719907	0.47157748875622
metabat_ERR12405946.17	cancer_type	Other	0.117337712412904	0.0345137031141897	624	6	0.000717714999357924	0.487915705927142
maxbin_SRR16554728.024	response	R	-0.525886776818775	0.156527873997915	624	99	0.000828197869081532	0.516105305415975
semibin_SRR20881979.2	cancer_type	Other	0.107615510229187	0.0328098169106645	624	11	0.00109621675108565	0.630577604970652
semibin_ERR6279672.24	response	R	-0.599760217589258	0.185375886064445	624	118	0.00127937544751007	0.637811306432022
semibin_ERR12405918.19	cancer_type	Other	0.144311500973141	0.0445172537944297	624	11	0.00125178142583664	0.637811306432022
maxbin_SRR11413649.010	response	R	-0.537827627877552	0.1714811028275	624	119	0.0017914174149588	0.74423441272566
semibin_ERR12405937.0_sub	cancer_type	Other	0.134662759839695	0.0428086212096764	624	11	0.00173614702824928	0.74423441272566
maxbin_ERR12405934.015_sub	cancer_type	Other	0.0832310932828679	0.0264658399539148	624	8	0.00174107578290922	0.74423441272566
metabat_SRR16554674.5	cancer_type	Other	0.838142885408483	1.00861228752149	624	420	0.423572280941007	0.779372340902734
maxbin_SRR13022355.014	cancer_type	Other	0.629527048213243	0.939482546412525	624	409	0.516996823371891	0.779372340902734
metabat_ERR12405975.5_sub	response	R	-0.316536503353444	0.288653558003984	624	440	0.273245045045175	0.779372340902734
metabat_ERR12405975.5_sub	cancer_type	Other	0.612011136829002	0.846610653425587	624	440	0.485300446395599	0.779372340902734
semibin_SRR13022325.6	response	R	-0.269837456470057	0.255861260261069	624	425	0.292009792119371	0.779372340902734
semibin_SRR23364195.41	response	R	-0.354711087051189	0.270493326403887	624	374	0.190226516724091	0.779372340902734
semibin_SRR5930502.51	response	R	-0.22584754995676	0.262400556200567	624	306	0.389737942038644	0.779372340902734
semibin_SRR5930502.51	cancer_type	Other	0.547859658340569	0.63837697049492	624	306	0.414834132302211	0.779372340902734
maxbin_ERR2162217.001	response	R	-0.242890770061756	0.318816571574007	624	227	0.446438580457379	0.779372340902734
maxbin_SRR13022336.003_sub	response	R	-0.267415649167902	0.232283885955557	624	362	0.250074692940251	0.779372340902734
semibin_SRR5930533.9	cancer_type	Other	0.354966596418135	0.483280951507031	624	195	0.475914551600718	0.779372340902734
metabat_SRR13022417.2	response	R	-0.192529608721155	0.218187618191889	624	216	0.377901073181061	0.779372340902734
semibin_SRR5930511.52	cancer_type	Other	0.76163759467504	0.455531741305815	624	283	0.12209825191309	0.779372340902734
semibin_ERR6281504.148	response	R	0.333310833910755	0.208753099203826	624	176	0.110850478169588	0.779372340902734
semibin_ERR6281504.148	cancer_type	Other	-0.710410384682865	0.748769112657445	624	176	0.362763062906093	0.779372340902734
semibin_ERR6279672.24	cancer_type	Other	0.31955836152665	0.30250141684918	624	118	0.316801746908273	0.779372340902734
maxbin_SRR16554665.003	cancer_type	Other	0.45852238269702	0.53131608548735	624	171	0.40450962966005	0.779372340902734
