feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
semibin_SRR5930502.51	response	R	-0.473586121761493	0.296989812348125	453	212	0.111499873879469	0.722177940656011
maxbin_SRR25825509.002	response	R	0.225293434078948	0.263073460186335	453	124	0.392237788261862	0.722177940656011
semibin_SRR5930533.9	response	R	0.295413087981343	0.242121367830438	453	138	0.22306450827119	0.722177940656011
semibin_ERR6281504.148	response	R	0.61408726572406	0.257698429449249	453	142	0.0175898009848685	0.722177940656011
semibin_ERR6279672.24	response	R	-0.351687295581822	0.209910418285199	453	80	0.0945459014768979	0.722177940656011
maxbin_SRR16554665.003	response	R	0.317849550908411	0.25821615221085	453	120	0.218986812413668	0.722177940656011
maxbin_ERR12405962.011_sub	response	R	0.252350317645119	0.256299124108894	453	113	0.325352673924979	0.722177940656011
metabat_ERR6279614.12_sub	response	R	0.552457877924775	0.257894412264144	453	127	0.032717150817213	0.722177940656011
semibin_ERR6232382.49_sub	response	R	0.472761646478887	0.210496571835721	453	131	0.0251950522772472	0.722177940656011
semibin_ERR6279675.47	response	R	0.409989102056227	0.219885569102342	453	176	0.0628990421706809	0.722177940656011
metabat_ERR12405990.2	response	R	-0.272730885015202	0.226502558654993	453	74	0.229184553126049	0.722177940656011
metabat_ERR6232687.8_sub	response	R	0.401283540137767	0.227536439031317	453	166	0.078482652862778	0.722177940656011
metabat_SRR25825493.27	response	R	0.419621029112351	0.224189239740273	453	168	0.0618975320018737	0.722177940656011
maxbin_ERR6281499.002	response	R	0.517282840067915	0.208318408644396	453	112	0.0133881309714503	0.722177940656011
maxbin_ERR6279667.001	response	R	-0.20325240224535	0.154386223579575	453	38	0.188668622928221	0.722177940656011
semibin_SRR11413691.62	response	R	0.468186896832202	0.259943491162105	453	71	0.0723539796657239	0.722177940656011
semibin_SRR6000945.4	response	R	-0.234238955580704	0.219226651919619	453	152	0.285879004525739	0.722177940656011
metabat_SRR11413649.62	response	R	0.190437823465877	0.174742883017053	453	88	0.276376811704555	0.722177940656011
metabat_SRR5930494.64	response	R	0.346334357280792	0.218585059917774	453	164	0.113801618406448	0.722177940656011
metabat_ERR12405981.15	response	R	-0.155123691958223	0.162160403061047	453	91	0.339281997599999	0.722177940656011
maxbin_SRR11413649.010	response	R	-0.371047360324684	0.195863444326853	453	88	0.0588089281747358	0.722177940656011
maxbin_SRR13068842.057_sub	response	R	-0.352133404767227	0.172915941666554	453	79	0.0422895959380572	0.722177940656011
metabat_SRR16554646.5	response	R	-0.222873634364679	0.20326328251594	453	94	0.273455036197643	0.722177940656011
metabat_SRR20881978.24	response	R	-0.319412048892534	0.247637132129123	453	147	0.197770431312002	0.722177940656011
semibin_SRR5930502.48	response	R	-0.356245217245318	0.230941876226863	453	165	0.12363983855274	0.722177940656011
semibin_SRR16554630.20	response	R	-0.34780436856919	0.249724476630269	453	186	0.164381650069953	0.722177940656011
semibin_SRR25825509.21	response	R	-0.178088988413284	0.205600750715635	453	97	0.386848306352797	0.722177940656011
semibin_SRR13022289.13	response	R	-0.180223478676958	0.139245492476197	453	37	0.196229009072214	0.722177940656011
maxbin_ERR12406000.010	response	R	0.141842722171574	0.163489618574476	453	84	0.386078995723353	0.722177940656011
metabat_SRR6000877.7	response	R	-0.334523831330163	0.246267687772653	453	185	0.175025392479293	0.722177940656011
semibin_SRR13022308.4	response	R	-0.228907590250665	0.188033917207598	453	98	0.224102997670236	0.722177940656011
semibin_ERR6281499.45	response	R	-0.174437198422829	0.142295062839504	453	37	0.220882165189199	0.722177940656011
semibin_ERR2162217.22	response	R	-0.353605530070168	0.215357451631872	453	95	0.101299778479188	0.722177940656011
semibin_ERR2162223.6	response	R	-0.175640147186756	0.185517664550588	453	113	0.344272349400174	0.722177940656011
metabat_SRR6000874.30	response	R	-0.317603587104042	0.150424679812781	453	60	0.0352901402154552	0.722177940656011
metabat_SRR16554713.13	response	R	-0.255456319859398	0.22049249379151	453	163	0.24724681937909	0.722177940656011
semibin_SRR5930499.112	response	R	0.223249590661528	0.219435137359248	453	181	0.309521534373893	0.722177940656011
maxbin_ERR6257997.027	response	R	0.169394684936938	0.164403753663943	453	125	0.303399175238922	0.722177940656011
semibin_SRR16168913.44_sub	response	R	-0.253099310937186	0.200036378948605	453	91	0.206433037794385	0.722177940656011
semibin_SRR6000900.32	response	R	-0.618399294240084	0.217286671388219	453	211	0.00462941961348696	0.722177940656011
maxbin_SRR16554755.007_sub	response	R	-0.266846323571397	0.159347365785144	453	94	0.094706367285445	0.722177940656011
metabat_ERR6282298.17	response	R	-0.152088052525858	0.103162569174222	453	30	0.141110300059227	0.722177940656011
maxbin_SRR16554728.024	response	R	-0.378109424181012	0.181002565322486	453	74	0.0372722851852114	0.722177940656011
semibin_SRR25825514.3_sub	response	R	-0.304836099241118	0.202053116815127	453	130	0.132080921901942	0.722177940656011
semibin_SRR11413656.25	response	R	-0.189598097318882	0.0975443442558445	453	30	0.0525518363297946	0.722177940656011
maxbin_SRR16554759.001	response	R	-0.349823412723177	0.190291209081674	453	86	0.0666670585577974	0.722177940656011
metabat_SRR16554786.10	response	R	-0.199265295817894	0.192442603639036	453	91	0.301013967642054	0.722177940656011
metabat_SRR16554771.26	response	R	-0.185931523626982	0.206743920565881	453	183	0.368957863542883	0.722177940656011
maxbin_ERR2162206.004	response	R	-0.259915303690672	0.13684140647721	453	42	0.0581511793024795	0.722177940656011
semibin_SRR16554665.28	response	R	-0.12536187142305	0.138608333188212	453	43	0.366249213483683	0.722177940656011
semibin_ERR12405912.11	response	R	-0.0953683412613548	0.0950388245974623	453	27	0.316173582995073	0.722177940656011
metabat_ERR6279651.8	response	R	-0.176928880670206	0.147098031855305	453	52	0.229686521895059	0.722177940656011
semibin_SRR5930531.50	response	R	-0.0948012347659708	0.0948132491555711	453	26	0.3179079900562	0.722177940656011
metabat_ERR6275666.49	response	R	0.161442364302888	0.159881820005808	453	57	0.313152955833228	0.722177940656011
semibin_SRR16168903.11	response	R	-0.238966955308333	0.153925037372185	453	78	0.121251353990971	0.722177940656011
semibin_SRR11413690.7	response	R	-0.211133201314716	0.165200675839196	453	69	0.201893394930481	0.722177940656011
semibin_SRR13022392.1	response	R	-0.0903436757394364	0.0995011621920025	453	27	0.364381067160018	0.722177940656011
semibin_ERR12405947.71	response	R	0.170073706000438	0.184910509104599	453	125	0.358189550555545	0.722177940656011
semibin_SRR23364196.21	response	R	0.184561442465683	0.15632828952412	453	55	0.238384067037561	0.722177940656011
semibin_SRR11413649.182	response	R	0.109925757028899	0.130760759378425	453	31	0.400982504800842	0.722177940656011
semibin_SRR25825508.4_sub	response	R	-0.188461319540889	0.145670540840036	453	62	0.196413983275347	0.722177940656011
semibin_SRR13068844.35	response	R	-0.18079862266558	0.16545425274278	453	153	0.275094193571972	0.722177940656011
maxbin_ERR2162209.017_sub	response	R	0.1833442176223	0.196036559034553	453	145	0.350162495567846	0.722177940656011
semibin_SRR16168920.5_sub	response	R	0.163618490789346	0.18938623115904	453	145	0.388084645205872	0.722177940656011
semibin_ERR6267712.45	response	R	0.331593900165569	0.199819406119196	453	128	0.0977179151612552	0.722177940656011
maxbin_SRR16554647.003	response	R	-0.175648976876154	0.133372424969077	453	50	0.188514540046975	0.722177940656011
maxbin_SRR25825521.012_sub	response	R	0.267424405427855	0.160517846992039	453	102	0.0964057804270001	0.722177940656011
metabat_SRR23364233.36	response	R	0.181342153961756	0.166724529821573	453	116	0.277320341051526	0.722177940656011
semibin_SRR25825499.11	response	R	0.274140511600587	0.174480894805666	453	145	0.116850308129617	0.722177940656011
semibin_SRR23364199.62	response	R	0.209634715842189	0.182647900058095	453	144	0.251685617511127	0.722177940656011
maxbin_SRR5930508.026	response	R	0.165663619756686	0.165879024015473	453	110	0.318475664539142	0.722177940656011
semibin_ERR6279671.24	response	R	0.290905098822042	0.177917258253454	453	141	0.102742397623644	0.722177940656011
semibin_SRR16554730.5	response	R	0.18839386897129	0.179378098223992	453	146	0.294166561841159	0.722177940656011
maxbin_SRR5930522.022	response	R	0.187253211375863	0.171352537558087	453	137	0.275073693852411	0.722177940656011
metabat_ERR6279652.5	response	R	0.276900755145976	0.151218133760506	453	133	0.0677475198010927	0.722177940656011
semibin_ERR6243877.10	response	R	0.254660162749422	0.175066445464085	453	136	0.146469907386429	0.722177940656011
metabat_SRR16168941.17	response	R	0.168327877290647	0.137877324970973	453	130	0.222786974411683	0.722177940656011
semibin_SRR16168929.15_sub	response	R	0.308683944450672	0.175282774795381	453	137	0.0789130672569153	0.722177940656011
maxbin_SRR23364240.011	response	R	0.274519474620225	0.162444590432562	453	133	0.0917409010550266	0.722177940656011
metabat_SRR6000947.37_sub	response	R	0.187722170259772	0.167511705344196	453	134	0.26303947105351	0.722177940656011
metabat_ERR6235716.8_sub	response	R	0.27956720176586	0.159872134337282	453	134	0.081032194504867	0.722177940656011
metabat_ERR6279615.15	response	R	0.256137246757685	0.160478335391617	453	132	0.111177872369661	0.722177940656011
metabat_SRR16554713.7	response	R	0.164687080241071	0.174217430090691	453	107	0.345014111571257	0.722177940656011
semibin_SRR13068836.17_sub	response	R	0.228008823285241	0.171092497267336	453	139	0.183322485863863	0.722177940656011
semibin_SRR20881980.15_sub	response	R	-0.219056689738491	0.16278824399737	453	143	0.179093782969406	0.722177940656011
semibin_ERR6279661.5	response	R	0.247665992495685	0.167635923803736	453	141	0.140273168138572	0.722177940656011
semibin_ERR6264281.7	response	R	0.193428924401236	0.168283110036242	453	141	0.250996575530499	0.722177940656011
maxbin_SRR5930521.014	response	R	0.240418433818163	0.170394261013478	453	132	0.158955404114094	0.722177940656011
metabat_SRR13022372.10_sub	response	R	0.280790354595448	0.176587368903084	453	121	0.112515163900049	0.722177940656011
semibin_SRR20881981.34	response	R	0.246797549142842	0.173410207512365	453	139	0.155377064211812	0.722177940656011
semibin_ERR6279655.40	response	R	0.27414207133729	0.171619246635561	453	134	0.11088815196689	0.722177940656011
semibin_SRR11413688.2	response	R	0.209305221806552	0.173591482970264	453	130	0.228559348905751	0.722177940656011
semibin_ERR6233695.43_sub	response	R	-0.177889571211345	0.16587409595003	453	157	0.284100698304566	0.722177940656011
semibin_ERR6273965.5	response	R	0.222477561569222	0.181369018082554	453	128	0.220598839199923	0.722177940656011
semibin_SRR16554693.19	response	R	-0.175486558395179	0.192134434057851	453	40	0.361544935481945	0.722177940656011
semibin_SRR25825516.1	response	R	0.16602019453014	0.152803520127595	453	130	0.277847087213718	0.722177940656011
maxbin_SRR13068818.010	response	R	0.225477556192504	0.15957562370203	453	97	0.158351383765259	0.722177940656011
semibin_SRR5930531.21	response	R	0.127097684655698	0.103346116163041	453	18	0.219406325624293	0.722177940656011
metabat_SRR23364184.15	response	R	0.194393414892077	0.145915653945093	453	126	0.183464419501849	0.722177940656011
maxbin_ERR12405958.009_sub	response	R	0.224348359289655	0.133896051756788	453	65	0.0945254769855405	0.722177940656011
semibin_SRR16168913.31	response	R	0.270097552259783	0.162689299646894	453	127	0.0975762734899158	0.722177940656011
semibin_ERR6232458.16	response	R	0.257629122150675	0.162835340935739	453	125	0.114322596378679	0.722177940656011
semibin_SRR11413652.32	response	R	0.0449018353817307	0.0530191136131132	453	13	0.397500602019967	0.722177940656011
semibin_SRR5930519.26	response	R	0.203077960603119	0.157487924305148	453	126	0.197898748973539	0.722177940656011
semibin_SRR11413688.65_sub	response	R	0.231936741623918	0.166706450543265	453	49	0.164824354913389	0.722177940656011
semibin_SRR5930536.88	response	R	0.235502406260689	0.176227295677566	453	97	0.182106776408753	0.722177940656011
maxbin_ERR12406009.001	response	R	0.169861295662658	0.0964158303789039	453	52	0.0787929803283525	0.722177940656011
semibin_SRR13068830.5	response	R	0.20360202852861	0.171031477172907	453	127	0.234508437038279	0.722177940656011
metabat_SRR11413686.6	response	R	0.127794762922049	0.113439983051974	453	48	0.260535850844622	0.722177940656011
maxbin_SRR8387707.004_sub	response	R	0.138549726131905	0.1522035987702	453	120	0.363158551576486	0.722177940656011
semibin_SRR11413606.8	response	R	0.184005340339717	0.144732884358608	453	111	0.204269089727542	0.722177940656011
semibin_SRR13068817.76	response	R	0.133666028168539	0.12071691468	453	53	0.268768172954795	0.722177940656011
metabat_SRR6000874.13_sub	response	R	-0.196094401469686	0.157881543645111	453	80	0.214873402691482	0.722177940656011
semibin_SRR20881986.74	response	R	0.154754314729058	0.152893749184412	453	112	0.312004037668686	0.722177940656011
semibin_SRR23364193.36	response	R	0.218746439377965	0.151311258410428	453	115	0.14896918025875	0.722177940656011
semibin_SRR16554673.13	response	R	-0.170114001147039	0.104757980435272	453	39	0.105100893754577	0.722177940656011
semibin_SRR5930501.2	response	R	0.183189081217308	0.146588838507248	453	112	0.212070050970795	0.722177940656011
semibin_ERR2162208.7	response	R	0.10757479975735	0.116050378954861	453	45	0.354440524638615	0.722177940656011
metabat_SRR13068853.24	response	R	0.22864021343097	0.155065125874227	453	106	0.141056535544773	0.722177940656011
maxbin_SRR13022357.002	response	R	-0.129652014999282	0.0959992325035289	453	24	0.177516052435761	0.722177940656011
semibin_SRR25825502.21	response	R	0.131447455316286	0.142708511581428	453	82	0.357497714006469	0.722177940656011
semibin_ERR6279669.74	response	R	0.365002699555213	0.162999935744068	453	114	0.0256274636979422	0.722177940656011
semibin_SRR5930523.22	response	R	0.177813971334632	0.153189605721967	453	105	0.246366457254029	0.722177940656011
semibin_SRR16554776.8	response	R	-0.171203447720485	0.132054608754204	453	42	0.195483599621626	0.722177940656011
metabat_SRR13068851.17	response	R	0.131813589444594	0.113644125413163	453	48	0.246711228109976	0.722177940656011
metabat_ERR6279627.10	response	R	0.16860451775226	0.133764694460655	453	74	0.208159123725478	0.722177940656011
metabat_ERR2162214.7	response	R	-0.165969186162082	0.126074567030954	453	44	0.188699816873051	0.722177940656011
metabat_SRR11413647.31	response	R	0.141385850712106	0.134091910797093	453	91	0.292271803173254	0.722177940656011
semibin_SRR6000892.71	response	R	0.14634425551464	0.160181842552301	453	105	0.361413375131403	0.722177940656011
metabat_ERR2162213.1	response	R	-0.162847521568434	0.125385057410818	453	42	0.194687372541681	0.722177940656011
metabat_SRR16168896.4	response	R	-0.239643830109188	0.156369530834281	453	71	0.126088374828157	0.722177940656011
metabat_ERR12405997.59	response	R	-0.164057668349278	0.123933949543448	453	42	0.186260233062783	0.722177940656011
semibin_ERR2162223.3	response	R	0.124927623031548	0.0993945420117929	453	33	0.209445465218688	0.722177940656011
semibin_SRR6000944.44	response	R	-0.157778907392806	0.126686089099873	453	42	0.213623322852609	0.722177940656011
maxbin_SRR11413646.009	response	R	0.13630093300494	0.103330353098267	453	47	0.187812720888799	0.722177940656011
metabat_ERR12405954.8	response	R	-0.175061781893673	0.124001501167612	453	41	0.158710952786568	0.722177940656011
metabat_SRR13068832.4	response	R	0.19244020633296	0.134032657095354	453	98	0.15176689623121	0.722177940656011
semibin_SRR20881980.56	response	R	0.178791610008932	0.135688547527719	453	94	0.188291526407118	0.722177940656011
maxbin_SRR5930507.045	response	R	-0.109430991367116	0.127783347992129	453	35	0.392243394876577	0.722177940656011
semibin_SRR5930495.29	response	R	-0.221297240470028	0.140361041072147	453	45	0.115584731309195	0.722177940656011
maxbin_ERR6282070.040_sub	response	R	0.190800520775922	0.124210775693295	453	68	0.125217451741333	0.722177940656011
semibin_ERR6233693.7	response	R	0.210414967264541	0.143730283989758	453	91	0.143908865815584	0.722177940656011
metabat_SRR11413613.2	response	R	-0.175618460983503	0.124527205919565	453	41	0.15914966622662	0.722177940656011
semibin_SRR16168945.59_sub	response	R	0.176863425825325	0.14249392805949	453	90	0.215183282029607	0.722177940656011
semibin_ERR12405923.28	response	R	-0.19745741376723	0.122189494259367	453	39	0.106799355624372	0.722177940656011
semibin_SRR6000901.29	response	R	-0.196590191512965	0.121926083458161	453	40	0.107584831977563	0.722177940656011
maxbin_SRR16554769.012	response	R	-0.0594573283222824	0.0592084644450886	453	17	0.31581921965329	0.722177940656011
metabat_SRR16554687.19	response	R	0.17972492368057	0.128313335054145	453	65	0.162004263575464	0.722177940656011
semibin_SRR23364183.27	response	R	0.107963442629748	0.128045226682717	453	84	0.399586423481822	0.722177940656011
metabat_ERR12405985.26	response	R	-0.186825361484147	0.123157847542413	453	40	0.129982039239345	0.722177940656011
semibin_ERR6281434.136	response	R	-0.0559289588570887	0.0287097836841617	453	5	0.052025338250812	0.722177940656011
metabat_SRR5930527.86	response	R	0.194724902943413	0.130373813514073	453	55	0.135983493268093	0.722177940656011
semibin_SRR6000896.44	response	R	-0.188927926966387	0.125327800669845	453	40	0.132393527581943	0.722177940656011
metabat_SRR20881987.29	response	R	0.162610779194832	0.145587787626637	453	92	0.264627250674285	0.722177940656011
semibin_SRR11413687.181	response	R	-0.0393256706347798	0.0462307245921527	453	13	0.395421140109928	0.722177940656011
metabat_ERR6281586.4	response	R	-0.175182980159446	0.124192633104574	453	41	0.159063371908154	0.722177940656011
maxbin_SRR13022429.005	response	R	-0.0809220980835184	0.0700766874815471	453	30	0.248798233246725	0.722177940656011
metabat_ERR6275676.3	response	R	0.137932793945764	0.106427119298772	453	46	0.195631756285316	0.722177940656011
metabat_SRR5930529.3	response	R	0.13913936031686	0.112160846831172	453	45	0.215423119415205	0.722177940656011
metabat_ERR2162211.9	response	R	-0.184431436020019	0.138930914040523	453	31	0.18501338328701	0.722177940656011
semibin_SRR11413689.110	response	R	0.090936743986192	0.103103597072163	453	50	0.378249932066045	0.722177940656011
metabat_SRR16554771.5	response	R	0.141008989923374	0.147874562968051	453	89	0.340817002586095	0.722177940656011
semibin_SRR16168913.74	response	R	0.0931549568855318	0.104704772087676	453	43	0.374106630935402	0.722177940656011
metabat_SRR13068834.30	response	R	0.126536237615929	0.137411978575005	453	88	0.357624025945903	0.722177940656011
semibin_SRR11413683.31	response	R	-0.153712857961461	0.128195453060879	453	40	0.231137808354624	0.722177940656011
metabat_ERR12405917.12	response	R	-0.227780269634934	0.114935127516778	453	37	0.0481105805977446	0.722177940656011
semibin_SRR11413657.102	response	R	0.188765102917523	0.15053021269638	453	87	0.210498110866852	0.722177940656011
semibin_SRR13022464.9	response	R	0.115932506967076	0.119121296760153	453	60	0.33096078424126	0.722177940656011
semibin_SRR11413690.11	response	R	-0.190453245882875	0.0958942358933063	453	32	0.0476333065260694	0.722177940656011
metabat_SRR13068838.21	response	R	-0.259610152119896	0.201688170845188	453	80	0.198689743898088	0.722177940656011
maxbin_ERR12405952.002	response	R	0.0322483007547751	0.0209221229615296	453	4	0.12393679395097	0.722177940656011
semibin_ERR12405916.16	response	R	0.186472749693877	0.144281907958849	453	81	0.196876885863562	0.722177940656011
maxbin_SRR23364191.039_sub	response	R	0.0988654759319311	0.109286450012901	453	42	0.36613658541736	0.722177940656011
maxbin_ERR6275667.027	response	R	0.149354387109578	0.128356070598007	453	74	0.245209407709118	0.722177940656011
maxbin_ERR2162214.002	response	R	-0.0461178417000537	0.0457258182609312	453	7	0.313721534078713	0.722177940656011
semibin_ERR12405971.54	response	R	-0.0173099763999132	0.0200518412724195	453	4	0.388453512237286	0.722177940656011
metabat_SRR16168975.22	response	R	0.158637414772432	0.115163159383567	453	71	0.169048366970728	0.722177940656011
maxbin_ERR6279660.001	response	R	-0.112572318905738	0.105498634889087	453	40	0.286520396187293	0.722177940656011
maxbin_SRR16168900.001	response	R	-0.122041474189931	0.127362736140457	453	29	0.33846912856278	0.722177940656011
maxbin_SRR16554686.012	response	R	-0.124819460871626	0.0958869886662174	453	27	0.193671649213189	0.722177940656011
metabat_SRR5930529.8	response	R	0.194299026518759	0.103762662887761	453	45	0.0617802383680056	0.722177940656011
metabat_SRR25825504.22_sub	response	R	0.156238406454026	0.101732920492293	453	37	0.125297809615558	0.722177940656011
semibin_ERR6279673.25_sub	response	R	-0.196780821769269	0.113777418058076	453	67	0.084401452322064	0.722177940656011
semibin_ERR6232458.12	response	R	-0.103736836610385	0.117642392443871	453	70	0.378356956462294	0.722177940656011
semibin_SRR5930493.36_sub	response	R	-0.182493828450047	0.0974206892976902	453	35	0.0616796879204248	0.722177940656011
semibin_SRR6000893.60_sub	response	R	0.0997271065338566	0.113724772318859	453	49	0.380998970872282	0.722177940656011
maxbin_SRR8387710.024	response	R	-0.104877907803188	0.0962921822716695	453	32	0.276663531419818	0.722177940656011
metabat_ERR6281433.28	response	R	0.145611293014579	0.108506332155429	453	44	0.180283767319807	0.722177940656011
semibin_ERR12405964.2	response	R	-0.0910750656226819	0.0924266498759989	453	33	0.324968364519965	0.722177940656011
metabat_ERR6281658.13	response	R	-0.183415540336526	0.139707493992289	453	87	0.189902145790489	0.722177940656011
semibin_SRR5930516.87	response	R	-0.0528335777559926	0.0546931876234594	453	7	0.334565161436728	0.722177940656011
semibin_SRR11413691.52	response	R	0.150276356122769	0.0939058315721458	453	42	0.110239717195187	0.722177940656011
semibin_SRR16554744.40_sub	response	R	0.0765246000478036	0.0574145770006747	453	12	0.183257578498091	0.722177940656011
maxbin_SRR16554659.005	response	R	0.100580784503223	0.0758481994418061	453	12	0.185484523317674	0.722177940656011
metabat_SRR16554654.55	response	R	0.121495188088431	0.0813647922753118	453	15	0.136083901500265	0.722177940656011
semibin_SRR23364171.72	response	R	0.129956678101936	0.12406239754538	453	67	0.295429869149973	0.722177940656011
semibin_SRR16554704.8_sub	response	R	-0.0785458996624869	0.0826497331554652	453	21	0.342447640016622	0.722177940656011
semibin_SRR20881983.27	response	R	0.0863623527500871	0.0854256269429341	453	34	0.312579038366468	0.722177940656011
semibin_SRR20881981.24	response	R	0.118746069214117	0.0824251186482628	453	20	0.150376348326341	0.722177940656011
semibin_SRR5930494.37	response	R	0.0567998201256169	0.0643542005706535	453	21	0.377915909861091	0.722177940656011
metabat_SRR16554765.3	response	R	0.113508457707414	0.096936992417048	453	27	0.242238090647724	0.722177940656011
semibin_ERR12405918.0	response	R	-0.0810355824126228	0.0871313807637754	453	26	0.352852282596634	0.722177940656011
semibin_ERR12405967.4	response	R	-0.0712364212026565	0.0675009275523487	453	26	0.291834967060856	0.722177940656011
semibin_SRR23364176.2	response	R	-0.067207891012118	0.0698148025986582	453	27	0.33623422963985	0.722177940656011
metabat_SRR16554711.16	response	R	-0.10767253385175	0.101209971745717	453	47	0.287965061173461	0.722177940656011
metabat_SRR5930528.37	response	R	-0.130574183434255	0.109967108653779	453	43	0.235697759130325	0.722177940656011
semibin_ERR6275668.86	response	R	-0.0758309702292826	0.0702632121438594	453	27	0.281057072979651	0.722177940656011
semibin_ERR12406007.1	response	R	0.167340916833506	0.0989531798178585	453	41	0.0915100251041297	0.722177940656011
semibin_SRR23364186.11	response	R	-0.0687549996732063	0.0725125256888285	453	26	0.343545326112815	0.722177940656011
metabat_ERR12405926.24	response	R	-0.211376835128939	0.125279843384929	453	66	0.0922520222981103	0.722177940656011
semibin_ERR6275664.8	response	R	-0.107007355006528	0.0626087537151467	453	24	0.0881160391626015	0.722177940656011
semibin_SRR16554678.23	response	R	-0.0636649636379882	0.0379279935722538	453	4	0.0939276871140134	0.722177940656011
metabat_ERR12405949.23	response	R	-0.162713575460522	0.0724932628327613	453	17	0.0252835929672414	0.722177940656011
maxbin_SRR16554706.002	response	R	0.0357832439795061	0.0340894113380777	453	7	0.29442816801223	0.722177940656011
metabat_SRR11413620.24	response	R	0.203165258534821	0.114724423493968	453	43	0.077257753138933	0.722177940656011
semibin_ERR6275672.14	response	R	-0.159537367382394	0.0893871991147641	453	13	0.0749674298090158	0.722177940656011
maxbin_SRR25825515.010	response	R	-0.100555929699756	0.0800759025751942	453	23	0.209854802983267	0.722177940656011
metabat_ERR12405971.2	response	R	-0.0675783625550739	0.0753660907558295	453	24	0.370376176377958	0.722177940656011
metabat_SRR13068829.36	response	R	-0.143683215169416	0.116899765947699	453	54	0.219669867774491	0.722177940656011
semibin_SRR16554725.23	response	R	-0.0455750947922537	0.0362989110049021	453	4	0.209933013527663	0.722177940656011
maxbin_ERR6281433.007	response	R	-0.0566999957368135	0.0630546555176902	453	25	0.369018833106405	0.722177940656011
semibin_SRR23364212.64	response	R	-0.101634753312372	0.0907222429554431	453	14	0.263188614532837	0.722177940656011
metabat_ERR6280948.5	response	R	0.0642650775609589	0.063012192084014	453	29	0.308335229732106	0.722177940656011
