feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
metabat_SRR16554674.5	response	R	-0.536400560600816	0.482899341885267	171	129	0.268235909117346	0.663902515859538
maxbin_SRR13022355.014	response	R	-0.633610057040236	0.444456968973936	171	128	0.155833290766818	0.663902515859538
metabat_ERR12405975.5_sub	response	R	-0.384345655945077	0.39630088236702	171	138	0.333531005329019	0.663902515859538
semibin_SRR13022325.6	response	R	-0.34032092281719	0.387681893551515	171	134	0.381285161017955	0.663902515859538
semibin_SRR23364195.41	response	R	-0.516431328136874	0.403412319107718	171	100	0.202267749178578	0.663902515859538
maxbin_SRR13022336.003_sub	response	R	-0.339456373850935	0.32875686123019	171	99	0.303292060152395	0.663902515859538
maxbin_SRR25825509.002	response	R	-0.505086909465529	0.271393286838654	171	50	0.0644686913524385	0.663902515859538
semibin_SRR5930533.9	response	R	-0.603128660784907	0.331368451103241	171	57	0.0705107399095452	0.663902515859538
semibin_SRR5930511.52	response	R	-0.338460545166904	0.385823329630851	171	94	0.381600380411972	0.663902515859538
semibin_ERR6281504.148	response	R	-0.337935758075906	0.264093336547935	171	34	0.202438549526812	0.663902515859538
semibin_ERR6279672.24	response	R	-1.21834916509207	0.377312795757841	171	38	0.00149252876473426	0.663902515859538
semibin_SRR11413653.25	response	R	0.282272301824422	0.317263573679974	171	45	0.374886814216005	0.663902515859538
maxbin_SRR16554665.003	response	R	-0.486230411131455	0.247576216983408	171	51	0.0511748428529658	0.663902515859538
semibin_SRR11413686.80	response	R	0.571243431297692	0.408011647880413	171	48	0.163326534872859	0.663902515859538
maxbin_ERR12405962.011_sub	response	R	-0.35501225778812	0.223275127786213	171	50	0.113698892198697	0.663902515859538
metabat_ERR6279614.12_sub	response	R	-0.212771202228077	0.171620007314726	171	25	0.216775291518105	0.663902515859538
semibin_ERR6232382.49_sub	response	R	-0.20147530026763	0.176422424981827	171	26	0.255067417916435	0.663902515859538
maxbin_SRR16554775.001	response	R	0.400878622938543	0.260283281533866	171	45	0.125396824137225	0.663902515859538
maxbin_ERR6281499.002	response	R	-0.176237077690433	0.0982609040690522	171	16	0.0746710375976248	0.663902515859538
maxbin_ERR6279667.001	response	R	-0.199514204704605	0.232811795755897	171	19	0.392671523632896	0.663902515859538
semibin_SRR11413691.62	response	R	-0.549824673812071	0.378274457006081	171	46	0.147937397102001	0.663902515859538
maxbin_SRR16554671.002	response	R	-0.708518097506489	0.280050939197813	171	23	0.0123223053970582	0.663902515859538
metabat_SRR11413649.62	response	R	0.382738696851233	0.249385255034267	171	32	0.126740236747879	0.663902515859538
maxbin_SRR11413649.010	response	R	-0.716565094076955	0.272327908692745	171	31	0.00929378967800927	0.663902515859538
maxbin_SRR13068842.057_sub	response	R	-0.861492516228144	0.252170526582355	171	31	0.000795093433862993	0.663902515859538
metabat_SRR16554646.5	response	R	-0.63292291912383	0.338939636094736	171	43	0.0635828163013054	0.663902515859538
semibin_SRR5930507.29	response	R	-0.422822920099994	0.314900994051052	171	54	0.181184432977195	0.663902515859538
semibin_SRR16554630.20	response	R	-0.286857385103118	0.204593233958867	171	46	0.162723542871296	0.663902515859538
metabat_ERR6271719.4	response	R	0.31492271187206	0.209262866321701	171	27	0.13423809933826	0.663902515859538
semibin_SRR25825509.21	response	R	0.560934806533327	0.318101240110088	171	49	0.0796520141273922	0.663902515859538
metabat_SRR23364235.43	response	R	-0.471518782269798	0.15969187745769	171	19	0.00359888042741404	0.663902515859538
maxbin_SRR5930501.002	response	R	0.400787413554467	0.255309463897165	171	28	0.118355086996207	0.663902515859538
semibin_SRR13022289.13	response	R	0.0990564218570457	0.113238619551162	171	9	0.382946890689563	0.663902515859538
metabat_ERR12405956.16	response	R	0.352999769199732	0.326946175188161	171	60	0.281825299393088	0.663902515859538
maxbin_ERR12406000.010	response	R	0.278048101948129	0.273155686079922	171	30	0.310194670770656	0.663902515859538
metabat_SRR6000877.7	response	R	-0.353285216645098	0.197920277381231	171	44	0.0760570261270083	0.663902515859538
semibin_SRR13022308.4	response	R	0.724346388208062	0.367382750696474	171	50	0.0502940534555209	0.663902515859538
metabat_ERR12405930.6	response	R	0.325894260811635	0.224474753745805	171	23	0.148434054320395	0.663902515859538
semibin_ERR6281499.45	response	R	0.0782693633321075	0.0852949417065785	171	8	0.360119291843872	0.663902515859538
semibin_ERR2162217.22	response	R	0.342151602471038	0.254482661537145	171	42	0.180593030879914	0.663902515859538
metabat_SRR6000874.30	response	R	-0.806793382761105	0.259030912543458	171	25	0.00216376314484261	0.663902515859538
semibin_SRR5930499.112	response	R	-0.457695630217414	0.266742810718966	171	70	0.0880492348201941	0.663902515859538
semibin_SRR16168913.44_sub	response	R	0.321380664178976	0.249777168898185	171	42	0.19998196922261	0.663902515859538
semibin_SRR6000900.32	response	R	-0.53724884075834	0.271657395776165	171	67	0.0496173259589686	0.663902515859538
maxbin_SRR16554755.007_sub	response	R	0.366330283128788	0.250745419143311	171	35	0.145886015903425	0.663902515859538
semibin_SRR5930534.80	response	R	0.328123348320545	0.212300469335171	171	19	0.124098848756641	0.663902515859538
metabat_ERR6282298.17	response	R	0.084197386617367	0.0873070485180756	171	8	0.336232135813724	0.663902515859538
maxbin_SRR16554728.024	response	R	-0.613507095643071	0.220323054849943	171	25	0.00597126571227512	0.663902515859538
semibin_SRR11413656.25	response	R	0.0986591036996224	0.108686086825233	171	10	0.36530882229416	0.663902515859538
metabat_ERR12405985.2	response	R	0.234720240357096	0.212780462720397	171	43	0.271548877813385	0.663902515859538
semibin_SRR16554738.0	response	R	0.199212196325473	0.201502547695263	171	41	0.324255837678775	0.663902515859538
semibin_SRR11413691.42	response	R	0.224560499952329	0.247140197089968	171	28	0.364849083066955	0.663902515859538
maxbin_SRR11413655.009_sub	response	R	-0.495519442050608	0.322156791659037	171	39	0.125906999482164	0.663902515859538
metabat_ERR6275681.8	response	R	0.195840866087043	0.199551610607893	171	37	0.327796308827932	0.663902515859538
maxbin_SRR16554759.001	response	R	0.223767163977847	0.19718726606286	171	31	0.258068083123005	0.663902515859538
metabat_SRR16554786.10	response	R	-0.219517450683029	0.230534440707258	171	19	0.342371760654233	0.663902515859538
metabat_ERR6281505.14	response	R	0.141279289172793	0.154130978467933	171	35	0.360649276692317	0.663902515859538
maxbin_SRR16554707.013	response	R	0.321257170824047	0.246519363337446	171	46	0.194288964313772	0.663902515859538
maxbin_ERR2162206.004	response	R	-0.307706315472085	0.190654155606433	171	18	0.108403827064416	0.663902515859538
semibin_SRR16554665.28	response	R	-0.525426153053715	0.196405907305771	171	17	0.00820258641681158	0.663902515859538
semibin_ERR12405912.11	response	R	0.139052258016993	0.0776180879505251	171	7	0.0750036049378306	0.663902515859538
metabat_ERR6279651.8	response	R	-0.274228629518481	0.133558285921913	171	18	0.041589394558575	0.663902515859538
semibin_SRR20881988.7	response	R	-0.198054262533561	0.20726564044893	171	28	0.340664513101699	0.663902515859538
semibin_SRR5930531.50	response	R	0.0706349181281863	0.0579953866662161	171	5	0.22494435479882	0.663902515859538
metabat_ERR6275666.49	response	R	0.332779392374613	0.297336959144505	171	38	0.26464320757309	0.663902515859538
metabat_SRR16554744.3	response	R	0.388965958095839	0.222326518880708	171	50	0.082017970412835	0.663902515859538
semibin_SRR11413690.7	response	R	0.209986534492314	0.180128591654873	171	27	0.24535560159233	0.663902515859538
semibin_SRR13022392.1	response	R	0.0749832307406784	0.0586375028056319	171	5	0.202735162092799	0.663902515859538
metabat_SRR5930536.13	response	R	-0.347259851505214	0.224252942298427	171	60	0.123368088233659	0.663902515859538
maxbin_ERR12405918.001	response	R	0.197224950230175	0.14055604457052	171	10	0.162406351380311	0.663902515859538
metabat_ERR12405918.3	response	R	0.225849836064035	0.204278232335689	171	44	0.270480119943689	0.663902515859538
semibin_SRR23364196.21	response	R	0.321510533391418	0.298776739809616	171	37	0.283420988500173	0.663902515859538
semibin_SRR16554695.47	response	R	0.0396199949783936	0.0349843053358158	171	2	0.2590252799281	0.663902515859538
semibin_SRR16554716.24	response	R	0.254730742903239	0.218347824593712	171	46	0.245004113754988	0.663902515859538
